Date,Open,High,Low,Close,Volume
2005-01-03,12.14,12.16,11.82,11.86,708000
2005-01-04,11.86,11.86,11.31,11.34,1028000
2005-01-05,11.25,11.38,11.09,11.1,1218400
2005-01-06,11.12,11.38,11.11,11.28,792800
2005-01-07,11.32,11.36,11.19,11.24,774800
2005-01-10,11.17,11.35,11.15,11.2,766800
2005-01-11,11.2,11.21,11.08,11.1,751600
2005-01-12,11.12,11.16,10.85,11.15,1501600
2005-01-13,11.1,11.28,11.08,11.15,1134000
2005-01-14,11.16,11.35,11.16,11.28,814400
2005-01-18,11.25,11.45,11.19,11.41,799600
2005-01-19,11.38,11.45,11.26,11.31,735600
2005-01-20,11.3,11.4,11.13,11.18,975600
2005-01-21,11.22,11.26,11.08,11.12,657600
2005-01-24,11.1,11.22,10.81,10.86,1088000
2005-01-25,10.96,11.02,10.85,10.89,795200
2005-01-26,10.95,11.12,10.92,11.1,596000
2005-01-27,11.07,11.18,10.98,11.04,822400
2005-01-28,11.51,11.68,11.42,11.6,2398800
2005-01-31,11.74,11.9,11.68,11.8,1627600
2005-02-01,11.8,12.1,11.75,12.01,1124400
2005-02-02,12.07,12.15,12.04,12.07,926000
2005-02-03,12.04,12.04,11.75,11.8,1321200
2005-02-04,11.82,12.07,11.82,12.0,690400
2005-02-07,11.99,12.12,11.9,11.94,803200
2005-02-08,11.92,11.98,11.83,11.9,446000
2005-02-09,11.93,11.94,11.65,11.65,882000
2005-02-10,11.12,11.48,11.12,11.46,2276800
2005-02-11,11.49,11.74,11.39,11.69,903200
2005-02-14,11.72,11.99,11.71,11.98,997600
2005-02-15,11.96,12.15,11.96,12.06,858400
2005-02-16,12.06,12.2,12.04,12.15,806800
2005-02-17,12.13,12.19,11.99,12.02,1014400
2005-02-18,12.07,12.2,11.99,12.08,558800
2005-02-22,12.02,12.19,11.9,11.92,1071600
2005-02-23,11.99,12.06,11.89,12.06,596800
2005-02-24,12.06,12.3,12.01,12.29,1048400
2005-02-25,12.31,12.54,12.26,12.54,1046000
2005-02-28,12.56,12.56,12.28,12.34,1012000
2005-03-01,12.33,12.96,12.33,12.89,2258000
2005-03-02,12.81,12.82,12.56,12.64,1115200
2005-03-03,12.71,12.73,12.52,12.67,989200
2005-03-04,12.74,13.03,12.68,12.98,942000
2005-03-07,12.98,13.02,12.84,12.9,688800
2005-03-08,12.89,13.01,12.76,12.82,669200
2005-03-09,12.79,13.08,12.79,12.95,822800
2005-03-10,12.92,12.92,12.73,12.89,1394400
2005-03-11,12.95,13.06,12.9,12.96,778800
2005-03-14,13.0,13.05,12.87,12.96,610400
2005-03-15,12.98,13.16,12.95,13.0,937600
2005-03-16,12.96,13.02,12.66,12.68,1655600
2005-03-17,12.74,12.92,12.62,12.9,701600
2005-03-18,13.0,13.0,12.81,12.86,1495600
2005-03-21,12.83,12.84,12.68,12.8,409200
2005-03-22,12.78,13.14,12.72,12.8,887600
2005-03-23,12.73,12.74,12.44,12.44,973200
2005-03-24,13.22,14.1,13.0,13.98,6882000
2005-03-28,13.9,14.1,13.51,13.54,2795600
2005-03-29,13.54,13.71,13.18,13.2,1911600
2005-03-30,13.26,13.42,13.18,13.34,1288400
2005-03-31,13.36,13.47,13.25,13.36,1286000
2005-04-01,13.48,13.48,13.14,13.28,1457600
2005-04-04,13.34,13.41,13.25,13.38,1311200
2005-04-05,13.52,13.58,13.47,13.52,1193200
2005-04-06,13.58,13.61,13.31,13.33,649600
2005-04-07,13.33,13.41,13.25,13.38,442400
2005-04-08,13.39,13.39,13.02,13.02,904800
2005-04-11,13.22,13.25,12.81,12.95,959600
2005-04-12,12.92,13.16,12.66,13.12,1107600
2005-04-13,13.09,13.09,12.46,12.54,934000
2005-04-14,12.6,12.64,12.3,12.31,1546000
2005-04-15,12.31,12.35,12.0,12.04,1788400
2005-04-18,12.05,12.24,11.95,12.12,971600
