Date,Open,High,Low,Close,Volume
2005-01-03,52.69,52.74,50.64,51.01,3279800
2005-01-04,50.75,50.88,48.8,49.68,7380000
2005-01-05,50.12,50.25,49.1,49.64,6563000
2005-01-06,49.98,50.3,49.61,49.72,2617400
2005-01-07,49.95,50.08,49.38,49.9,1936200
2005-01-10,49.9,50.85,49.68,50.74,3232800
2005-01-11,50.7,50.95,50.38,50.76,2045600
2005-01-12,50.7,51.06,50.26,50.74,2720600
2005-01-13,50.65,51.09,50.52,50.9,2061200
2005-01-14,50.9,51.05,50.58,50.71,1197600
2005-01-18,50.7,51.4,50.5,51.24,2352000
2005-01-19,50.9,51.11,50.35,50.5,1546200
2005-01-20,50.5,51.1,50.3,50.45,2500000
2005-01-21,50.52,50.78,50.2,50.26,2033800
2005-01-24,50.2,50.3,49.5,49.5,1920200
2005-01-25,49.62,49.92,49.3,49.38,2821200
2005-01-26,50.25,51.62,49.85,51.24,3983200
2005-01-27,51.15,52.45,51.12,51.94,2900400
2005-01-28,51.88,51.92,50.98,51.62,2250200
2005-01-31,51.62,51.93,51.33,51.62,2036600
2005-02-01,51.56,52.0,51.22,51.72,2060000
2005-02-02,51.62,52.08,51.42,52.02,1345000
2005-02-03,51.85,51.94,51.44,51.58,1342800
2005-02-04,51.45,52.0,51.34,51.96,1527200
2005-02-07,52.46,52.7,52.22,52.57,2049600
2005-02-08,52.32,53.18,52.32,53.01,1607400
2005-02-09,52.8,53.04,52.5,52.82,1108400
2005-02-10,52.79,53.2,52.56,53.18,1016000
2005-02-11,53.08,53.67,52.72,53.34,1334200
2005-02-14,53.4,53.42,52.8,53.02,908200
2005-02-15,52.81,53.5,52.72,53.45,1356600
2005-02-16,53.41,53.45,52.94,53.18,918800
2005-02-17,53.1,53.47,52.88,52.95,1600800
2005-02-18,52.82,53.0,52.44,53.0,1153600
2005-02-22,52.88,52.95,52.08,52.08,1589000
2005-02-23,51.94,51.94,51.48,51.52,2079800
2005-02-24,51.4,52.05,51.28,51.98,1067200
2005-02-25,51.75,52.85,51.75,52.79,873000
2005-02-28,52.66,52.85,52.32,52.68,1197600
2005-03-01,52.68,52.78,52.25,52.6,1269800
2005-03-02,52.3,53.17,52.12,53.04,1459400
2005-03-03,53.04,53.05,52.24,52.72,1275200
2005-03-04,52.68,53.05,52.38,52.92,1332000
2005-03-07,52.28,53.59,52.12,53.32,2380600
2005-03-08,53.08,54.58,53.08,54.46,2570600
2005-03-09,53.92,54.48,53.85,54.33,2314000
2005-03-10,54.15,54.61,54.08,54.56,1767600
2005-03-11,54.25,54.95,54.03,54.19,2066800
2005-03-14,54.04,54.87,54.04,54.84,1579400
2005-03-15,54.88,54.98,54.17,54.5,2102400
2005-03-16,54.22,54.64,52.96,53.2,2450600
2005-03-17,52.92,53.59,52.9,53.15,1894400
2005-03-18,53.0,53.15,52.62,53.05,2469400
2005-03-21,53.62,53.75,52.6,52.64,1483400
2005-03-22,52.92,53.56,52.9,53.0,2046400
2005-03-23,52.8,53.0,52.35,52.54,2129400
2005-03-24,52.78,52.86,52.25,52.4,1436200
2005-03-28,51.51,52.88,52.49,52.49,863200
2005-03-29,52.74,52.9,52.34,52.62,1374800
2005-03-30,52.62,53.4,52.62,53.4,1457200
2005-03-31,53.4,53.59,53.0,53.52,1643200
2005-04-01,53.6,54.02,53.32,53.92,2486000
2005-04-04,53.92,54.15,53.72,54.02,2148200
2005-04-05,53.82,54.28,53.82,54.25,1833600
2005-04-06,54.12,54.38,53.94,54.05,1395200
2005-04-07,54.1,54.3,53.8,54.13,1103200
2005-04-08,54.42,54.49,53.8,54.02,1513200
2005-04-11,54.02,54.08,53.58,53.58,1593000
2005-04-12,53.2,53.53,52.52,53.44,3483200
2005-04-13,53.12,53.42,53.0,53.16,2336400
2005-04-14,53.12,53.4,52.71,52.83,1683000
2005-04-15,52.55,52.63,51.9,51.94,2407200
2005-04-18,51.62,52.36,51.38,52.12,2078000
2005-04-19,51.92,52.36,51.92,52.04,1592800
2005-04-20,52.04,52.04,50.36,50.36,4212000
2005-04-21,50.95,51.84,50.42,51.75,2824600
2005-04-22,51.95,52.38,51.28,51.75,1871800
2005-04-25,51.92,52.46,51.85,52.36,2084800
2005-04-26,52.23,52.55,52.1,52.12,1696400
2005-04-27,52.12,52.68,51.94,52.58,2065200
2005-04-28,52.18,52.54,52.0,52.06,1522000
2005-04-29,52.12,52.74,51.92,52.52,1908200
2005-05-02,52.53,52.92,52.2,52.76,1396800
2005-05-03,52.76,53.12,52.55,52.78,1463200
2005-05-04,53.08,53.4,52.88,53.0,2001600
2005-05-05,52.94,53.15,52.38,52.63,1584800
2005-05-06,52.76,53.52,52.76,53.24,1383200
2005-05-09,53.04,53.42,52.82,53.27,1279200
2005-05-10,52.83,53.09,52.12,52.35,2428000
2005-05-11,52.0,52.88,52.0,52.88,2882000
2005-05-12,52.98,53.52,52.85,53.21,2019000
2005-05-13,53.48,53.48,52.36,52.72,1396400
2005-05-16,52.72,52.74,52.35,52.6,1659000
2005-05-17,52.38,53.1,52.32,53.04,1511400
2005-05-18,53.3,53.74,53.02,53.74,1490000
2005-05-19,53.7,53.98,53.55,53.95,1303000
2005-05-20,54.0,54.22,53.68,54.05,1238400
2005-05-23,53.82,54.24,53.68,54.0,1480800
2005-05-24,53.9,54.18,53.85,54.03,1240400
2005-05-25,53.85,54.0,53.26,53.5,910000
2005-05-26,53.5,54.08,53.5,53.84,921000
2005-05-27,53.77,54.19,53.62,53.98,1358400
2005-05-31,54.0,54.3,53.94,53.99,1195000
2005-06-01,53.9,54.24,53.74,54.18,930600
2005-06-02,54.19,54.52,54.19,54.4,603400
2005-06-03,54.06,54.35,53.77,54.13,1180600
2005-06-06,54.05,54.79,54.0,54.76,1019600
2005-06-07,55.0,56.08,54.9,54.93,2746600
2005-06-08,55.01,55.45,54.76,54.78,1294200
2005-06-09,54.81,55.16,54.64,55.06,1494400
2005-06-10,54.95,55.85,54.88,55.62,1740800
2005-06-13,55.4,55.8,54.95,55.12,1313200
2005-06-14,55.0,55.2,54.51,55.18,1517200
2005-06-15,55.18,55.75,54.99,55.75,2485000
2005-06-16,55.55,55.7,55.4,55.62,855200
2005-06-17,56.0,56.14,55.74,56.02,1744400
2005-06-20,55.62,56.44,55.4,56.25,1738000
2005-06-21,56.1,56.17,55.48,55.73,1184200
2005-06-22,55.86,56.0,55.44,55.53,979600
2005-06-23,55.66,55.93,55.24,55.24,983600
2005-06-24,55.25,55.64,54.66,54.73,1218000
2005-06-27,54.73,55.13,54.58,55.01,1387200
2005-06-28,55.12,55.62,55.09,55.62,2002400
2005-06-29,55.42,55.45,54.68,54.98,1755400
2005-06-30,55.1,55.48,54.72,54.77,1769200
2005-07-01,54.9,55.1,54.75,54.98,1087800
2005-07-05,54.65,55.54,54.6,55.32,1726400
2005-07-06,55.15,55.38,54.25,54.55,1624600
2005-07-07,54.1,54.32,53.66,54.25,2370400
2005-07-08,54.22,54.72,54.0,54.52,2132400
2005-07-11,54.86,54.98,54.34,54.75,1388000
2005-07-12,54.75,54.88,54.48,54.81,755200
2005-07-13,54.81,55.53,54.81,55.51,1667400
2005-07-14,56.0,56.2,55.75,56.0,1791200
2005-07-15,56.0,56.16,55.78,56.16,882000
2005-07-18,55.45,55.65,55.29,55.52,1376200
