Date,Open,High,Low,Close,Volume
2005-01-03,36.15,36.3,35.03,35.3,1222800
2005-01-04,35.33,35.77,34.6,34.73,1250500
2005-01-05,34.73,34.75,33.12,33.54,1775100
2005-01-06,33.34,33.92,33.28,33.59,910100
2005-01-07,34.3,34.56,33.6,34.12,887200
2005-01-10,34.13,34.19,33.46,33.56,793100
2005-01-11,33.6,33.68,32.93,33.3,857800
2005-01-12,32.94,33.12,31.75,32.74,1715600
2005-01-13,32.74,33.9,32.5,33.33,1236300
2005-01-14,33.28,33.72,33.16,33.22,646800
2005-01-18,33.05,33.55,32.9,33.5,718100
2005-01-19,33.5,34.11,33.36,34.01,1041000
2005-01-20,33.9,33.91,33.4,33.54,618000
2005-01-21,33.54,33.69,33.13,33.25,744700
2005-01-24,33.25,33.53,32.7,32.85,716900
2005-01-25,32.84,33.09,31.75,31.83,1006300
2005-01-26,31.87,32.04,31.51,31.78,759100
2005-01-27,31.78,31.95,31.41,31.64,788800
2005-01-28,31.77,32.03,31.5,32.0,901400
2005-01-31,32.15,32.31,31.38,31.77,1094800
2005-02-01,31.65,32.45,31.58,32.45,957100
2005-02-02,32.5,33.0,32.3,33.0,859500
2005-02-03,33.38,33.6,33.17,33.6,1026300
2005-02-04,33.82,34.43,33.62,34.17,874800
2005-02-07,34.42,34.42,34.1,34.3,649400
2005-02-08,34.3,34.95,34.17,34.9,951400
2005-02-09,35.03,35.82,35.0,35.8,1490000
2005-02-10,35.85,36.75,35.68,36.55,1287900
2005-02-11,36.55,37.11,36.25,36.74,1330800
2005-02-14,36.85,37.5,36.82,37.28,1132600
2005-02-15,37.05,37.37,36.99,37.15,1136300
2005-02-16,37.15,37.75,36.9,37.54,1119000
2005-02-17,37.59,37.71,37.27,37.47,900400
2005-02-18,37.35,37.35,36.52,36.52,1423100
2005-02-22,36.53,36.53,35.43,35.48,1011900
2005-02-23,35.85,36.3,35.15,35.25,1280400
2005-02-24,35.4,35.5,35.08,35.2,1105200
2005-02-25,35.21,35.57,35.21,35.57,908300
2005-02-28,35.5,35.72,34.83,34.9,1229400
2005-03-01,34.91,35.3,34.7,34.95,1203500
2005-03-02,34.85,35.04,34.65,34.87,783500
2005-03-03,34.89,35.1,34.6,34.9,942200
2005-03-04,34.91,35.89,34.91,35.68,1176000
2005-03-07,35.6,36.23,35.43,35.93,1281000
2005-03-08,35.85,35.85,35.26,35.4,920900
2005-03-09,35.21,35.22,33.7,33.91,1287400
2005-03-10,33.99,34.47,33.68,34.33,840900
2005-03-11,34.1,34.16,33.67,33.85,637800
2005-03-14,33.85,34.4,33.69,34.4,684600
2005-03-15,34.46,34.86,33.69,34.03,466300
2005-03-16,34.04,34.25,33.5,33.55,641700
2005-03-17,33.66,34.38,33.66,34.18,704500
2005-03-18,34.2,34.8,34.1,34.32,998900
2005-03-21,34.57,34.57,33.8,33.99,1127800
2005-03-22,33.93,34.58,33.16,33.21,1383200
2005-03-23,33.21,33.22,32.62,32.95,1301200
2005-03-24,32.96,33.73,32.79,33.0,1141400
2005-03-28,32.92,33.01,32.71,32.83,736500
2005-03-29,32.75,33.44,32.7,32.98,824200
2005-03-30,32.98,33.95,32.96,33.9,882000
2005-03-31,33.91,34.53,33.83,34.1,1313800
2005-04-01,35.7,35.7,33.8,34.0,1808200
2005-04-04,33.9,33.91,33.4,33.8,861600
2005-04-05,33.8,33.99,33.66,33.9,923600
2005-04-06,33.9,34.27,33.86,34.06,2656900
2005-04-07,34.0,34.32,34.0,34.32,1308900
2005-04-08,34.26,34.26,33.95,34.05,913800
2005-04-11,34.05,34.11,33.9,34.11,568000
2005-04-12,33.98,35.03,33.87,35.02,1717800
2005-04-13,35.0,35.17,34.5,34.95,2436800
2005-04-14,34.96,35.04,34.55,34.72,949900
2005-04-15,34.8,34.82,34.33,34.65,1124200
2005-04-18,35.1,35.24,34.65,35.02,1078000
2005-04-19,35.03,35.62,35.03,35.51,822100
2005-04-20,35.52,35.72,35.25,35.58,802900
2005-04-21,35.65,35.88,35.4,35.83,840600
2005-04-22,35.97,37.06,35.91,36.95,1852700
2005-04-25,36.95,37.75,36.91,37.55,1496400
2005-04-26,37.56,38.07,37.55,37.91,934800
2005-04-27,37.91,38.48,37.71,38.1,1383900
2005-04-28,38.25,38.38,37.8,38.15,1176300
2005-04-29,38.24,39.15,37.87,39.11,1146700
2005-05-02,39.3,39.3,38.1,38.39,1131500
2005-05-03,37.81,37.81,37.17,37.53,2118300
2005-05-04,37.37,38.0,37.13,38.0,1032600
2005-05-05,38.0,38.38,37.82,37.96,594300
2005-05-06,37.46,37.64,36.8,37.1,1058800
2005-05-09,37.0,37.85,36.89,37.75,1266400
2005-05-10,37.65,38.15,37.5,38.15,676500
2005-05-11,38.1,38.3,37.72,38.26,833100
2005-05-12,38.12,38.5,37.63,37.83,713500
2005-05-13,37.83,37.92,37.25,37.35,711800
2005-05-16,37.48,38.0,37.36,38.0,553000
2005-05-17,37.86,38.35,37.76,38.17,875100
2005-05-18,38.35,38.83,38.26,38.83,1031600
2005-05-19,38.8,39.24,38.67,39.21,717000
2005-05-20,39.1,39.75,38.78,39.71,1046600
2005-05-23,39.77,40.21,39.65,39.88,933400
2005-05-24,39.42,39.64,38.78,39.04,1276700
2005-05-25,38.82,39.01,38.0,38.31,905000
2005-05-26,38.22,38.68,38.0,38.15,516600
2005-05-27,38.35,38.5,37.99,38.5,411700
2005-05-31,38.67,39.1,38.62,38.93,1295700
2005-06-01,38.92,39.95,38.8,39.87,756800
2005-06-02,39.85,39.89,39.5,39.59,403700
2005-06-03,39.7,40.3,39.61,39.9,971900
2005-06-06,39.65,40.18,39.65,40.05,1067000
2005-06-07,40.03,40.73,39.99,40.26,1085700
2005-06-08,40.23,40.93,40.22,40.52,615000
2005-06-09,40.4,40.72,40.12,40.63,576100
2005-06-10,40.51,40.78,40.4,40.63,496700
2005-06-13,40.45,40.58,40.27,40.57,925700
2005-06-14,40.42,41.28,40.27,41.27,498500
2005-06-15,41.24,41.25,40.76,41.02,560700
2005-06-16,40.98,41.22,40.73,41.17,628100
2005-06-17,41.31,42.08,41.31,41.84,1108800
2005-06-20,41.7,41.75,41.36,41.37,1092200
2005-06-21,41.26,41.4,40.7,40.71,845800
2005-06-22,40.9,41.2,40.61,40.68,481000
2005-06-23,40.54,40.95,40.53,40.69,595300
2005-06-24,40.6,41.0,40.37,40.51,2049200
2005-06-27,40.39,40.7,40.25,40.49,524800
2005-06-28,40.37,40.74,40.13,40.65,1057700
2005-06-29,40.59,41.13,40.53,40.75,557900
2005-06-30,40.71,41.11,40.21,41.09,1083500
2005-07-01,41.09,41.81,40.82,41.81,556700
2005-07-05,41.75,42.26,41.7,42.25,874400
2005-07-06,42.25,42.64,42.06,42.07,651200
2005-07-07,41.72,42.65,41.72,42.64,565700
2005-07-08,42.64,43.75,42.6,43.38,562300
2005-07-11,44.0,44.31,43.88,43.95,1237200
2005-07-12,44.0,44.85,43.7,44.43,1139500
2005-07-13,44.5,44.5,43.4,43.87,1793700
2005-07-14,43.87,43.93,42.69,42.92,1312500
2005-07-15,42.8,43.44,42.48,43.36,852900
2005-07-18,43.15,43.88,43.15,43.47,761500
2005-07-19,43.47,43.81,43.42,43.6,758900
2005-07-20,43.8,44.37,43.4,44.23,707300
2005-07-21,44.23,44.36,43.02,43.5,1113800
2005-07-22,43.35,44.0,43.35,43.86,843100
2005-07-25,43.65,44.55,43.65,44.35,714100
2005-07-26,44.75,45.33,44.53,45.21,812900
2005-07-27,45.3,46.06,44.98,45.71,1945500
2005-07-28,45.75,46.46,45.67,46.25,1239000
2005-07-29,46.3,46.5,45.94,45.98,770300
2005-08-01,46.18,46.64,45.81,46.5,798800
2005-08-02,46.6,47.48,46.33,47.47,1090500
2005-08-03,46.42,47.2,46.39,46.88,1083300
2005-08-04,46.4,46.68,45.92,45.98,1240200
2005-08-05,45.5,45.56,43.88,43.89,1820500
2005-08-08,42.5,43.25,41.55,41.76,2253500
2005-08-09,42.6,43.49,42.13,42.66,2233500
2005-08-10,43.05,44.01,42.97,43.03,1294400
2005-08-11,43.02,43.95,42.87,43.79,616900
2005-08-12,43.9,44.37,43.6,44.26,870400
2005-08-15,44.26,44.7,44.0,44.48,947300
2005-08-16,44.52,45.17,44.44,45.04,1177800
2005-08-17,45.0,45.3,44.53,44.8,1554600
2005-08-18,44.6,44.82,44.17,44.27,1250500
2005-08-19,44.45,44.45,43.81,44.02,669800
2005-08-22,43.95,44.43,43.94,44.17,581900
2005-08-23,44.33,44.75,44.15,44.5,731100
2005-08-24,44.69,45.29,44.6,44.74,610500
2005-08-25,44.99,45.02,44.55,44.66,497900
2005-08-26,44.7,45.02,43.89,43.9,769100
2005-08-29,43.76,44.08,43.24,43.76,724900
2005-08-30,43.59,44.0,43.4,43.98,688200
2005-08-31,43.9,45.54,43.86,45.09,1353000
2005-09-01,45.34,45.99,44.93,45.5,1146800
2005-09-02,45.75,46.12,45.5,45.54,606100
2005-09-06,45.61,47.02,45.61,47.01,904000
2005-09-07,46.95,47.02,46.39,46.8,1141700
2005-09-08,46.49,47.21,46.27,46.47,1234400
2005-09-09,46.52,47.02,46.2,46.84,857800
2005-09-12,46.84,46.9,46.35,46.5,994000
2005-09-13,46.3,46.57,46.14,46.32,650700
2005-09-14,46.3,46.44,45.81,46.18,959900
2005-09-15,46.15,46.37,45.57,45.74,813600
2005-09-16,45.74,45.77,45.2,45.29,1045800
2005-09-19,45.29,45.36,44.77,44.78,829000
2005-09-20,44.68,45.24,44.18,44.34,828100
2005-09-21,44.25,44.35,42.47,42.7,1957000
