Date,Open,High,Low,Close,Volume
2005-01-03,24.87,24.88,24.4,24.45,4230200
2005-01-04,24.56,24.62,24.24,24.38,3371200
2005-01-05,24.28,24.95,24.22,24.88,7397200
2005-01-06,24.84,24.95,24.71,24.9,4572800
2005-01-07,25.0,25.48,24.98,25.47,10910600
2005-01-10,25.25,25.6,25.25,25.55,6671000
2005-01-11,25.35,25.5,25.3,25.49,6334800
2005-01-12,25.55,25.62,25.18,25.48,5076400
2005-01-13,25.36,25.47,25.24,25.3,3031200
2005-01-14,25.42,25.44,25.22,25.32,3024200
2005-01-18,25.25,25.92,25.2,25.91,5306000
2005-01-19,26.0,26.2,25.93,26.09,7021000
2005-01-20,25.95,26.3,25.95,26.18,6140600
2005-01-21,26.15,26.15,25.92,25.96,4454800
2005-01-24,25.98,26.0,25.76,25.92,4154200
2005-01-25,25.92,26.1,25.78,25.94,5205400
2005-01-26,25.98,26.12,25.95,26.04,3634600
2005-01-27,26.0,26.35,25.95,26.34,3970000
2005-01-28,26.35,26.94,26.25,26.45,8033800
2005-01-31,26.45,26.66,26.36,26.5,4098800
2005-02-01,26.25,26.77,26.16,26.68,4986200
2005-02-02,26.7,26.77,26.48,26.55,3177800
2005-02-03,26.58,26.61,26.45,26.54,3292600
2005-02-04,26.54,26.55,26.42,26.5,7395000
2005-02-07,26.5,26.72,26.33,26.4,9159200
2005-02-08,26.42,26.53,26.32,26.48,4063800
2005-02-09,26.4,26.46,26.25,26.32,2830400
2005-02-10,26.32,26.42,26.23,26.32,3099000
2005-02-11,26.32,26.4,26.26,26.32,4241400
2005-02-14,26.33,26.34,26.22,26.31,1557200
2005-02-15,26.44,26.45,26.28,26.32,2493800
2005-02-16,26.28,26.43,26.22,26.35,3424000
2005-02-17,26.34,26.36,26.08,26.08,2596400
2005-02-18,26.04,26.07,25.8,25.87,2428600
2005-02-22,25.75,25.85,25.38,25.38,4870800
2005-02-23,25.38,25.68,25.36,25.68,3464000
2005-02-24,25.68,25.88,25.54,25.88,2524400
2005-02-25,25.8,26.16,25.8,26.02,2888200
2005-02-28,25.94,26.28,25.82,26.18,2231800
2005-03-01,26.18,26.43,26.16,26.42,3115200
2005-03-02,26.3,26.4,26.12,26.16,3263400
2005-03-03,26.17,26.28,26.06,26.17,2216200
2005-03-04,26.24,26.31,25.98,26.15,2267800
2005-03-07,26.18,26.18,25.85,25.92,3832200
2005-03-08,25.96,25.98,25.8,25.85,2576800
2005-03-09,25.85,25.85,25.51,25.57,3448600
2005-03-10,25.72,25.95,25.7,25.88,2781800
2005-03-11,25.82,26.02,25.6,25.66,2481400
2005-03-14,25.68,25.94,25.65,25.94,2886400
2005-03-15,26.08,26.35,26.05,26.2,3862800
2005-03-16,26.08,26.19,25.94,25.98,2769000
2005-03-17,25.98,25.98,25.45,25.5,3434800
2005-03-18,25.5,25.76,25.5,25.76,5476000
