Date,Open,High,Low,Close,Volume
2005-01-03,98.8,101.92,97.83,101.46,15860692
2005-01-04,100.77,101.57,96.84,97.35,13762396
2005-01-05,96.82,98.55,96.21,96.85,8239545
2005-01-06,97.72,98.05,93.95,94.37,10389803
2005-01-07,95.42,97.22,94.48,97.02,9666175
2005-01-10,97.35,99.15,96.01,97.63,7554795
2005-01-11,97.91,98.95,96.69,96.87,6962544
2005-01-12,97.26,98.06,95.35,97.79,8361295
2005-01-13,97.79,98.79,97.12,97.76,6852573
2005-01-14,98.1,100.11,97.16,100.08,9643747
2005-01-18,100.55,102.61,99.43,102.05,13237127
2005-01-19,102.42,102.75,98.45,98.75,11351583
2005-01-20,96.39,98.22,96.1,97.06,9003777
2005-01-21,97.32,97.78,94.15,94.23,9294685
2005-01-24,94.44,94.76,90.25,90.45,14034232
2005-01-25,91.19,91.21,88.23,88.65,10696013
2005-01-26,89.72,94.8,89.66,94.71,12345935
2005-01-27,94.47,94.52,92.69,94.13,6631221
2005-01-28,95.11,97.45,93.26,95.27,12212727
2005-01-31,96.94,98.28,95.96,97.91,9600561
2005-02-01,97.29,101.98,95.41,96.05,19153969
2005-02-02,107.88,108.51,101.93,103.08,32874261
2005-02-03,103.1,106.79,103.01,105.54,13005885
2005-02-04,103.34,103.98,101.4,102.28,14823134
2005-02-07,102.73,103.3,97.85,98.11,12981698
2005-02-08,98.58,100.11,97.36,99.42,11493216
2005-02-09,100.48,100.9,94.82,95.89,17310425
2005-02-10,96.08,96.2,92.72,94.08,18986725
2005-02-11,93.42,96.26,93.13,93.79,13126137
2005-02-14,91.52,96.64,90.59,96.59,38576169
2005-02-15,96.9,100.02,96.64,97.71,25857576
2005-02-16,97.45,99.76,97.25,99.3,16653921
2005-02-17,99.01,99.97,98.5,99.05,10426333
2005-02-18,99.35,99.52,98.43,99.07,8507046
2005-02-22,98.35,99.55,95.29,95.78,13506512
2005-02-23,96.75,97.34,94.42,97.07,15650711
2005-02-24,91.78,95.02,91.21,94.54,25837038
2005-02-25,94.67,95.05,92.85,93.03,9983901
2005-02-28,93.09,95.03,93.02,94.09,7824418
2005-03-01,94.74,94.97,92.79,93.12,9431762
2005-03-02,93.07,93.93,92.27,92.68,7325936
2005-03-03,93.16,93.97,92.25,93.6,7612159
2005-03-04,93.44,93.72,92.63,93.04,6778129
2005-03-07,93.98,94.89,93.61,94.5,8710529
2005-03-08,94.64,95.02,92.58,92.69,8046020
2005-03-09,92.2,92.42,90.17,90.77,11375297
2005-03-10,90.6,90.69,88.79,90.08,10964011
2005-03-11,90.31,90.57,88.66,88.99,8030469
2005-03-14,89.25,89.29,86.37,87.58,11146592
2005-03-15,87.74,90.09,87.19,89.39,10444435
2005-03-16,88.44,89.39,87.59,87.89,7151929
2005-03-17,88.65,89.91,87.99,89.73,8261695
2005-03-18,89.49,90.29,89.24,90.11,7153356
2005-03-21,89.72,91.18,88.71,90.53,7483615
2005-03-22,90.68,91.06,89.01,89.39,5649453
2005-03-23,89.07,90.21,89.07,89.58,4857419
2005-03-24,90.44,90.52,89.69,89.71,3727539
2005-03-28,90.93,92.49,90.57,90.8,8748100
2005-03-29,90.62,91.73,89.12,89.87,6478302
2005-03-30,90.41,90.82,89.89,90.32,6260231
2005-03-31,89.06,90.79,88.91,90.35,6770462
2005-04-01,90.97,91.57,90.08,90.11,6196316
2005-04-04,90.06,92.75,90.01,92.74,8078608
2005-04-05,93.96,95.23,93.88,94.38,8750113
2005-04-06,94.71,94.92,93.88,94.7,5278872
2005-04-07,94.48,97.41,94.41,96.98,9694562
2005-04-08,96.94,97.65,95.82,96.12,5116704
2005-04-11,96.64,97.5,96.26,96.71,5411925
2005-04-12,96.6,97.31,94.8,97.07,7322292
2005-04-13,96.83,97.26,94.96,96.56,6558128
2005-04-14,96.73,97.28,95.15,95.82,6162356
2005-04-15,95.15,95.27,92.42,92.59,11584509
2005-04-18,92.38,94.03,91.84,93.58,6553403
2005-04-19,94.76,96.1,94.11,95.8,8560170
