Date,Open,High,Low,Close,Volume
2005-01-03,21.0,21.11,20.85,20.97,5749900
2005-01-04,20.91,20.99,20.54,20.65,7543300
2005-01-05,20.56,20.93,20.53,20.74,7098500
2005-01-06,21.15,21.43,20.89,20.95,9183000
2005-01-07,20.71,20.95,20.62,20.72,4341400
2005-01-10,20.68,20.95,20.61,20.91,11016700
2005-01-11,20.82,20.9,20.68,20.83,3328200
2005-01-12,20.8,20.98,20.7,20.97,2751400
2005-01-13,20.87,20.93,20.71,20.73,3513700
2005-01-14,20.7,21.16,20.65,20.95,6750600
2005-01-18,20.82,21.13,20.77,21.0,6200400
2005-01-19,21.0,21.03,20.87,20.89,6828600
2005-01-20,20.89,20.97,20.82,20.85,5444400
2005-01-21,20.98,21.04,20.75,20.86,4405800
2005-01-24,20.96,20.96,20.74,20.8,3915700
2005-01-25,20.95,21.31,20.9,21.18,4988700
2005-01-26,21.17,21.35,20.97,21.26,3860500
2005-01-27,21.26,22.52,21.23,21.84,22107800
2005-01-28,21.8,21.86,21.55,21.81,4282000
2005-01-31,21.95,22.14,21.78,22.01,4475400
2005-02-01,22.05,22.05,21.79,21.88,3303200
2005-02-02,21.86,22.0,21.74,21.86,5447800
2005-02-03,21.5,21.62,21.34,21.44,5735100
2005-02-04,21.86,21.86,21.33,21.39,4833200
2005-02-07,21.43,21.75,21.4,21.53,2372200
2005-02-08,21.44,21.52,21.22,21.44,2232000
2005-02-09,21.49,21.49,21.11,21.2,5649200
2005-02-10,21.34,21.67,21.19,21.49,4191100
2005-02-11,21.51,21.75,21.43,21.69,3521300
2005-02-14,21.65,21.67,21.37,21.4,1886200
2005-02-15,21.56,21.73,21.47,21.55,3580700
2005-02-16,21.55,21.61,21.17,21.47,2679400
2005-02-17,21.39,21.57,21.04,21.15,2546900
2005-02-18,21.15,21.32,20.85,21.09,2945800
2005-02-22,20.99,21.19,20.74,20.75,3225800
2005-02-23,20.41,21.26,20.41,21.17,4958400
