Date,Open,High,Low,Close,Volume
2005-01-03,30.68,30.72,28.86,29.46,2141200
2005-01-04,29.78,29.9,28.0,28.32,2535800
2005-01-05,27.95,28.26,26.28,26.78,4568600
2005-01-06,26.78,26.97,26.26,26.67,1725800
2005-01-07,26.7,27.3,26.56,26.69,1667600
2005-01-10,26.54,26.68,25.88,25.96,1748200
2005-01-11,25.7,25.71,24.58,24.63,3298200
2005-01-12,25.14,25.56,24.44,25.18,4770400
2005-01-13,25.4,26.25,25.1,25.88,3859000
2005-01-14,26.09,26.41,25.65,26.28,1610600
2005-01-18,26.41,26.84,26.24,26.73,1277400
2005-01-19,26.75,26.84,25.9,26.16,1413400
2005-01-20,26.16,26.16,25.2,25.62,1688400
2005-01-21,25.62,26.2,25.1,25.16,1767600
2005-01-24,25.34,26.0,24.94,25.1,1508200
2005-01-25,25.2,25.74,24.88,25.22,922800
2005-01-26,25.4,25.77,25.15,25.62,829400
2005-01-27,25.62,25.62,25.0,25.6,929000
2005-01-28,25.62,25.72,25.09,25.48,1539200
2005-01-31,26.5,28.65,26.44,27.5,4466400
2005-02-01,27.79,28.02,27.29,27.59,1551200
2005-02-02,27.36,28.92,27.35,28.88,2017200
2005-02-03,28.75,28.94,28.34,28.83,1100800
2005-02-04,28.85,28.95,28.25,28.48,1171600
2005-02-07,28.66,28.76,27.93,28.12,942800
2005-02-08,28.28,28.9,27.92,28.61,1706200
2005-02-09,29.04,29.6,26.78,27.42,5007200
2005-02-10,27.56,27.92,27.0,27.28,1970000
2005-02-11,27.14,27.62,26.75,27.6,978600
2005-02-14,27.62,27.86,27.1,27.6,1352200
2005-02-15,27.62,27.82,27.12,27.48,996400
2005-02-16,27.46,27.74,27.42,27.59,495200
2005-02-17,27.5,27.75,27.4,27.46,907800
2005-02-18,27.4,27.54,26.42,26.6,1518400
2005-02-22,26.28,26.44,25.52,25.56,1963000
2005-02-23,25.6,25.9,25.26,25.56,1250600
2005-02-24,25.48,25.86,25.18,25.61,1046800
2005-02-25,25.65,25.95,25.23,25.74,844800
2005-02-28,25.74,26.42,25.53,25.62,1018800
2005-03-01,25.75,26.18,25.38,25.7,723000
2005-03-02,25.65,25.87,25.38,25.46,595600
2005-03-03,25.5,25.7,24.72,25.48,1557800
2005-03-04,25.54,26.95,25.5,25.96,2052800
2005-03-07,26.1,26.8,25.96,26.35,1268200
2005-03-08,26.24,26.69,25.88,25.89,650200
2005-03-09,25.92,26.24,25.5,25.61,570800
2005-03-10,25.82,25.82,24.96,25.3,1214000
2005-03-11,25.43,25.78,24.83,25.0,1349200
2005-03-14,25.0,25.2,24.74,25.1,589800
2005-03-15,25.12,25.14,23.14,24.0,3088200
2005-03-16,23.5,23.96,23.26,23.47,1526600
2005-03-17,23.4,24.85,23.15,24.19,2270800
2005-03-18,24.07,24.62,23.84,24.08,1255000
2005-03-21,24.21,24.43,23.9,23.94,901600
2005-03-22,24.0,24.24,23.31,23.5,1147000
2005-03-23,23.39,24.02,23.3,23.82,694400
2005-03-24,24.0,24.14,23.66,23.7,880400
2005-03-28,23.63,23.63,21.77,22.33,3035200
2005-03-29,22.17,22.7,21.88,22.42,1524200
2005-03-30,22.5,22.88,22.5,22.84,1097400
2005-03-31,22.94,23.4,22.82,23.16,1266000
2005-04-01,23.44,23.64,22.36,22.5,1266400
2005-04-04,22.53,22.89,22.18,22.72,1055800
2005-04-05,22.72,23.06,22.56,23.01,646600
2005-04-06,23.19,23.54,22.99,23.14,1025200
2005-04-07,23.01,23.04,22.58,22.74,2186000
2005-04-08,22.88,23.24,22.75,22.9,886600
2005-04-11,23.0,23.06,22.5,22.76,645200
2005-04-12,22.62,23.12,22.31,23.06,845600
2005-04-13,23.22,23.37,22.95,23.06,922600
2005-04-14,23.22,23.33,22.52,22.58,842000
2005-04-15,22.42,22.68,21.74,21.8,1897400
2005-04-18,21.72,22.08,21.22,21.46,2321200
2005-04-19,21.6,21.92,21.33,21.56,1054600
2005-04-20,21.69,22.17,21.5,21.51,1480600
2005-04-21,21.79,21.98,21.52,21.86,1508200
2005-04-22,21.77,21.9,21.49,21.64,1312400
2005-04-25,21.84,21.96,21.69,21.9,646200
2005-04-26,22.0,22.33,21.72,21.76,1564400
2005-04-27,20.62,21.3,19.96,21.12,5898800
2005-04-28,20.98,20.98,20.12,20.28,2721200
2005-04-29,20.35,20.59,19.52,19.75,2557000
2005-05-02,19.98,20.53,19.74,20.24,1585600
2005-05-03,20.34,20.52,20.1,20.36,795400
2005-05-04,20.5,20.6,20.02,20.36,809600
2005-05-05,20.52,20.53,20.04,20.38,1149600
2005-05-06,20.62,20.98,20.4,20.96,860000
2005-05-09,20.97,21.0,20.48,20.7,868400
2005-05-10,20.6,21.32,20.5,21.3,1313400
2005-05-11,21.22,21.89,21.14,21.66,1432000
2005-05-12,21.84,21.86,21.08,21.24,1013800
2005-05-13,21.24,21.58,21.14,21.36,585800
2005-05-16,21.61,21.68,20.76,21.12,956400
2005-05-17,21.16,21.22,20.9,21.15,628400
2005-05-18,21.15,22.4,21.15,22.02,2248400
2005-05-19,22.2,22.3,21.88,21.92,1280600
2005-05-20,22.01,22.25,21.9,22.2,565600
2005-05-23,22.5,22.7,22.17,22.64,1302800
2005-05-24,22.51,22.7,21.82,21.99,1866400
2005-05-25,22.14,22.14,21.43,21.55,737400
2005-05-26,21.55,22.24,21.48,21.91,1123800
2005-05-27,22.06,22.26,21.75,22.17,1241600
2005-05-31,22.28,22.56,22.08,22.18,549000
2005-06-01,22.3,22.56,22.06,22.36,705800
2005-06-02,22.58,22.6,22.03,22.12,705600
2005-06-03,22.2,22.25,21.7,21.72,575400
2005-06-06,21.82,22.06,21.6,21.66,524600
2005-06-07,21.65,21.7,21.1,21.26,1355000
2005-06-08,21.12,21.55,21.09,21.14,780800
2005-06-09,21.41,21.42,20.76,21.1,889800
2005-06-10,21.01,21.2,20.76,20.88,759200
2005-06-13,20.94,21.26,20.85,21.09,849000
2005-06-14,21.16,21.27,20.94,21.0,707000
2005-06-15,21.2,21.2,20.9,21.06,716200
2005-06-16,21.1,22.06,21.02,22.0,948000
2005-06-17,22.0,22.27,21.56,22.26,1751200
2005-06-20,22.24,22.4,21.8,22.06,751000
2005-06-21,22.08,22.1,21.4,21.68,805400
2005-06-22,21.81,21.89,21.33,21.82,555000
2005-06-23,22.03,22.04,21.12,21.2,925000
2005-06-24,21.08,21.18,20.6,20.68,1189800
2005-06-27,20.56,21.04,20.52,20.54,1097800
2005-06-28,20.6,21.01,20.56,20.76,1319000
2005-06-29,20.78,21.18,20.7,21.16,747000
2005-06-30,21.38,21.68,21.26,21.38,1394400
2005-07-01,21.55,22.04,21.46,21.84,1641800
2005-07-05,21.97,22.17,21.7,22.08,870800
2005-07-06,22.06,24.16,22.02,24.09,3318000
2005-07-07,23.5,24.09,23.44,23.75,1532800
2005-07-08,23.75,24.45,23.52,24.2,1400800
2005-07-11,23.58,24.18,23.55,23.62,2031000
2005-07-12,23.7,23.88,23.16,23.7,1209400
2005-07-13,23.82,24.32,23.7,23.76,751800
2005-07-14,24.0,24.24,23.79,24.04,439800
2005-07-15,24.28,25.28,24.22,25.22,2516000
2005-07-18,25.18,25.18,24.3,25.0,1246600
2005-07-19,25.09,25.4,24.56,25.27,907200
2005-07-20,25.2,26.42,25.1,26.27,1590600
2005-07-21,26.15,26.59,25.74,26.02,999000
2005-07-22,25.98,26.22,25.5,25.64,839000
2005-07-25,25.98,26.0,25.42,25.64,559400
2005-07-26,25.79,26.6,25.64,26.28,1422000
2005-07-27,28.56,28.72,27.12,27.44,8629200
2005-07-28,27.66,27.68,27.02,27.3,1388400
2005-07-29,27.44,27.64,27.15,27.44,1155000
2005-08-01,27.56,27.75,27.22,27.56,882800
2005-08-02,27.45,27.75,27.14,27.37,1009400
2005-08-03,27.18,27.54,26.76,27.01,1139600
2005-08-04,26.88,27.09,25.96,26.12,1512600
2005-08-05,26.14,27.02,26.0,26.52,1118800
2005-08-08,26.73,27.0,26.56,26.84,1139800
2005-08-09,26.98,27.59,26.96,27.5,1292000
2005-08-10,27.5,27.9,27.5,27.59,1600600
2005-08-11,27.8,28.5,27.75,28.38,1321600
2005-08-12,28.32,28.4,27.8,28.12,1441000
2005-08-15,28.1,28.46,27.88,28.36,869400
2005-08-16,28.38,28.38,27.24,27.4,1347800
2005-08-17,27.36,27.74,27.32,27.46,791000
2005-08-18,27.42,27.89,27.32,27.52,1046000
2005-08-19,27.52,27.91,27.28,27.82,886200
2005-08-22,28.0,28.25,27.82,28.0,703600
2005-08-23,28.04,28.39,28.04,28.16,879800
2005-08-24,28.2,28.81,27.84,27.98,957600
2005-08-25,27.86,28.71,27.86,28.06,539800
2005-08-26,28.0,28.28,27.78,27.8,801600
2005-08-29,27.8,28.12,27.58,27.93,733800
2005-08-30,27.74,28.3,27.74,28.26,876400
2005-08-31,28.23,28.95,28.14,28.95,1218200
2005-09-01,28.94,29.46,28.78,29.38,1259800
2005-09-02,29.25,29.96,29.22,29.71,997600
2005-09-06,29.9,30.0,29.71,29.98,758000
2005-09-07,29.82,30.04,29.82,29.98,622800
2005-09-08,30.18,30.46,30.05,30.34,1253200
2005-09-09,30.22,31.3,30.2,31.16,2050800
2005-09-12,31.24,31.74,31.14,31.63,1246600
2005-09-13,31.52,32.5,31.29,32.32,2947800
2005-09-14,32.3,32.48,31.67,32.0,1611600
2005-09-15,32.07,32.49,32.06,32.4,1251600
2005-09-16,32.27,33.58,32.22,33.47,2552800
2005-09-19,33.53,33.7,33.38,33.67,2123200
2005-09-20,33.7,33.95,33.05,33.09,2208200
2005-09-21,33.21,33.21,30.84,31.46,3825400
2005-09-22,31.5,31.6,30.58,30.8,2439200
2005-09-23,31.22,31.7,31.0,31.12,1767200
2005-09-26,31.18,32.06,30.33,30.81,1972600
2005-09-27,31.01,31.8,30.38,31.35,2524400
2005-09-28,31.28,32.01,30.36,31.09,1944600
2005-09-29,31.08,33.67,31.08,33.34,3766200
2005-09-30,33.45,34.04,33.24,33.92,2815800
2005-10-03,34.36,35.22,34.01,35.2,3159000
2005-10-04,35.22,35.34,34.46,34.68,2037400
2005-10-05,34.48,34.5,33.01,33.24,2202200
2005-10-06,33.28,33.71,32.78,33.16,1879000
2005-10-07,33.13,33.44,33.0,33.02,1190200
2005-10-10,33.2,33.35,32.62,32.76,1079800
2005-10-11,33.1,33.1,31.88,32.52,3414000
2005-10-12,32.54,32.58,31.02,31.26,2370000
2005-10-13,31.35,32.12,30.55,31.22,2878400
2005-10-14,31.48,32.0,30.54,31.93,1648200
2005-10-17,32.06,32.22,31.34,31.52,746200
