Date,Open,High,Low,Close,Volume
2005-01-03,14.67,14.97,14.58,14.9,3805100
2005-01-04,14.98,15.0,14.32,14.46,3366700
2005-01-05,14.46,14.75,14.15,14.34,2381100
2005-01-06,14.36,14.81,14.35,14.63,3374000
2005-01-07,14.7,14.74,14.58,14.7,2375200
2005-01-10,14.7,14.83,14.55,14.59,3274200
2005-01-11,14.57,14.65,14.45,14.56,1950000
2005-01-12,14.53,14.69,14.33,14.51,2194800
2005-01-13,14.5,15.09,14.47,14.87,4822100
2005-01-14,14.94,15.4,14.8,15.32,3005500
2005-01-18,15.2,15.41,14.87,15.36,3733600
2005-01-19,15.3,15.54,15.17,15.24,1905600
2005-01-20,15.2,15.21,14.71,14.79,3154600
2005-01-21,14.79,14.85,14.45,14.52,2685800
2005-01-24,14.51,14.63,14.34,14.39,2964100
2005-01-25,14.4,15.0,14.4,14.62,2840600
2005-01-26,14.61,15.19,14.53,15.06,4663600
2005-01-27,15.06,15.64,14.98,15.61,4442100
2005-01-28,15.55,15.6,15.2,15.37,1946300
2005-01-31,15.45,15.68,15.22,15.44,2609800
2005-02-01,15.5,16.09,15.47,15.96,2347800
2005-02-02,15.99,16.09,15.7,15.99,1398600
2005-02-03,15.87,16.0,15.62,16.0,2861900
2005-02-04,15.46,15.59,14.3,14.42,10292800
2005-02-07,14.37,14.45,13.85,14.05,5442100
2005-02-08,14.1,14.34,14.07,14.26,2473600
2005-02-09,14.26,14.35,13.84,13.9,2254000
2005-02-10,13.87,13.93,13.62,13.77,3652400
2005-02-11,13.76,14.19,13.65,14.0,1739200
2005-02-14,14.04,14.34,14.04,14.28,1547500
2005-02-15,14.29,14.72,14.29,14.45,2086800
2005-02-16,14.33,14.34,13.89,13.91,3727000
2005-02-17,13.9,13.96,13.64,13.7,2214900
2005-02-18,13.8,13.96,13.68,13.79,1753400
2005-02-22,13.75,13.76,13.1,13.12,3049000
2005-02-23,13.65,14.09,13.65,14.0,8710800
2005-02-24,14.0,14.44,13.9,14.35,3547200
2005-02-25,14.35,14.75,14.26,14.71,2931900
2005-02-28,14.71,14.71,14.23,14.46,1827300
2005-03-01,14.58,14.67,14.48,14.55,1457100
2005-03-02,14.45,14.64,14.12,14.45,2053200
2005-03-03,14.47,14.64,14.27,14.39,2075900
2005-03-04,14.43,14.58,14.24,14.53,1598700
2005-03-07,14.51,14.74,14.43,14.66,1450100
2005-03-08,14.61,14.71,14.39,14.53,1194500
2005-03-09,14.35,14.5,14.29,14.44,1385400
2005-03-10,14.4,14.63,14.26,14.63,2180000
2005-03-11,14.65,15.04,14.62,14.76,2818900
2005-03-14,14.7,15.02,14.56,14.84,2126700
2005-03-15,14.78,14.81,14.37,14.5,2682000
2005-03-16,14.15,14.45,13.92,14.04,5240100
2005-03-17,14.09,14.12,13.35,13.88,5849700
2005-03-18,13.92,13.99,13.54,13.65,3582200
2005-03-21,13.65,13.77,13.28,13.43,2853800
2005-03-22,13.62,13.82,13.42,13.52,3039800
2005-03-23,13.7,13.81,13.36,13.52,2054800
2005-03-24,13.53,14.08,13.5,13.87,2335400
2005-03-28,13.88,14.0,13.65,13.71,3416300
2005-03-29,13.71,13.74,13.16,13.2,2609400
2005-03-30,13.25,13.47,13.25,13.43,2275100
2005-03-31,13.39,13.49,13.3,13.35,2126800
2005-04-01,13.32,13.67,12.97,13.06,4161600
2005-04-04,13.13,13.16,12.82,12.96,3957000
2005-04-05,13.04,13.06,12.86,12.99,2391300
2005-04-06,12.98,13.03,12.87,12.93,2126800
2005-04-07,12.9,13.22,12.83,13.13,1734900
2005-04-08,13.16,13.16,12.77,12.8,2741300
2005-04-11,12.84,13.0,12.78,12.84,3399100
2005-04-12,12.84,12.98,12.45,12.92,2375300
2005-04-13,12.9,12.92,12.47,12.58,2343700
2005-04-14,12.59,12.69,11.84,11.99,3957200
2005-04-15,11.95,12.04,11.25,11.47,7494700
2005-04-18,11.43,11.54,11.24,11.54,4811600
2005-04-19,11.55,11.85,11.51,11.68,5684400
2005-04-20,11.77,11.77,11.35,11.38,3547100
2005-04-21,11.55,11.9,11.46,11.85,2352100
2005-04-22,11.83,11.88,11.65,11.77,2531100
2005-04-25,11.77,11.79,11.59,11.78,1150500
2005-04-26,11.72,11.82,11.55,11.57,1607200
2005-04-27,11.85,12.15,11.73,11.99,4698800
