Date,Open,High,Low,Close,Volume
2005-01-03,42.99,43.22,42.93,43.1,7297300
2005-01-04,43.24,43.27,42.53,42.55,6899600
2005-01-05,42.5,43.25,42.12,42.16,6868300
2005-01-06,42.16,42.33,41.18,41.53,8912200
2005-01-07,41.63,41.66,41.01,41.42,7015500
2005-01-10,41.25,42.05,41.25,41.8,6102500
2005-01-11,41.58,41.84,41.58,41.71,4567500
2005-01-12,41.65,42.25,41.31,42.2,6501900
2005-01-13,42.05,42.2,41.4,41.73,8269600
2005-01-14,41.8,42.0,41.73,41.9,4186200
2005-01-18,41.51,42.24,41.5,42.16,7041700
2005-01-19,41.98,42.22,41.78,41.8,4310700
2005-01-20,41.81,41.81,40.86,41.15,6664100
2005-01-21,41.15,41.39,40.86,40.9,6068400
2005-01-24,41.1,41.11,40.32,40.39,6174100
2005-01-25,40.49,40.88,40.47,40.57,5137100
2005-01-26,40.82,40.82,40.52,40.73,5472300
2005-01-27,40.52,41.06,40.51,40.66,5816400
2005-01-28,40.75,40.82,40.28,40.41,5598500
2005-01-31,40.6,41.34,40.6,41.26,6341200
2005-02-01,41.2,41.31,40.98,41.14,5568900
2005-02-02,41.08,41.35,41.02,41.3,3588100
2005-02-03,41.2,41.62,41.15,41.57,4832100
2005-02-04,41.45,42.43,41.45,42.42,7180200
2005-02-07,42.27,42.52,42.26,42.52,5393300
2005-02-08,42.3,42.6,42.01,42.05,5656200
2005-02-09,42.15,42.28,41.75,41.86,4162200
2005-02-10,42.0,42.45,41.68,42.37,4434300
2005-02-11,42.24,42.99,42.0,42.81,6389800
2005-02-14,42.78,42.9,42.55,42.62,3451000
2005-02-15,42.4,42.85,42.38,42.73,5494200
2005-02-16,42.73,42.73,42.16,42.37,5570100
2005-02-17,42.26,42.45,41.51,41.81,6922600
2005-02-18,41.82,42.23,41.74,42.02,6069400
2005-02-22,41.35,41.45,40.1,40.28,14364400
2005-02-23,40.48,40.6,39.63,39.75,12445700
2005-02-24,39.66,39.78,38.88,39.62,15068200
2005-02-25,39.76,40.61,39.62,40.58,9847200
2005-02-28,40.25,40.65,40.02,40.02,8191900
2005-03-01,40.05,40.18,39.84,40.05,9299300
2005-03-02,40.0,40.19,39.78,39.98,9121700
2005-03-03,39.99,40.15,39.7,39.72,7010800
2005-03-04,39.95,40.15,39.7,40.09,5640400
2005-03-07,40.01,40.27,39.79,39.88,6847400
2005-03-08,39.95,40.14,39.85,39.97,5578000
2005-03-09,39.84,39.9,39.48,39.49,7951500
2005-03-10,39.41,39.89,39.41,39.89,5579000
2005-03-11,40.0,40.0,39.36,39.42,5837300
2005-03-14,39.6,39.67,38.76,39.47,8673000
2005-03-15,39.65,39.99,39.55,39.76,7214000
2005-03-16,39.46,39.84,38.66,38.88,9599900
2005-03-17,38.79,39.01,38.52,38.91,6771300
2005-03-18,38.92,39.1,38.69,38.88,11037100
2005-03-21,38.64,38.67,37.51,37.99,11312600
2005-03-22,38.0,38.38,37.82,37.82,7511900
2005-03-23,37.54,37.97,37.44,37.7,17045500
2005-03-24,37.69,38.33,37.6,38.03,7649000
2005-03-28,38.3,38.79,38.2,38.59,6308900
2005-03-29,38.4,38.65,37.66,37.69,8158500
2005-03-30,37.85,38.42,37.83,38.15,6388300
2005-03-31,38.18,38.64,38.1,38.24,6716200
2005-04-01,38.4,38.75,36.96,37.6,12160300
2005-04-04,37.55,38.05,37.31,37.91,9666200
2005-04-05,37.7,38.35,37.47,38.23,7183300
2005-04-06,37.85,38.31,37.7,37.79,5966700
2005-04-07,37.61,37.7,37.23,37.4,9938400
2005-04-08,37.51,37.78,37.3,37.48,8287700
2005-04-11,37.55,37.99,37.36,37.74,6325700
2005-04-12,37.83,38.74,37.63,38.55,7184300
2005-04-13,38.4,38.56,37.77,37.9,6411800
2005-04-14,37.77,37.77,37.08,37.15,9810800
2005-04-15,36.57,36.95,35.75,36.11,12599300
2005-04-18,36.11,36.83,36.03,36.73,8421300
2005-04-19,36.7,36.74,36.22,36.46,6049700
2005-04-20,36.01,36.09,35.28,35.6,11174200
2005-04-21,35.9,36.67,35.9,36.67,8098300
2005-04-22,36.67,36.67,35.67,36.02,7728700
2005-04-25,36.02,36.59,36.0,36.2,6151400
2005-04-26,36.06,36.77,36.01,36.2,5501500
2005-04-27,36.01,36.59,35.88,36.03,7302700
2005-04-28,35.75,35.86,34.89,35.09,11309400
2005-04-29,35.25,35.49,34.56,35.37,10163100
2005-05-02,35.67,36.4,35.54,36.26,8235100
2005-05-03,35.7,37.09,35.68,36.75,9676000
2005-05-04,36.82,37.2,36.66,37.1,7103200
2005-05-05,36.98,37.43,36.66,36.85,5554200
2005-05-06,37.1,37.48,37.04,37.16,7768600
2005-05-09,37.0,37.34,36.98,37.25,5995300
2005-05-10,36.68,36.89,36.24,36.46,8130700
2005-05-11,36.42,36.64,35.85,36.52,7090300
2005-05-12,36.39,36.95,36.18,36.23,6006600
2005-05-13,36.43,37.1,36.13,36.29,7355600
2005-05-16,36.44,37.37,36.43,37.37,10441000
2005-05-17,39.0,39.36,38.6,38.86,17727600
2005-05-18,39.1,39.88,38.93,39.8,12156600
2005-05-19,39.8,40.25,39.78,40.14,7771100
2005-05-20,40.15,40.15,39.27,39.63,7950600
2005-05-23,39.98,40.34,39.93,39.96,7297200
2005-05-24,39.81,39.98,39.6,39.85,6790700
2005-05-25,39.86,39.86,39.13,39.37,5618800
2005-05-26,39.52,40.11,39.48,39.92,5342200
2005-05-27,39.8,40.04,39.75,39.97,4823300
2005-05-31,39.8,39.95,39.33,39.35,7190100
2005-06-01,39.2,40.05,39.17,39.94,7079200
2005-06-02,39.91,40.49,39.83,40.34,5732500
2005-06-03,40.34,40.47,39.65,39.72,4475700
2005-06-06,39.72,40.02,39.72,39.95,4564900
2005-06-07,39.96,40.8,39.96,40.0,8741100
2005-06-08,40.0,40.42,39.6,39.67,7142800
2005-06-09,39.52,39.95,37.58,39.6,6793900
2005-06-10,38.65,39.72,38.65,39.5,5274300
2005-06-13,39.27,39.96,39.27,39.76,4747600
2005-06-14,39.61,40.19,39.6,40.03,5482900
2005-06-15,40.32,40.38,39.52,40.03,6016400
2005-06-16,39.91,40.35,39.8,40.2,5561900
2005-06-17,40.32,40.93,39.73,40.2,11342900
2005-06-20,40.0,40.11,39.61,39.95,4692400
2005-06-21,40.32,40.32,39.56,39.68,4272600
2005-06-22,39.97,39.99,39.55,39.7,4491500
2005-06-23,39.74,40.02,39.1,39.14,8729300
2005-06-24,38.76,39.06,38.15,38.24,13353200
2005-06-27,38.35,38.78,38.35,38.47,6129500
2005-06-28,38.7,39.33,38.56,39.31,4815600
2005-06-29,39.25,39.37,38.75,38.8,4861100
2005-06-30,39.9,40.01,38.84,38.9,7686100
2005-07-01,39.18,39.49,39.08,39.49,8127700
2005-07-05,39.57,40.21,39.41,40.08,9229100
2005-07-06,40.04,40.13,38.99,39.27,6356900
2005-07-07,38.99,39.74,38.61,39.36,6552400
2005-07-08,39.5,40.17,39.4,40.08,6062300
2005-07-11,39.8,40.48,39.75,40.3,5354100
