Date,Open,High,Low,Close,Volume
2005-01-03,69.1,69.73,68.79,68.8,1377000
2005-01-04,68.71,69.06,67.66,68.04,1296300
2005-01-05,68.04,68.41,67.64,67.75,1568800
2005-01-06,67.75,68.35,67.52,68.02,830200
2005-01-07,67.95,68.23,67.24,67.5,1079500
2005-01-10,67.4,68.13,67.31,67.74,736300
2005-01-11,67.3,67.74,66.77,66.85,1377300
2005-01-12,66.86,66.98,66.33,66.79,1263000
2005-01-13,66.72,67.29,66.4,66.46,1076500
2005-01-14,66.4,67.9,66.32,67.76,955900
2005-01-18,67.12,68.71,67.12,68.53,1335000
2005-01-19,68.75,69.24,68.15,68.15,1091400
2005-01-20,67.95,67.95,66.27,66.95,1705700
2005-01-21,67.0,67.14,66.26,66.32,927100
2005-01-24,66.85,67.4,65.98,66.06,1618300
2005-01-25,66.05,67.04,66.05,66.62,1122100
2005-01-26,66.63,68.15,66.45,68.15,1154200
2005-01-27,67.9,69.08,66.64,67.04,3352700
2005-01-28,67.04,67.36,65.98,66.13,1366200
2005-01-31,66.7,67.5,66.6,67.29,1402400
2005-02-01,67.71,68.97,67.35,68.78,1329000
2005-02-02,68.62,69.0,68.34,68.82,1746800
2005-02-03,68.9,69.43,68.6,69.31,1315700
2005-02-04,69.31,71.25,69.26,71.17,2073200
2005-02-07,70.82,71.27,70.66,71.03,1037400
2005-02-08,71.01,71.14,70.56,70.83,1057000
2005-02-09,71.03,71.5,70.3,70.4,1226700
2005-02-10,70.55,71.72,70.5,71.48,1776000
2005-02-11,71.55,74.07,71.49,73.76,2038900
2005-02-14,72.95,73.16,72.28,72.95,1554900
2005-02-15,72.8,73.2,72.44,72.56,1090400
2005-02-16,72.35,72.4,71.14,71.7,1137100
2005-02-17,71.65,71.78,70.5,71.27,1402800
2005-02-18,71.4,71.59,70.9,71.23,787400
2005-02-22,70.5,70.98,70.26,70.5,1686300
2005-02-23,70.75,71.32,70.68,71.11,911000
2005-02-24,70.82,71.54,70.79,71.48,1066700
2005-02-25,71.15,73.03,71.03,72.9,1680600
2005-02-28,72.8,72.8,71.8,71.95,1382000
2005-03-01,72.15,72.98,72.06,72.81,950100
2005-03-02,72.5,72.97,72.08,72.28,939900
2005-03-03,72.6,73.06,72.12,72.58,1387300
2005-03-04,72.71,73.31,72.61,72.93,1424600
2005-03-07,72.55,73.57,72.5,72.8,1226600
2005-03-08,72.61,72.73,72.2,72.38,1107600
2005-03-09,72.38,72.56,71.58,71.76,1297400
2005-03-10,71.93,72.13,71.41,71.75,691300
2005-03-11,71.33,71.71,70.62,70.98,970500
2005-03-14,71.0,71.47,70.1,71.47,995900
2005-03-15,71.65,71.91,71.17,71.25,1050900
2005-03-16,71.18,71.39,70.58,70.99,1286500
2005-03-17,70.85,71.04,70.35,70.65,1388000
2005-03-18,70.87,70.98,69.42,70.19,2870500
2005-03-21,70.12,70.21,69.17,69.22,1089400
2005-03-22,69.15,69.71,68.0,68.07,1899100
2005-03-23,68.07,68.07,67.4,67.44,1686700
2005-03-24,67.64,68.76,67.64,68.0,1830100
2005-03-28,68.1,69.1,68.09,68.9,1467100
2005-03-29,68.91,69.82,68.83,69.09,1824800
2005-03-30,69.35,69.45,68.49,69.23,1219700
2005-03-31,69.45,69.45,68.45,68.56,1636000
2005-04-01,68.75,69.05,66.81,67.25,1999700
2005-04-04,67.7,69.75,67.28,69.25,1912400
2005-04-05,69.2,69.61,68.55,68.73,1359300
2005-04-06,69.0,69.7,68.71,69.16,886200
2005-04-07,69.16,69.5,69.0,69.25,672500
2005-04-08,69.7,69.85,68.53,68.61,881200
2005-04-11,69.19,69.19,68.48,68.57,1406100
2005-04-12,68.91,69.99,68.83,69.7,2194900
2005-04-13,69.45,69.65,67.97,68.25,897200
2005-04-14,68.25,68.5,67.42,67.42,1619500
2005-04-15,67.43,67.99,66.75,66.75,1428100
2005-04-18,66.95,67.55,66.4,66.7,1192400
2005-04-19,66.85,67.2,66.47,66.66,985000
2005-04-20,66.55,66.64,65.35,65.51,1302200
2005-04-21,66.3,66.42,65.46,66.36,993100
2005-04-22,66.37,67.14,65.89,66.4,1209100
2005-04-25,66.4,67.0,66.25,66.66,1085800
2005-04-26,66.7,67.15,66.25,66.26,954600
2005-04-27,66.1,67.8,66.0,67.8,2048800
2005-04-28,67.55,67.84,67.02,67.02,1220000
2005-04-29,70.0,72.66,69.97,72.37,4649300
2005-05-02,72.55,73.81,72.55,73.27,2866000
2005-05-03,72.85,74.05,72.65,73.29,3595800
2005-05-04,73.7,75.58,73.68,75.51,3535400
2005-05-05,75.4,75.4,72.98,73.8,2363900
2005-05-06,74.05,74.33,73.25,74.16,1746100
2005-05-09,73.78,74.5,73.4,74.29,1255900
2005-05-10,73.8,73.98,72.55,72.85,1538500
2005-05-11,72.85,73.87,72.63,73.58,2239100
2005-05-12,73.63,73.99,72.28,72.29,1731900
2005-05-13,72.36,72.43,70.56,71.6,1675100
2005-05-16,71.6,72.15,71.29,71.55,2314600
2005-05-17,71.5,72.57,71.2,72.41,2193000
2005-05-18,73.04,73.45,72.15,72.24,1489800
2005-05-19,72.77,72.85,71.75,72.04,971400
2005-05-20,72.16,73.25,72.16,73.08,2330600
2005-05-23,73.22,73.75,73.03,73.6,1346700
2005-05-24,73.22,73.75,73.12,73.5,1096700
2005-05-25,73.5,74.07,73.1,73.72,1266000
2005-05-26,73.88,75.2,73.85,75.01,1300200
2005-05-27,75.13,75.13,74.46,74.87,1146200
2005-05-31,75.22,75.39,74.61,74.79,944300
2005-06-01,74.1,74.79,73.89,74.38,1277700
2005-06-02,74.45,74.61,73.89,74.57,1277700
2005-06-03,74.51,74.56,73.82,74.05,1603200
2005-06-06,74.25,74.68,73.8,74.6,762400
2005-06-07,74.7,75.29,74.48,74.49,955100
2005-06-08,74.68,74.85,73.96,74.16,1139400
2005-06-09,73.9,74.36,73.57,74.21,1120200
2005-06-10,74.1,74.3,73.6,74.27,798600
2005-06-13,74.1,74.8,73.83,74.24,619300
2005-06-14,74.05,75.18,74.0,75.14,845100
2005-06-15,75.32,75.32,74.45,75.12,827000
2005-06-16,75.26,76.07,75.1,75.72,943900
2005-06-17,76.51,76.84,76.01,76.36,1979100
2005-06-20,76.0,76.63,75.74,76.46,1118300
2005-06-21,76.05,76.7,75.81,76.15,1085500
2005-06-22,76.25,76.52,75.93,76.45,1032800
2005-06-23,76.45,76.45,74.84,74.94,1463500
2005-06-24,75.1,76.51,74.94,76.08,1457700
2005-06-27,76.14,77.52,76.08,77.26,1261400
2005-06-28,77.26,77.34,76.59,76.66,1443100
2005-06-29,76.9,77.24,75.53,75.99,2071200
