Date,Open,High,Low,Close,Volume
2005-01-03,16.97,16.97,16.16,16.16,1269000
2005-01-04,16.32,16.41,16.1,16.14,769200
2005-01-05,16.06,16.26,16.0,16.0,530800
2005-01-06,15.96,16.55,15.88,16.38,864600
2005-01-07,16.38,16.38,15.68,15.78,965000
2005-01-10,16.0,16.26,15.94,15.98,584400
2005-01-11,15.98,16.05,15.78,15.96,547200
2005-01-12,15.96,16.33,15.88,16.28,793000
2005-01-13,16.38,16.63,16.26,16.33,828400
2005-01-14,16.46,16.5,16.18,16.49,555000
2005-01-18,16.7,17.05,16.67,16.82,998600
2005-01-19,16.83,17.3,16.83,17.05,1182600
2005-01-20,17.0,17.14,16.56,16.82,1026000
2005-01-21,17.0,17.39,16.94,17.14,883400
2005-01-24,17.48,17.54,17.36,17.42,935200
2005-01-25,17.52,17.68,17.04,17.3,703400
2005-01-26,17.75,17.9,17.55,17.83,1632800
2005-01-27,18.0,18.3,17.92,18.28,1892800
2005-01-28,18.28,18.62,18.14,18.61,1633600
2005-01-31,18.61,18.98,18.38,18.95,1246600
2005-02-01,18.99,19.04,18.84,18.91,984000
2005-02-02,18.96,19.5,18.94,19.5,1266000
2005-02-03,19.5,19.5,18.98,19.42,790000
2005-02-04,19.46,19.57,19.27,19.56,1336600
2005-02-07,19.55,19.64,19.04,19.3,619200
2005-02-08,19.3,19.46,19.15,19.28,797200
2005-02-09,19.8,19.8,19.1,19.24,807800
2005-02-10,19.38,19.75,19.2,19.75,1033400
2005-02-11,19.7,19.99,19.56,19.96,887200
2005-02-14,19.96,20.02,19.65,19.81,1082800
2005-02-15,19.85,20.02,19.7,19.86,1082200
2005-02-16,19.87,20.48,19.86,20.42,1313600
2005-02-17,20.5,20.58,20.0,20.05,1259800
2005-02-18,20.12,20.35,20.04,20.32,926600
2005-02-22,20.48,20.48,19.84,19.86,943800
2005-02-23,19.86,20.12,19.86,20.01,924200
2005-02-24,20.12,20.25,19.68,20.08,1356600
2005-02-25,20.08,20.41,19.92,20.26,1243000
2005-02-28,20.31,20.72,19.68,20.02,1458600
2005-03-01,20.02,20.22,19.68,19.87,1460200
2005-03-02,19.77,20.12,19.72,19.86,922800
2005-03-03,19.91,20.61,19.91,20.52,1220000
2005-03-04,20.62,20.68,20.32,20.55,1028600
2005-03-07,20.56,20.6,20.2,20.36,655000
2005-03-08,20.36,20.6,20.1,20.16,1195200
2005-03-09,20.26,20.34,19.4,19.44,1661600
2005-03-10,19.39,19.39,18.7,18.9,1354000
2005-03-11,18.82,19.51,18.82,19.04,836800
2005-03-14,19.1,19.38,18.7,19.28,854600
2005-03-15,19.53,19.88,19.26,19.26,1904800
2005-03-16,19.2,19.72,19.1,19.35,1323400
2005-03-17,19.73,19.86,19.42,19.49,986800
2005-03-18,19.54,19.72,19.42,19.65,1262200
2005-03-21,19.72,19.77,19.32,19.5,545000
2005-03-22,19.62,20.17,19.56,19.6,1085400
2005-03-23,19.5,19.5,18.78,19.0,1209400
2005-03-24,19.35,19.48,19.1,19.18,1065800
2005-03-28,19.19,19.7,19.11,19.47,1095400
