Date,Open,High,Low,Close,Volume
2005-01-03,30.94,31.1,29.94,30.06,804200
2005-01-04,30.02,30.02,28.68,28.74,2003800
2005-01-05,28.75,28.82,28.36,28.42,2054200
2005-01-06,28.52,29.3,28.5,28.84,1402800
2005-01-07,28.91,29.02,28.45,28.48,840000
2005-01-10,28.4,29.0,28.4,28.91,803200
2005-01-11,28.85,28.87,28.42,28.52,815600
2005-01-12,29.02,29.17,28.54,28.84,1195600
2005-01-13,28.9,28.93,28.61,28.72,822200
2005-01-14,28.72,29.2,28.67,29.15,1305000
2005-01-18,29.15,29.15,28.76,28.88,862200
2005-01-19,28.88,28.88,28.16,28.22,852000
2005-01-20,28.1,28.16,27.46,27.47,1463800
2005-01-21,27.54,27.72,26.94,27.06,1202000
2005-01-24,27.35,27.89,27.3,27.3,1236400
2005-01-25,27.38,27.8,27.08,27.14,965400
2005-01-26,27.22,27.76,27.13,27.7,1203000
2005-01-27,31.49,32.0,30.52,32.0,5798400
2005-01-28,31.87,32.63,31.16,31.54,2428200
2005-01-31,31.75,33.08,31.74,32.38,1772800
2005-02-01,32.9,32.96,32.55,32.75,2445800
2005-02-02,32.75,32.76,32.34,32.52,926200
2005-02-03,32.52,32.52,31.94,32.0,961000
2005-02-04,32.05,32.18,32.02,32.12,1092600
2005-02-07,32.06,32.26,32.0,32.25,833200
2005-02-08,32.2,32.7,32.2,32.48,832400
2005-02-09,32.45,32.47,31.82,32.06,1249000
2005-02-10,32.03,32.17,31.9,32.12,897800
2005-02-11,32.12,32.7,31.9,32.68,783000
2005-02-14,32.68,32.91,32.26,32.64,743800
2005-02-15,32.72,33.02,32.5,32.85,1097800
2005-02-16,32.75,32.97,32.6,32.84,1296800
2005-02-17,32.86,32.95,32.37,32.45,532000
2005-02-18,32.48,32.71,32.33,32.46,597200
2005-02-22,32.41,32.82,32.19,32.28,945400
2005-02-23,32.28,32.55,32.12,32.26,876200
2005-02-24,32.26,33.24,32.26,33.2,838600
2005-02-25,33.08,33.7,33.02,33.53,632000
2005-02-28,33.78,34.1,33.31,33.35,1062600
2005-03-01,33.46,34.34,33.46,34.24,806400
2005-03-02,34.08,34.54,33.9,34.43,732400
2005-03-03,34.43,34.47,34.05,34.36,989200
2005-03-04,34.47,34.74,34.25,34.41,663800
2005-03-07,34.44,34.78,34.44,34.7,702000
2005-03-08,34.45,34.56,33.74,33.84,983200
2005-03-09,33.87,34.48,33.85,33.93,971400
2005-03-10,33.9,34.06,33.26,33.68,884000
2005-03-11,33.8,34.09,33.79,34.02,739800
2005-03-14,34.3,34.8,34.25,34.78,900600
2005-03-15,34.98,35.0,34.53,34.61,737600
2005-03-16,34.61,34.7,33.88,33.96,606000
2005-03-17,33.95,34.54,33.84,34.45,690400
2005-03-18,34.0,34.0,33.03,33.04,1510000
2005-03-21,33.1,33.31,33.0,33.1,512800
2005-03-22,33.08,33.8,32.99,33.52,873600
2005-03-23,33.54,34.09,33.4,33.61,836000
2005-03-24,33.66,34.09,33.66,33.7,497600
2005-03-28,33.7,33.94,33.44,33.44,622400
2005-03-29,33.12,33.26,32.19,32.32,1585800
2005-03-30,32.32,32.6,32.3,32.4,1142600
2005-03-31,32.28,32.85,32.12,32.65,921900
2005-04-01,32.95,33.28,32.35,32.56,518500
2005-04-04,32.64,32.64,32.12,32.27,705000
2005-04-05,32.5,32.75,32.27,32.39,831000
2005-04-06,32.54,33.06,32.4,32.79,560400
2005-04-07,32.69,33.31,32.69,33.14,496800
2005-04-08,33.12,33.4,32.87,33.13,510300
2005-04-11,33.27,33.52,32.8,32.92,582200
