Date,Open,High,Low,Close,Volume
2005-01-03,55.29,55.42,54.27,54.36,750900
2005-01-04,54.27,54.99,54.26,54.94,724600
2005-01-05,54.94,54.94,53.61,53.61,778300
2005-01-06,53.62,53.62,53.15,53.51,779700
2005-01-07,53.76,54.06,53.31,54.01,418000
2005-01-10,53.9,54.49,53.84,54.18,432300
2005-01-11,54.18,54.94,53.96,54.65,557500
2005-01-12,54.55,54.8,54.16,54.71,613800
2005-01-13,54.55,54.86,54.15,54.23,389200
2005-01-14,54.48,55.0,54.42,54.84,512000
2005-01-18,54.84,55.84,54.32,55.81,669500
2005-01-19,55.83,56.4,55.77,55.98,825000
2005-01-20,55.9,56.35,55.86,56.2,632000
2005-01-21,56.2,56.21,55.76,55.9,458500
2005-01-24,55.9,56.04,55.15,55.3,845100
2005-01-25,55.61,56.68,55.56,56.22,876900
2005-01-26,56.5,57.73,56.4,56.86,1199800
2005-01-27,56.99,58.19,56.95,58.19,1253100
2005-01-28,57.0,58.39,57.0,57.96,1115000
2005-01-31,58.1,58.5,57.88,58.49,875600
2005-02-01,58.45,59.24,58.3,59.24,1326700
2005-02-02,59.21,59.79,59.0,59.67,828000
2005-02-03,59.5,59.95,59.24,59.86,951400
2005-02-04,59.9,60.25,59.84,60.25,1266000
2005-02-07,60.05,60.8,60.05,60.51,837100
2005-02-08,60.51,61.02,60.51,60.84,972400
2005-02-09,60.65,61.18,60.23,60.3,888900
2005-02-10,60.35,61.26,60.35,61.0,740200
2005-02-11,60.85,61.76,60.85,61.24,1224900
2005-02-14,61.05,61.94,61.05,61.7,1057100
2005-02-15,61.71,62.39,61.71,62.32,939800
2005-02-16,62.32,62.58,61.87,61.91,876100
2005-02-17,61.85,62.15,61.53,61.53,862100
2005-02-18,61.63,62.02,61.58,61.61,557900
2005-02-22,61.75,62.29,61.72,61.86,1299300
2005-02-23,62.01,62.05,61.33,61.38,1213000
2005-02-24,61.39,62.27,61.32,62.14,1053600
2005-02-25,62.0,62.93,61.99,62.62,946300
2005-02-28,62.4,63.22,62.4,63.0,1100900
2005-03-01,63.0,63.87,63.0,63.82,960800
2005-03-02,63.71,64.26,63.28,63.53,824000
2005-03-03,63.78,64.22,63.57,64.02,706900
2005-03-04,64.55,64.72,64.16,64.42,641100
2005-03-07,64.2,64.44,63.82,64.25,865200
2005-03-08,64.25,64.27,63.68,63.73,1026800
2005-03-09,63.6,64.08,63.24,63.59,885200
2005-03-10,63.82,64.07,63.21,63.6,746700
2005-03-11,63.8,63.81,62.02,62.48,1857800
2005-03-14,62.48,62.58,62.24,62.37,965900
2005-03-15,62.48,62.5,61.9,62.19,1284600
2005-03-16,62.19,62.31,61.87,61.9,895400
2005-03-17,61.98,62.82,61.85,62.42,711400
2005-03-18,62.4,62.96,61.78,61.78,3091100
2005-03-21,61.26,61.56,60.75,61.26,1218200
2005-03-22,61.32,61.6,61.26,61.31,962900
2005-03-23,61.31,61.36,60.42,60.42,961000
2005-03-24,60.47,60.68,59.53,60.11,1327900
2005-03-28,59.09,60.8,59.09,60.16,828600
2005-03-29,60.16,60.48,59.5,59.64,1015800
2005-03-30,59.88,60.99,59.71,60.86,774000
2005-03-31,60.99,61.15,60.4,60.46,698300
2005-04-01,60.7,60.76,59.59,60.1,843600
2005-04-04,60.09,60.2,59.4,59.86,1091400
2005-04-05,60.02,60.4,59.68,60.18,785000
2005-04-06,60.18,60.47,59.92,60.07,596400
2005-04-07,60.07,60.87,59.79,60.72,741800
2005-04-08,60.89,60.92,60.36,60.39,505100
2005-04-11,60.42,60.88,60.4,60.55,463400
2005-04-12,60.55,61.43,60.11,61.18,545600
2005-04-13,61.24,61.56,61.01,61.55,1046000
2005-04-14,61.75,62.69,61.57,62.3,1080700
2005-04-15,62.25,62.53,61.27,61.27,1096000
2005-04-18,61.2,61.42,60.35,61.0,641000
