Date,Open,High,Low,Close,Volume
2005-01-03,13.61,13.69,13.53,13.69,1265740
2005-01-04,13.76,13.83,13.53,13.68,2061324
2005-01-05,13.66,13.82,13.51,13.73,580860
2005-01-06,13.65,13.88,13.65,13.71,692348
2005-01-07,14.11,14.45,13.76,13.76,1405260
2005-01-10,13.78,14.36,13.78,14.14,1027816
2005-01-11,14.1,14.18,13.74,13.75,928756
2005-01-12,13.81,13.84,13.69,13.74,602424
2005-01-13,13.81,13.96,13.64,13.88,468464
2005-01-14,13.94,13.99,13.82,13.84,482624
2005-01-18,13.84,13.92,13.78,13.88,401956
2005-01-19,13.88,13.95,13.73,13.75,499124
2005-01-20,13.8,13.9,13.68,13.84,675412
2005-01-21,13.75,13.9,13.59,13.6,444556
2005-01-24,13.6,13.71,13.54,13.59,611232
2005-01-25,13.68,13.77,13.61,13.69,525188
2005-01-26,13.75,14.12,13.62,14.09,872936
2005-01-27,14.0,14.27,13.96,14.27,557580
2005-01-28,14.18,14.22,13.54,13.98,1831404
2005-01-31,13.98,14.53,13.98,14.5,1281092
2005-02-01,14.55,14.55,14.28,14.42,732356
2005-02-02,14.34,14.56,14.33,14.43,698740
2005-02-03,14.34,14.5,14.26,14.33,491696
2005-02-04,14.25,14.3,14.12,14.24,570680
2005-02-07,14.11,14.3,14.11,14.25,470696
2005-02-08,14.32,14.48,14.09,14.39,1086620
2005-02-09,14.37,14.44,14.25,14.28,364368
2005-02-10,14.34,14.34,14.11,14.23,350768
2005-02-11,14.18,14.46,14.14,14.4,410584
2005-02-14,14.34,14.42,14.24,14.31,284828
2005-02-15,14.3,14.36,14.25,14.32,681348
2005-02-16,14.25,14.5,14.12,14.23,971508
2005-02-17,14.12,14.24,13.98,14.0,997632
2005-02-18,13.92,14.12,13.92,14.1,267112
2005-02-22,14.03,14.1,13.96,14.01,609004
2005-02-23,13.95,14.12,13.85,13.93,556540
2005-02-24,13.95,14.42,13.9,14.31,1062176
2005-02-25,14.3,14.33,14.09,14.2,649504
2005-02-28,14.15,14.22,13.81,13.86,579524
2005-03-01,13.88,13.93,13.75,13.75,695156
2005-03-02,13.75,14.06,13.75,13.92,538504
2005-03-03,13.88,13.96,13.72,13.78,272268
2005-03-04,13.86,13.99,13.72,13.77,510428
2005-03-07,13.74,13.89,13.67,13.8,384164
2005-03-08,13.82,13.83,13.57,13.65,688220
2005-03-09,13.62,13.68,13.6,13.66,341820
2005-03-10,13.61,13.76,13.61,13.65,339696
2005-03-11,13.61,13.81,13.56,13.74,715916
2005-03-14,13.81,13.97,13.79,13.88,824592
2005-03-15,13.84,13.9,13.5,13.55,435660
2005-03-16,13.55,13.55,13.04,13.22,1589500
2005-03-17,13.24,13.5,13.19,13.37,615812
2005-03-18,13.38,13.48,13.26,13.44,614148
2005-03-21,13.46,13.6,13.37,13.52,208652
2005-03-22,13.49,13.59,13.45,13.48,242496
2005-03-23,13.49,13.59,13.39,13.42,322404
2005-03-24,13.47,13.5,13.44,13.46,310340
2005-03-28,13.4,13.64,13.35,13.48,519668
2005-03-29,13.55,13.55,13.28,13.28,789828
2005-03-30,13.27,13.43,13.26,13.36,426188
2005-03-31,13.34,13.54,13.34,13.54,574344
2005-04-01,13.52,13.68,13.44,13.59,556140
2005-04-04,13.5,13.55,13.38,13.45,559692
2005-04-05,13.46,13.66,13.45,13.62,583152
2005-04-06,13.58,13.79,13.58,13.74,597780
2005-04-07,13.78,13.9,13.75,13.8,214664
2005-04-08,13.84,13.84,13.69,13.76,362848
2005-04-11,13.72,13.81,13.69,13.69,273296
2005-04-12,13.68,13.78,13.64,13.76,460628
2005-04-13,13.7,13.72,13.55,13.69,282576
2005-04-14,13.63,13.74,13.51,13.52,361036
2005-04-15,13.51,13.65,13.38,13.51,597816
2005-04-18,13.44,13.62,13.44,13.54,368824
2005-04-19,13.54,13.62,13.48,13.62,199144
2005-04-20,13.62,13.66,13.52,13.6,413772
2005-04-21,13.56,13.77,13.55,13.76,241024
2005-04-22,13.72,13.91,13.65,13.73,266388
2005-04-25,13.68,13.86,13.68,13.86,185288
2005-04-26,13.88,13.93,13.74,13.78,276980
2005-04-27,13.73,13.99,13.73,13.96,533356
2005-04-28,13.86,13.88,13.33,13.38,728348
2005-04-29,13.52,14.61,13.24,14.18,2515748
2005-05-02,14.36,14.62,14.22,14.48,785820
2005-05-03,14.41,14.57,14.33,14.49,600240
2005-05-04,14.49,14.5,14.29,14.41,472464
2005-05-05,14.48,14.5,14.24,14.38,336488
2005-05-06,14.43,14.48,14.34,14.4,336728
2005-05-09,14.36,14.5,14.28,14.5,280348
2005-05-10,14.38,14.43,14.32,14.4,373544
2005-05-11,14.4,14.45,14.25,14.42,342020
2005-05-12,14.48,14.59,14.45,14.55,324380
2005-05-13,14.6,14.67,14.36,14.6,491992
2005-05-16,14.57,14.7,14.53,14.61,327280
2005-05-17,14.53,14.62,14.52,14.58,307336
2005-05-18,14.56,14.71,14.52,14.64,332232
2005-05-19,14.74,14.76,14.58,14.62,643096
2005-05-20,14.56,14.75,14.51,14.75,358112
2005-05-23,14.72,15.0,14.68,14.81,432956
2005-05-24,14.76,14.76,14.62,14.72,200224
2005-05-25,14.64,14.68,14.47,14.48,220864
2005-05-26,14.47,14.62,14.47,14.6,177144
2005-05-27,14.54,14.61,14.5,14.58,144424
2005-05-31,14.46,14.61,14.35,14.43,685716
2005-06-01,14.49,14.5,14.34,14.47,336684
2005-06-02,14.42,14.53,14.06,14.28,687088
2005-06-03,14.28,14.28,14.06,14.2,578012
2005-06-06,14.15,14.19,14.01,14.13,933632
2005-06-07,14.08,14.34,14.07,14.18,458716
2005-06-08,14.16,14.21,13.92,14.06,413300
2005-06-09,14.05,14.25,14.03,14.16,353196
2005-06-10,14.1,14.19,14.1,14.12,207760
2005-06-13,14.06,14.14,14.04,14.12,395772
2005-06-14,14.14,14.14,13.9,14.0,500748
2005-06-15,13.96,14.1,13.93,14.0,244048
2005-06-16,13.95,14.17,13.94,14.17,510128
2005-06-17,14.2,14.25,14.11,14.14,793144
2005-06-20,14.12,14.31,14.08,14.21,357484
2005-06-21,14.15,14.45,14.15,14.29,250292
2005-06-22,14.41,14.5,14.24,14.47,416304
2005-06-23,14.44,14.56,14.38,14.43,287592
2005-06-24,14.44,14.49,14.3,14.39,399868
2005-06-27,14.38,14.44,14.34,14.43,212104
2005-06-28,14.47,14.69,14.43,14.62,347256
2005-06-29,14.6,14.75,14.57,14.65,412408
2005-06-30,14.69,15.75,14.69,15.58,2703988
2005-07-01,15.67,15.67,15.29,15.51,635368
2005-07-05,15.51,15.91,15.5,15.81,648304
2005-07-06,15.8,15.95,15.58,15.58,657236
2005-07-07,15.64,15.64,15.28,15.41,349800
2005-07-08,15.52,15.81,15.25,15.78,459100
2005-07-11,15.72,16.17,15.45,15.86,464856
2005-07-12,15.84,16.0,15.81,15.9,427996
2005-07-13,15.91,15.95,15.8,15.9,444688
2005-07-14,15.93,16.07,15.88,16.04,315116
2005-07-15,16.02,16.17,16.01,16.14,296568
2005-07-18,16.17,16.17,16.05,16.12,279192
2005-07-19,16.11,16.25,16.1,16.23,228776
2005-07-20,16.18,16.43,16.18,16.36,576008
2005-07-21,16.22,16.43,16.06,16.16,276448
2005-07-22,16.22,16.23,15.78,15.99,634316
2005-07-25,15.99,16.03,15.84,15.94,319664
2005-07-26,15.94,16.23,15.94,15.98,488288
2005-07-27,16.0,16.16,15.9,16.13,329576
2005-07-28,16.08,16.41,16.08,16.32,367680
2005-07-29,15.26,16.14,15.04,15.86,3435452
2005-08-01,15.9,16.12,15.81,15.92,940860
2005-08-02,15.8,16.28,15.8,15.92,1019236
2005-08-03,15.89,15.89,15.72,15.76,685492
2005-08-04,15.99,15.99,15.66,15.66,1036676
2005-08-05,15.65,15.83,15.65,15.72,466800
2005-08-08,15.69,15.78,15.5,15.54,437868
2005-08-09,15.52,15.58,15.31,15.48,883760
2005-08-10,15.4,15.66,15.4,15.54,692636
2005-08-11,15.51,15.74,15.5,15.55,463260
2005-08-12,15.55,15.62,15.5,15.56,386220
2005-08-15,15.48,15.67,15.46,15.59,338824
2005-08-16,15.52,15.64,15.46,15.55,543564
2005-08-17,15.5,15.8,15.5,15.63,689436
2005-08-18,15.59,15.71,15.5,15.6,496148
2005-08-19,15.54,15.73,15.54,15.64,442936
2005-08-22,15.6,15.88,15.59,15.83,514840
2005-08-23,15.8,15.99,15.7,15.97,351320
2005-08-24,15.92,16.12,15.88,15.97,514016
2005-08-25,15.96,16.1,15.96,16.06,337948
2005-08-26,16.06,16.12,15.89,15.96,413780
2005-08-29,15.92,15.95,15.77,15.91,422608
2005-08-30,15.86,15.91,15.7,15.75,405532
2005-08-31,15.79,16.01,15.5,16.01,1230448
2005-09-01,15.98,16.25,15.96,16.19,568160
2005-09-02,16.14,16.3,16.14,16.28,535676
2005-09-06,16.26,16.56,16.18,16.5,571448
2005-09-07,16.49,16.6,16.35,16.5,701524
2005-09-08,16.44,16.72,16.38,16.72,750384
2005-09-09,16.62,16.82,16.62,16.8,569348
2005-09-12,16.74,16.99,16.7,16.93,535360
2005-09-13,16.82,16.96,16.62,16.67,717744
2005-09-14,16.66,16.72,16.48,16.65,390252
2005-09-15,16.64,16.8,16.59,16.8,315048
2005-09-16,16.79,16.89,16.71,16.87,429564
2005-09-19,16.8,16.9,16.52,16.67,309924
2005-09-20,16.63,16.7,16.5,16.61,409068
2005-09-21,16.38,16.64,16.38,16.56,449076
2005-09-22,16.5,16.53,16.09,16.43,411144
2005-09-23,16.42,16.56,16.38,16.5,195132
2005-09-26,16.45,16.84,16.45,16.59,520920
2005-09-27,16.55,16.59,16.28,16.39,737492
2005-09-28,16.35,16.56,16.35,16.45,339640
2005-09-29,16.43,16.54,16.39,16.51,345900
2005-09-30,16.44,16.81,16.44,16.72,427684
2005-10-03,16.7,16.97,16.62,16.78,557780
2005-10-04,16.68,16.93,16.68,16.87,303088
2005-10-05,16.8,16.8,16.18,16.19,598392
2005-10-06,16.18,16.25,15.82,15.88,664300
2005-10-07,15.93,15.99,15.64,15.83,657860
2005-10-10,15.72,15.82,15.66,15.74,381216
2005-10-11,15.75,15.87,15.56,15.64,671524
2005-10-12,15.57,15.72,15.28,15.7,800628
2005-10-13,15.77,16.12,15.66,15.82,811264
2005-10-14,15.94,16.06,15.84,15.9,830352
2005-10-17,15.88,16.18,15.88,16.18,616248
2005-10-18,16.14,16.17,15.81,16.12,692024
2005-10-19,16.02,16.29,16.02,16.22,883172
2005-10-20,16.18,16.38,16.14,16.26,672684
2005-10-21,16.28,16.46,16.19,16.28,520580
2005-10-24,16.38,16.64,16.34,16.62,570848
2005-10-25,16.64,16.69,16.42,16.69,463192
2005-10-26,16.7,16.77,16.32,16.36,558108
2005-10-27,16.29,16.55,16.29,16.36,297876
2005-10-28,16.5,17.23,16.38,17.13,1400656
2005-10-31,17.25,18.05,17.24,17.53,1952084
2005-11-01,17.5,17.73,17.31,17.37,1347108
2005-11-02,17.38,17.49,17.24,17.28,872760
2005-11-03,17.25,17.35,16.78,17.02,1253504
2005-11-04,17.04,17.05,16.82,17.0,536388
2005-11-07,16.75,17.24,16.75,17.18,561500
2005-11-08,17.18,17.25,17.0,17.07,285936
2005-11-09,17.04,17.3,17.02,17.3,450812
2005-11-10,17.26,17.58,17.24,17.58,547580
2005-11-11,17.49,17.69,17.49,17.61,275488
2005-11-14,17.58,17.72,17.5,17.56,377576
2005-11-15,17.5,17.74,17.47,17.64,476984
2005-11-16,17.58,18.0,17.58,17.75,711700
2005-11-17,17.82,17.96,17.71,17.95,345084
2005-11-18,18.0,18.04,17.79,17.99,571420
2005-11-21,17.89,18.25,17.86,18.22,585332
2005-11-22,18.12,18.48,18.01,18.48,589044
2005-11-23,18.43,18.49,18.29,18.29,333888
2005-11-25,18.3,18.38,18.21,18.31,110080
2005-11-28,18.22,18.3,18.01,18.05,474652
2005-11-29,18.0,18.12,17.93,17.94,457560
2005-11-30,17.95,18.0,17.89,17.89,314064
2005-12-01,17.9,18.1,17.9,17.98,401756
2005-12-02,17.87,18.21,17.87,18.21,622776
2005-12-05,18.21,18.21,17.93,18.1,539696
2005-12-06,18.18,18.32,18.11,18.19,355200
2005-12-07,18.11,18.31,18.0,18.21,354004
2005-12-08,18.14,18.41,18.05,18.41,1032720
2005-12-09,18.41,18.78,18.41,18.54,565008
2005-12-12,18.49,18.56,18.4,18.54,311228
2005-12-13,18.53,18.53,18.37,18.46,321972
2005-12-14,18.48,18.56,18.4,18.42,394316
2005-12-15,18.34,18.54,18.22,18.53,385956
2005-12-16,18.66,18.68,18.38,18.38,490448
2005-12-19,18.44,18.47,18.19,18.26,511000
2005-12-20,18.27,18.27,18.0,18.04,584952
2005-12-21,17.98,18.22,17.98,18.12,394512
2005-12-22,18.12,18.19,17.97,18.02,387368
2005-12-23,18.03,18.1,18.02,18.07,258856
2005-12-27,18.04,18.19,17.86,17.96,294940
2005-12-28,17.92,18.03,17.86,17.98,278008
2005-12-29,17.99,18.1,17.89,17.9,145804
2005-12-30,17.9,18.2,17.86,18.0,304328
2006-01-03,17.94,18.13,17.84,18.09,508072
2006-01-04,18.02,18.25,18.0,18.22,324668
2006-01-05,18.17,18.48,18.17,18.44,397856
2006-01-06,18.44,18.52,18.4,18.49,358464
2006-01-09,18.5,18.9,18.5,18.81,539000
2006-01-10,18.72,18.87,18.5,18.85,429196
2006-01-11,18.77,18.94,18.65,18.7,231012
2006-01-12,18.79,18.81,18.62,18.68,213596
2006-01-13,18.74,18.74,18.03,18.12,1060936
2006-01-17,18.08,18.28,17.88,17.94,1024108
2006-01-18,17.82,18.01,17.64,17.75,1048216
2006-01-19,17.75,18.11,17.75,18.0,462084
2006-01-20,18.05,18.16,17.83,17.86,357396
2006-01-23,17.81,18.04,17.81,18.01,346592
2006-01-24,17.96,18.16,17.96,18.09,242448
2006-01-25,18.06,18.4,17.98,18.3,677020
2006-01-26,18.3,18.75,18.3,18.73,419152
2006-01-27,19.0,19.58,18.95,19.14,1006300
2006-01-30,19.15,19.45,19.06,19.3,390212
2006-01-31,19.18,19.28,19.14,19.2,656264
2006-02-01,19.24,19.38,19.13,19.24,424040
2006-02-02,19.25,19.29,19.03,19.18,476876
2006-02-03,19.08,19.36,19.08,19.2,310936
2006-02-06,19.11,19.18,18.69,19.12,535028
2006-02-07,19.08,19.28,18.81,19.16,688816
2006-02-08,19.13,19.26,19.08,19.25,318748
2006-02-09,19.21,19.35,19.03,19.18,366264
