Date,Open,High,Low,Close,Volume
2005-01-03,42.8,42.9,41.98,42.1,277100
2005-01-04,42.3,42.5,40.8,40.9,527900
2005-01-05,41.0,41.2,40.64,40.85,368800
2005-01-06,40.7,41.38,40.35,41.08,456900
2005-01-07,41.03,41.61,40.93,41.4,213100
2005-01-10,41.3,42.04,41.0,41.92,330900
2005-01-11,41.7,41.72,41.24,41.44,279800
2005-01-12,41.58,41.58,41.15,41.39,348300
2005-01-13,41.25,41.57,40.85,40.97,231300
2005-01-14,40.97,41.55,40.86,41.48,195100
2005-01-18,41.24,42.0,40.9,42.0,235200
2005-01-19,41.78,42.22,41.69,41.73,181200
2005-01-20,41.4,41.96,41.25,41.76,179200
2005-01-21,41.63,41.68,41.24,41.36,149100
2005-01-24,41.27,41.45,40.71,40.92,253700
2005-01-25,40.92,41.24,40.67,40.84,298400
2005-01-26,40.84,41.25,40.26,41.06,570200
2005-01-27,41.06,42.1,41.06,42.03,270900
2005-01-28,42.15,42.3,41.4,42.04,325500
2005-01-31,42.1,42.25,41.65,42.22,254200
2005-02-01,42.32,42.6,41.71,42.4,293300
2005-02-02,42.4,42.49,42.17,42.45,241600
2005-02-03,42.5,42.69,41.96,42.1,278800
2005-02-04,42.14,42.32,41.93,42.25,222300
2005-02-07,42.1,42.5,42.09,42.15,173900
2005-02-08,42.18,42.21,41.85,42.0,318400
2005-02-09,41.83,42.01,41.33,41.37,249800
2005-02-10,41.29,41.87,41.29,41.85,183500
2005-02-11,42.05,42.22,41.53,41.94,200200
2005-02-14,41.9,41.96,41.66,41.76,154900
2005-02-15,41.9,42.02,41.69,41.9,222600
2005-02-16,41.75,41.95,41.31,41.79,242000
2005-02-17,41.7,42.03,41.46,41.9,339200
2005-02-18,42.0,42.18,41.51,41.59,277200
2005-02-22,41.15,41.48,40.63,40.63,268500
2005-02-23,40.88,41.03,40.6,40.87,321900
2005-02-24,40.95,41.29,40.71,41.28,302600
2005-02-25,41.25,41.56,40.98,41.56,259700
2005-02-28,41.45,41.52,41.03,41.29,321000
2005-03-01,41.3,41.98,41.3,41.7,255700
2005-03-02,41.63,41.76,41.06,41.35,339500
2005-03-03,41.37,41.82,41.07,41.71,268400
2005-03-04,41.96,41.96,41.66,41.92,251400
2005-03-07,42.1,42.15,41.84,41.98,177300
2005-03-08,42.03,42.23,41.71,42.12,191800
2005-03-09,41.87,41.87,40.97,40.99,308100
2005-03-10,41.0,41.01,40.64,40.94,267500
2005-03-11,40.94,41.49,40.46,40.62,261700
2005-03-14,40.63,41.14,40.61,41.14,237700
2005-03-15,41.45,41.5,40.75,40.84,225900
2005-03-16,40.7,40.7,40.0,40.09,286200
2005-03-17,39.86,40.25,39.43,40.15,314100
2005-03-18,39.99,40.22,39.45,40.01,610000
2005-03-21,39.98,40.13,39.73,39.92,203900
2005-03-22,39.82,40.22,39.64,39.72,241300
2005-03-23,39.74,40.06,39.74,40.04,307300
2005-03-24,40.0,40.13,39.87,39.9,189700
2005-03-28,40.15,40.27,39.5,39.6,273300
2005-03-29,39.4,39.78,38.96,39.0,297400
2005-03-30,38.95,39.84,38.82,39.73,451700
2005-03-31,39.55,39.92,39.47,39.5,361500
2005-04-01,39.75,40.15,39.65,39.85,470400
2005-04-04,39.6,40.38,39.48,40.21,341000
2005-04-05,40.21,40.37,40.0,40.31,210500
2005-04-06,40.36,40.64,40.02,40.13,238300
2005-04-07,39.9,40.3,39.76,40.17,187000
2005-04-08,40.4,40.7,40.12,40.23,382800
2005-04-11,40.23,40.28,39.99,40.1,202200
2005-04-12,39.95,41.29,39.68,40.91,532300
2005-04-13,40.91,40.91,40.14,40.24,313500
2005-04-14,39.9,40.19,39.29,39.3,491300
2005-04-15,39.12,39.43,38.52,38.62,345000
2005-04-18,38.75,39.02,38.5,38.89,235500
2005-04-19,38.95,39.2,38.7,39.1,261800
2005-04-20,38.7,38.97,38.15,38.5,627100
2005-04-21,38.75,39.47,38.57,39.45,442800
2005-04-22,39.45,39.64,39.05,39.47,434900
2005-04-25,39.46,39.48,38.8,39.45,421100
2005-04-26,39.46,39.77,39.27,39.45,499500
2005-04-27,38.5,38.51,36.01,36.3,1799900
2005-04-28,36.0,36.85,35.85,36.53,759400
2005-04-29,36.62,38.06,36.62,37.9,799700
2005-05-02,37.9,38.24,37.52,37.73,422800
2005-05-03,37.65,38.0,37.43,37.48,511500
2005-05-04,37.49,38.03,37.4,37.9,445800
2005-05-05,37.75,37.87,37.41,37.6,430400
2005-05-06,37.85,37.94,37.27,37.31,230200
2005-05-09,37.15,37.72,37.06,37.65,429700
2005-05-10,37.25,37.56,37.05,37.17,329800
2005-05-11,37.37,37.7,37.2,37.7,372400
2005-05-12,38.47,38.47,36.79,36.95,369800
2005-05-13,37.11,37.18,36.38,36.68,394400
2005-05-16,36.75,37.34,36.65,37.2,355800
2005-05-17,37.05,37.37,36.77,37.27,452500
2005-05-18,37.4,38.28,37.05,38.26,707800
2005-05-19,38.25,38.37,37.78,38.07,223900
2005-05-20,38.21,38.5,37.66,38.0,192900
2005-05-23,38.0,38.17,37.8,37.95,118800
2005-05-24,38.07,38.34,37.45,37.47,610400
2005-05-25,37.46,37.6,37.17,37.33,259700
2005-05-26,37.5,37.5,37.1,37.26,375200
2005-05-27,37.26,37.5,37.12,37.3,304100
2005-05-31,37.3,37.51,37.09,37.09,498500
2005-06-01,37.09,37.6,37.09,37.58,749100
2005-06-02,37.56,37.63,37.23,37.29,239200
2005-06-03,37.26,37.47,36.85,36.86,288600
2005-06-06,36.7,36.84,36.0,36.8,377400
2005-06-07,36.9,37.5,36.75,37.4,452200
2005-06-08,37.75,37.92,37.35,37.44,401300
2005-06-09,37.45,37.45,36.82,37.03,264800
2005-06-10,36.97,37.39,36.92,37.35,170100
2005-06-13,37.3,37.6,37.11,37.54,186300
2005-06-14,37.4,37.57,37.17,37.5,186100
2005-06-15,37.05,37.7,36.62,37.7,554500
2005-06-16,37.79,37.79,37.49,37.63,307200
2005-06-17,38.0,38.0,37.4,37.61,321400
2005-06-20,37.41,37.53,37.09,37.37,299800
2005-06-21,37.07,37.13,36.7,36.79,461000
2005-06-22,36.69,36.9,36.38,36.38,445100
2005-06-23,36.34,36.45,36.01,36.01,630300
2005-06-24,36.0,36.1,35.59,35.59,754300
2005-06-27,35.65,35.65,34.9,35.18,799400
2005-06-28,35.3,36.34,35.27,36.3,472000
2005-06-29,36.27,36.65,36.15,36.54,442100
2005-06-30,36.54,36.72,36.09,36.22,677700
