Date,Open,High,Low,Close,Volume
2005-01-03,40.25,40.59,39.41,39.44,2682800
2005-01-04,39.42,39.58,38.36,38.64,2950600
2005-01-05,38.72,38.76,37.78,37.78,3011600
2005-01-06,38.04,38.4,37.77,37.82,3560000
2005-01-07,37.92,38.1,37.56,37.62,2747600
2005-01-10,37.35,37.95,37.35,37.62,2538000
2005-01-11,37.55,37.7,36.85,37.52,3489800
2005-01-12,37.52,37.88,37.25,37.8,2531200
2005-01-13,37.78,38.18,37.64,37.88,2096000
2005-01-14,37.94,38.55,37.94,38.48,1571800
2005-01-18,38.38,38.44,37.68,38.28,1774000
2005-01-19,38.22,38.5,38.08,38.11,1644800
2005-01-20,37.72,37.88,37.3,37.46,2176800
2005-01-21,37.5,37.62,36.86,36.92,2157600
2005-01-24,37.12,37.32,36.5,36.54,2069200
2005-01-25,36.78,37.34,36.7,36.84,1772000
2005-01-26,37.05,37.18,36.78,36.94,2365400
2005-01-27,36.72,37.24,35.88,36.92,2586400
2005-01-28,36.88,37.3,36.8,36.91,2719000
2005-01-31,37.36,37.36,37.01,37.19,3970600
2005-02-01,38.32,39.0,38.06,38.86,4642600
2005-02-02,38.74,38.98,38.4,38.52,11056200
2005-02-03,38.5,39.94,38.48,39.54,5199000
2005-02-04,39.27,40.44,39.27,40.39,3020200
2005-02-07,40.05,40.75,40.0,40.42,3438800
2005-02-08,40.5,40.88,40.14,40.62,1905800
2005-02-09,40.52,40.66,40.28,40.3,2042000
2005-02-10,40.38,40.38,39.84,40.25,1683600
2005-02-11,40.1,40.71,39.94,40.64,1810200
2005-02-14,40.59,40.76,40.32,40.46,1304200
2005-02-15,40.28,40.68,40.18,40.39,1404800
2005-02-16,40.39,40.81,39.89,40.81,1615800
2005-02-17,40.65,40.78,40.1,40.5,2248600
2005-02-18,40.38,40.6,40.12,40.4,1833400
2005-02-22,40.1,40.74,39.44,39.52,2120200
2005-02-23,39.55,39.8,39.37,39.76,1585800
2005-02-24,39.62,40.5,39.4,40.5,2345000
2005-02-25,40.5,41.54,40.3,41.5,3387000
2005-02-28,41.38,42.62,41.35,42.12,4033800
2005-03-01,41.99,42.92,41.88,42.41,3744400
2005-03-02,42.0,42.83,41.94,42.63,2418000
2005-03-03,42.58,42.92,42.49,42.52,2813800
2005-03-04,42.62,43.72,42.52,43.66,2932000
2005-03-07,43.5,43.96,42.9,43.05,3398600
2005-03-08,42.98,43.41,42.8,43.08,1688800
2005-03-09,43.0,43.0,42.28,42.3,2800800
2005-03-10,42.31,42.52,41.5,42.24,3130000
2005-03-11,42.26,42.63,42.02,42.12,2149000
2005-03-14,42.16,42.48,41.91,42.28,1315600
2005-03-15,42.36,42.62,41.78,41.89,1585800
2005-03-16,41.58,41.84,41.17,41.51,2377200
2005-03-17,41.79,42.3,41.76,41.97,2277600
2005-03-18,41.98,42.34,41.76,42.1,3005800
2005-03-21,42.1,42.32,41.7,42.03,1548400
2005-03-22,42.03,42.82,41.76,41.76,2801600
2005-03-23,41.76,41.76,40.38,40.42,3990200
2005-03-24,40.8,41.4,40.74,41.04,2414200
2005-03-28,41.04,41.05,40.33,40.38,2522000
2005-03-29,40.35,40.63,39.4,39.49,3265400
2005-03-30,39.49,39.98,39.38,39.72,2797000
2005-03-31,39.83,40.27,39.62,39.82,2102000
2005-04-01,40.1,40.57,39.78,39.86,3301000
2005-04-04,39.68,40.15,39.51,39.9,3182600
2005-04-05,39.9,40.35,39.9,40.16,1579200
2005-04-06,40.44,40.73,40.22,40.24,1426200
2005-04-07,40.32,40.54,40.02,40.1,2132000
2005-04-08,40.24,40.41,39.9,40.23,2742000
2005-04-11,40.45,40.55,39.94,40.0,3139200
2005-04-12,39.8,41.27,39.72,41.18,3333200
2005-04-13,40.94,41.1,39.98,39.98,2437800
2005-04-14,40.02,40.02,37.72,38.14,6518000
2005-04-15,38.2,38.59,37.98,38.12,4373600
2005-04-18,38.24,38.68,37.9,38.58,3074600
2005-04-19,38.75,39.26,38.71,39.09,3574600
2005-04-20,39.88,40.21,39.4,39.4,5005600
2005-04-21,40.0,40.28,38.76,40.23,4602000
2005-04-22,39.85,40.24,39.44,39.89,2466800
2005-04-25,40.23,40.66,39.86,40.16,2334800
2005-04-26,39.95,40.25,39.08,39.08,3147400
