Date,Open,High,Low,Close,Volume
2005-01-03,40.02,40.7,37.5,37.73,555823
2005-01-04,37.75,38.38,36.1,36.41,876636
2005-01-05,36.07,37.0,35.69,36.09,475271
2005-01-06,36.16,37.59,36.16,36.81,349974
2005-01-07,37.26,37.55,36.96,37.2,459079
2005-01-10,37.87,41.45,37.66,40.6,1061921
2005-01-11,40.56,40.96,39.7,39.71,697929
2005-01-12,39.75,40.29,39.51,40.11,468673
2005-01-13,40.19,42.21,39.84,41.51,739585
2005-01-14,42.11,42.11,40.0,40.95,663099
2005-01-18,41.47,41.75,40.9,41.61,529765
2005-01-19,41.86,41.93,40.71,41.06,563285
2005-01-20,40.8,40.98,39.32,40.25,676752
2005-01-21,40.35,40.99,40.25,40.55,335168
2005-01-24,40.46,40.92,38.66,38.89,479848
2005-01-25,39.0,40.0,38.45,38.84,581202
2005-01-26,39.11,39.26,38.6,39.0,352754
2005-01-27,39.19,39.8,38.6,39.0,393750
2005-01-28,39.0,39.15,38.13,38.49,246811
2005-01-31,38.81,40.0,38.62,39.9,363308
2005-02-01,40.2,40.72,39.8,40.0,381913
2005-02-02,40.47,40.48,39.82,40.24,220745
2005-02-03,40.31,41.67,40.23,41.26,442418
2005-02-04,41.58,42.15,41.35,41.72,471454
2005-02-07,41.75,41.75,40.05,40.41,598058
2005-02-08,39.5,41.25,39.24,41.1,1213289
2005-02-09,47.11,49.42,46.62,47.39,4864973
2005-02-10,47.35,48.75,46.82,47.86,1122564
2005-02-11,48.06,49.34,47.45,48.81,688339
2005-02-14,47.97,48.74,47.16,47.5,818844
2005-02-15,47.5,48.35,46.91,47.72,627978
2005-02-16,47.28,48.95,46.65,48.69,633303
2005-02-17,49.03,49.43,47.62,47.7,458610
2005-02-18,47.84,48.48,47.32,47.45,335245
2005-02-22,47.41,47.49,45.21,45.3,743233
2005-02-23,45.3,46.61,45.3,45.92,442839
2005-02-24,45.82,47.25,45.81,47.21,352653
2005-02-25,47.53,48.1,47.0,48.0,373326
2005-02-28,48.06,48.25,47.0,47.15,421974
2005-03-01,47.5,48.05,47.3,47.86,412218
2005-03-02,47.77,48.09,47.3,47.3,456278
2005-03-03,47.91,47.91,46.77,46.89,318381
2005-03-04,47.0,47.3,46.78,46.96,202108
2005-03-07,46.81,47.87,46.47,46.6,316342
2005-03-08,46.5,46.95,44.7,45.06,768122
2005-03-09,44.61,44.8,43.34,43.99,1017172
2005-03-10,43.86,44.17,42.37,43.01,688546
2005-03-11,43.0,45.88,42.76,45.1,841463
2005-03-14,45.52,45.8,44.48,45.06,561068
2005-03-15,45.03,45.9,44.35,44.5,361413
2005-03-16,44.32,45.12,44.04,44.17,194583
2005-03-17,44.67,45.0,43.26,44.75,304002
2005-03-18,44.97,45.27,43.94,44.45,461835
2005-03-21,44.22,44.57,43.28,44.39,206764
2005-03-22,44.19,45.0,44.19,44.65,315750
2005-03-23,44.53,45.74,44.27,45.25,394088
2005-03-24,45.25,46.9,45.2,45.93,475913
2005-03-28,46.32,46.66,45.25,46.07,338435
2005-03-29,46.17,47.0,44.91,45.69,606860
2005-03-30,45.46,46.02,44.93,45.89,700772
2005-03-31,46.14,46.39,45.03,45.47,363104
2005-04-01,45.95,47.7,45.5,46.79,642399
2005-04-04,46.64,47.03,45.62,45.88,519074
2005-04-05,46.14,48.15,45.8,48.15,510883
2005-04-06,48.59,53.1,48.53,52.03,1834855
2005-04-07,51.8,52.26,51.45,52.05,598759
2005-04-08,52.19,52.26,49.81,50.38,604033
2005-04-11,50.34,51.15,49.75,50.65,293830
2005-04-12,50.52,50.88,49.04,50.43,396742
2005-04-13,50.49,51.5,49.2,49.47,411088
2005-04-14,49.37,49.99,49.04,49.14,420247
2005-04-15,49.1,50.04,47.66,47.92,538677
2005-04-18,47.65,47.86,47.16,47.39,598929
2005-04-19,47.87,50.46,47.85,50.46,712529
2005-04-20,50.98,51.1,49.24,49.39,497587
2005-04-21,49.88,51.9,49.88,51.9,787290
2005-04-22,48.75,48.93,40.15,41.22,5625248
2005-04-25,41.67,45.02,41.29,43.5,2430415
2005-04-26,43.65,44.53,41.71,42.05,1022600
