Date,Open,High,Low,Close,Volume
2005-01-03,11.92,11.95,11.59,11.6,1338400
2005-01-04,11.75,11.79,11.45,11.6,1598800
2005-01-05,11.55,11.6,11.4,11.4,957600
2005-01-06,11.38,11.53,11.35,11.4,669200
2005-01-07,11.45,11.49,11.34,11.35,705200
2005-01-10,11.36,11.45,11.36,11.38,1114400
2005-01-11,11.41,11.52,11.32,11.5,1112400
2005-01-12,11.45,11.48,11.38,11.42,969200
2005-01-13,11.42,11.59,11.4,11.48,804800
2005-01-14,11.52,11.57,11.42,11.46,947200
2005-01-18,11.46,11.63,11.38,11.62,867200
2005-01-19,11.57,11.64,11.44,11.5,716800
2005-01-20,11.46,11.48,11.36,11.37,708800
2005-01-21,11.32,11.37,11.2,11.25,794000
2005-01-24,11.24,11.31,11.16,11.19,524800
2005-01-25,11.25,12.44,11.25,12.35,3856800
2005-01-26,12.48,13.24,12.46,12.66,6664400
2005-01-27,12.66,12.66,12.34,12.45,1941600
2005-01-28,12.45,12.53,12.33,12.4,1452400
2005-01-31,12.6,12.73,12.56,12.7,1638000
2005-02-01,12.68,13.0,12.65,12.8,1640000
2005-02-02,12.85,13.24,12.82,13.13,2114400
2005-02-03,13.08,13.16,12.78,12.82,1684000
2005-02-04,12.82,13.14,12.79,12.96,2305200
2005-02-07,12.94,13.09,12.92,13.05,978000
2005-02-08,13.05,13.22,12.94,12.99,1033200
2005-02-09,12.96,13.0,12.74,12.74,765200
2005-02-10,12.78,12.79,12.69,12.76,1513600
2005-02-11,12.76,12.96,12.64,12.92,966000
2005-02-14,12.92,12.96,12.75,12.88,700000
2005-02-15,12.86,13.4,12.86,13.35,1981200
2005-02-16,13.32,13.45,13.23,13.32,1460400
2005-02-17,13.32,13.57,13.32,13.46,2005600
2005-02-18,13.45,13.49,13.39,13.44,1056800
2005-02-22,13.44,13.55,13.17,13.19,1444000
2005-02-23,13.19,13.61,13.18,13.56,1790000
2005-02-24,13.52,13.82,13.52,13.8,1624000
2005-02-25,13.8,14.05,13.74,14.05,1937200
2005-02-28,14.0,14.1,13.98,14.0,2250000
2005-03-01,13.94,14.04,13.94,13.98,1331200
2005-03-02,13.99,14.08,13.94,14.0,981600
2005-03-03,13.97,13.97,13.56,13.76,1330800
2005-03-04,13.81,14.09,13.76,14.04,1207600
2005-03-07,13.98,14.11,13.94,14.1,953600
2005-03-08,14.1,14.2,13.98,14.01,1752400
2005-03-09,14.01,14.01,13.64,13.68,1686800
2005-03-10,13.72,13.74,13.46,13.48,1589200
2005-03-11,13.52,13.59,13.42,13.48,444000
2005-03-14,13.5,13.55,13.4,13.48,824000
2005-03-15,13.48,13.54,13.39,13.44,2097600
2005-03-16,13.39,13.46,13.32,13.32,768000
2005-03-17,13.34,13.47,13.27,13.44,927200
2005-03-18,13.38,13.59,13.36,13.56,1840400
2005-03-21,13.5,13.54,13.44,13.5,1343600
2005-03-22,13.46,13.76,13.46,13.74,1717200
2005-03-23,13.74,13.96,13.71,13.76,1736800
2005-03-24,13.71,13.75,13.36,13.39,1882000
2005-03-28,13.32,13.32,13.09,13.24,1404800
2005-03-29,13.26,13.28,12.84,12.88,1321200
2005-03-30,12.84,13.1,12.83,12.99,1255200
2005-03-31,12.93,13.04,12.9,12.98,1019600
2005-04-01,12.97,13.18,12.91,12.95,1035200
2005-04-04,12.91,13.26,12.89,13.12,966800
2005-04-05,13.12,13.24,13.08,13.17,948000
2005-04-06,13.17,13.38,13.04,13.32,1558000
2005-04-07,13.32,13.5,13.3,13.42,959600
2005-04-08,13.37,13.42,13.25,13.28,604400
2005-04-11,13.26,13.37,13.16,13.33,874400
2005-04-12,13.33,13.63,13.22,13.62,1718400
2005-04-13,13.58,13.58,13.28,13.34,1100400
2005-04-14,13.34,13.38,12.73,12.85,978400
2005-04-15,12.79,12.94,12.34,12.41,1987600
2005-04-18,12.41,12.62,12.3,12.62,1550000
2005-04-19,12.62,12.7,12.56,12.68,748800
2005-04-20,12.66,12.68,12.38,12.42,929600
2005-04-21,12.49,12.71,12.42,12.71,736000
2005-04-22,12.7,12.74,12.41,12.51,959600
2005-04-25,12.5,12.88,12.5,12.85,973200
2005-04-26,12.79,12.9,12.51,12.52,1250400
2005-04-27,12.52,12.52,12.19,12.38,1606800
2005-04-28,12.35,12.35,11.88,12.0,1874400
2005-04-29,12.03,12.22,11.91,12.18,1968400
2005-05-02,12.18,12.31,12.1,12.3,1313600
2005-05-03,12.24,12.25,12.02,12.03,1989600
2005-05-04,12.03,12.21,11.91,12.19,1319200
2005-05-05,12.15,12.36,12.12,12.27,941600
2005-05-06,12.25,12.84,12.22,12.76,1752800
2005-05-09,12.75,13.16,12.75,13.12,3079200
2005-05-10,13.12,13.36,13.0,13.31,2055200
2005-05-11,13.31,13.41,13.27,13.39,1491600
2005-05-12,13.38,13.38,13.14,13.18,1500400
2005-05-13,13.19,13.21,12.78,12.93,1580400
2005-05-16,12.95,13.27,12.95,13.2,1266000
2005-05-17,13.15,13.24,13.08,13.23,682000
2005-05-18,13.25,13.54,13.21,13.42,1527200
2005-05-19,13.42,13.46,13.31,13.4,858400
2005-05-20,13.4,13.4,13.24,13.34,721600
2005-05-23,13.36,13.5,13.36,13.45,499600
2005-05-24,13.28,13.33,13.16,13.27,922400
2005-05-25,13.28,13.28,13.04,13.08,610800
2005-05-26,13.14,13.44,13.14,13.34,889200
2005-05-27,13.3,13.34,13.13,13.17,570000
2005-05-31,13.12,13.32,13.12,13.14,960800
2005-06-01,13.09,13.25,13.04,13.23,1496800
2005-06-02,13.19,13.23,13.15,13.17,1270400
2005-06-03,13.17,13.2,12.94,13.03,1664400
2005-06-06,13.04,13.19,13.0,13.18,869200
2005-06-07,13.17,13.27,13.16,13.19,1428800
2005-06-08,13.19,13.27,13.12,13.17,1005200
2005-06-09,13.11,13.38,13.02,13.38,1382400
2005-06-10,13.4,13.68,13.38,13.53,1600000
2005-06-13,13.48,13.5,13.36,13.45,735600
2005-06-14,13.45,13.67,13.44,13.62,772800
2005-06-15,13.61,13.67,13.53,13.63,707600
2005-06-16,13.63,13.77,13.54,13.76,494000
2005-06-17,13.94,14.31,13.71,13.72,3570800
2005-06-20,13.62,13.68,13.53,13.66,857200
2005-06-21,13.66,13.66,13.45,13.62,825200
2005-06-22,13.62,13.71,13.43,13.57,1075200
2005-06-23,13.54,13.66,13.46,13.48,1172400
2005-06-24,13.48,13.57,13.23,13.32,850000
2005-06-27,13.19,13.38,13.14,13.36,932400
2005-06-28,13.4,13.64,13.4,13.63,1438400
2005-06-29,13.69,14.02,13.69,13.96,2446400
2005-06-30,13.96,14.2,13.96,14.06,2990400
2005-07-01,14.13,14.25,14.02,14.11,2197200
2005-07-05,14.12,14.4,14.07,14.4,1069200
2005-07-06,14.44,14.6,14.2,14.32,2232800
2005-07-07,14.09,14.12,13.75,14.11,4565200
2005-07-08,14.08,14.14,13.86,14.06,1838000
2005-07-11,14.06,14.27,14.05,14.25,1373600
2005-07-12,14.25,14.25,14.03,14.12,1207600
2005-07-13,14.14,14.23,14.09,14.16,833600
2005-07-14,14.18,14.25,14.0,14.16,1223600
2005-07-15,14.16,14.39,14.12,14.38,981600
2005-07-18,14.37,14.44,14.06,14.09,916400
2005-07-19,14.05,14.36,14.02,14.24,739200
2005-07-20,14.24,14.44,14.24,14.34,829200
2005-07-21,14.39,14.53,14.3,14.38,1643200
2005-07-22,14.31,14.46,14.14,14.3,871600
2005-07-25,14.23,14.32,13.96,14.0,949600
2005-07-26,14.19,14.96,14.19,14.8,5612800
2005-07-27,14.78,14.78,14.57,14.69,2681200
2005-07-28,14.75,14.92,14.59,14.84,1460000
2005-07-29,14.8,14.86,14.65,14.72,1409600
2005-08-01,14.7,14.88,14.7,14.76,1075600
2005-08-02,14.72,14.98,14.71,14.88,1643600
2005-08-03,14.81,14.96,14.73,14.87,701200
2005-08-04,14.84,14.98,14.75,14.88,1278000
2005-08-05,14.84,14.91,14.8,14.82,2161200
2005-08-08,14.82,15.11,14.82,15.04,2512000
2005-08-09,15.03,15.03,14.85,14.98,2336400
2005-08-10,14.98,15.16,14.92,14.98,1143200
2005-08-11,14.98,15.04,14.85,14.96,1173600
2005-08-12,14.96,15.1,14.79,15.0,1185600
2005-08-15,15.0,15.1,14.87,14.98,791600
2005-08-16,14.99,14.99,14.67,14.74,880800
2005-08-17,14.72,14.75,14.61,14.62,1114400
2005-08-18,14.52,14.54,14.3,14.36,2382000
2005-08-19,14.3,14.36,14.04,14.3,2132400
2005-08-22,14.36,14.44,14.25,14.32,1184800
2005-08-23,14.32,14.37,14.11,14.28,958400
2005-08-24,14.24,14.65,14.2,14.44,1408000
2005-08-25,14.44,14.58,14.34,14.48,709600
2005-08-26,14.5,14.5,14.1,14.31,898400
