Date,Open,High,Low,Close,Volume
2005-01-03,27.23,27.48,26.74,26.82,7778300
2005-01-04,26.95,27.21,25.48,25.8,12842900
2005-01-05,25.8,26.42,25.27,25.64,8353300
2005-01-06,25.94,26.06,25.16,25.18,9068000
2005-01-07,25.33,25.76,25.11,25.46,5415000
2005-01-10,25.52,26.11,25.48,25.84,7824900
2005-01-11,25.79,25.98,25.52,25.67,7647500
2005-01-12,25.87,26.3,25.83,26.27,7616500
2005-01-13,26.34,26.8,26.23,26.3,7662600
2005-01-14,26.55,26.72,26.49,26.6,8991700
2005-01-18,26.57,26.65,26.2,26.46,13693100
2005-01-19,26.52,26.73,25.22,25.74,24364400
2005-01-20,25.5,26.08,25.41,25.44,8127600
2005-01-21,25.38,25.55,24.95,25.0,6792900
2005-01-24,25.06,25.5,23.86,24.06,12060200
2005-01-25,24.56,24.91,24.31,24.47,8332000
2005-01-26,24.72,24.85,24.25,24.57,8755500
2005-01-27,24.69,25.18,24.46,25.0,6756800
2005-01-28,25.06,25.18,24.4,24.55,5526200
2005-01-31,24.77,25.23,24.65,25.13,7652400
2005-02-01,25.11,25.32,24.73,25.0,8304200
2005-02-02,24.76,24.98,24.15,24.47,11048900
2005-02-03,24.24,24.31,22.15,23.3,29657900
2005-02-04,23.4,23.67,22.73,22.97,13458600
2005-02-07,23.06,23.2,21.65,23.14,25125100
2005-02-08,23.2,23.8,23.14,23.63,13205600
2005-02-09,23.88,24.08,23.32,23.38,10627100
2005-02-10,23.44,23.66,22.98,23.25,9117000
2005-02-11,22.97,23.99,22.95,23.64,7248600
2005-02-14,23.56,23.81,23.31,23.53,9180200
2005-02-15,23.55,23.9,23.03,23.17,11642600
2005-02-16,23.04,23.19,22.79,22.96,6219800
2005-02-17,23.04,23.18,22.4,22.45,6970400
2005-02-18,22.37,22.45,21.85,21.95,9921200
2005-02-22,21.4,21.98,21.15,21.45,9368600
2005-02-23,21.6,21.76,21.06,21.5,8305700
2005-02-24,21.42,21.82,21.32,21.71,7558000
2005-02-25,21.8,22.15,21.54,21.63,7972700
2005-02-28,21.73,22.07,21.25,21.54,7767900
2005-03-01,21.61,21.84,21.22,21.56,8109500
2005-03-02,21.46,22.07,21.34,21.86,7414300
2005-03-03,21.94,21.98,21.27,21.29,8192900
2005-03-04,21.48,21.68,21.21,21.26,7799900
2005-03-07,21.53,23.22,21.37,23.0,18258400
2005-03-08,22.75,23.13,22.5,22.57,9771100
2005-03-09,22.56,23.82,22.56,23.35,16300100
2005-03-10,23.32,23.4,22.75,23.04,7805600
2005-03-11,23.08,23.25,22.21,22.35,7258200
2005-03-14,22.41,22.66,22.2,22.35,5001500
2005-03-15,22.38,22.59,21.84,21.86,5595600
2005-03-16,21.66,21.96,21.23,21.39,8720800
2005-03-17,21.44,22.14,21.41,21.85,9442600
2005-03-18,22.01,22.03,21.27,21.38,5074200
2005-03-21,21.4,21.55,21.14,21.23,5412500
