Date,Open,High,Low,Close,Volume
2005-01-03,46.76,47.0,45.25,45.3,4040089
2005-01-04,45.59,45.74,43.38,43.83,6952737
2005-01-05,43.55,44.35,43.12,43.12,6377038
2005-01-06,43.42,43.73,42.3,42.31,6201902
2005-01-07,42.55,43.58,42.4,42.97,6819561
2005-01-10,42.91,43.25,42.25,42.25,4824517
2005-01-11,41.88,42.6,41.7,42.42,7510344
2005-01-12,44.03,44.75,43.52,44.45,9899849
2005-01-13,44.46,44.56,43.43,43.45,5370829
2005-01-14,43.73,44.94,43.59,44.91,7276165
2005-01-18,44.64,45.23,44.49,45.23,4684148
2005-01-19,45.11,45.19,43.85,43.85,4739243
2005-01-20,43.42,44.41,43.1,43.31,8333610
2005-01-21,43.95,44.94,43.61,44.41,9363194
2005-01-24,44.39,44.82,43.67,43.99,4921803
2005-01-25,44.5,44.91,44.21,44.76,4852116
2005-01-26,45.0,46.11,44.82,45.96,4815530
2005-01-27,45.9,46.7,45.54,46.69,5585971
2005-01-28,46.55,46.82,45.58,45.87,4834444
2005-01-31,46.23,46.66,45.99,46.25,3674802
2005-02-01,46.21,47.2,46.05,47.05,4408842
2005-02-02,47.06,47.09,46.41,46.84,4414512
2005-02-03,46.45,46.85,45.84,46.38,2939179
2005-02-04,46.36,48.82,46.26,48.75,7616696
2005-02-07,48.54,49.25,48.22,48.49,5068752
2005-02-08,48.48,49.69,48.32,49.11,5852117
2005-02-09,49.12,49.18,47.77,47.84,4367484
2005-02-10,48.08,48.79,47.69,48.37,4959647
2005-02-11,48.29,50.68,47.91,49.91,8642960
2005-02-14,49.76,50.17,49.26,49.73,5261788
2005-02-15,50.0,51.01,49.8,50.5,8582822
2005-02-16,50.21,50.73,49.64,50.18,6365906
2005-02-17,50.25,50.63,49.17,49.58,5007451
2005-02-18,48.98,49.68,48.65,48.67,5533879
2005-02-22,48.3,49.82,48.04,48.18,7518043
2005-02-23,48.41,48.71,47.31,47.69,5883512
2005-02-24,47.83,48.91,47.4,48.85,7105246
2005-02-25,48.75,50.87,48.73,50.81,8753057
2005-02-28,50.57,51.56,48.99,49.41,9814617
2005-03-01,49.66,50.56,49.37,50.03,7950152
2005-03-02,49.24,49.93,48.78,48.87,7456207
2005-03-03,49.06,49.15,47.52,48.04,8561505
2005-03-04,48.55,48.64,47.25,47.9,8857954
2005-03-07,47.96,49.24,47.95,48.77,6227591
2005-03-08,48.6,49.51,48.2,48.32,6202257
2005-03-09,48.42,49.13,47.9,48.02,5443370
2005-03-10,48.09,48.96,47.63,48.96,6001753
2005-03-11,49.04,49.04,46.49,46.75,9461799
2005-03-14,46.81,47.02,46.28,46.97,4864125
2005-03-15,47.04,47.23,46.1,46.17,4694003
2005-03-16,45.91,46.8,45.26,45.29,6724390
2005-03-17,45.36,45.85,45.2,45.21,4856419
2005-03-18,45.27,45.52,44.79,45.08,4296595
2005-03-21,45.14,45.71,44.55,45.14,5264380
2005-03-22,45.14,45.82,44.56,44.67,4799101
2005-03-23,44.65,45.72,44.53,45.35,4941719
2005-03-24,45.71,46.44,45.68,45.89,4934957
2005-03-28,46.02,46.7,45.85,45.87,4139137
2005-03-29,45.63,46.25,45.01,45.19,4793967
2005-03-30,45.39,46.59,45.18,46.59,5641386
2005-03-31,46.56,46.62,45.82,46.01,3710158
2005-04-01,46.34,46.83,45.25,45.25,5237084
2005-04-04,45.33,45.43,44.2,44.61,6876815
2005-04-05,44.8,45.17,44.18,44.39,5213906
2005-04-06,44.74,45.4,44.35,44.36,5004042
2005-04-07,44.45,45.41,44.27,45.39,4689680
2005-04-08,45.3,45.81,44.93,44.93,3577961
2005-04-11,45.02,45.26,44.76,45.03,2924011
2005-04-12,45.09,45.45,44.22,45.38,5262202
2005-04-13,45.12,45.51,42.38,42.59,12819663
2005-04-14,42.89,42.9,41.32,41.38,10435309
2005-04-15,40.72,41.03,40.08,40.36,9916843
2005-04-18,40.54,41.31,40.4,41.06,6021790
2005-04-19,41.57,41.66,40.7,41.03,4875814
2005-04-20,42.11,42.35,40.69,40.72,7033515
2005-04-21,41.43,42.06,41.05,41.93,5386712
2005-04-22,41.7,41.89,40.82,41.03,3757450
2005-04-25,41.33,41.63,40.86,41.24,3458321
2005-04-26,41.09,42.32,40.65,40.91,6335885
2005-04-27,40.64,41.24,40.24,40.5,5437057
2005-04-28,40.38,41.13,39.97,40.02,6272806
2005-04-29,38.85,39.14,37.39,38.95,13676297
2005-05-02,39.19,39.47,38.98,39.2,4306083
2005-05-03,39.1,39.59,38.59,38.86,5235521
2005-05-04,39.0,39.55,38.9,39.31,5390117
2005-05-05,39.22,39.84,38.91,39.09,6558394
2005-05-06,39.28,39.41,38.74,39.39,3890936
2005-05-09,39.24,39.51,38.93,39.25,2706054
2005-05-10,39.04,40.2,39.0,39.95,7734383
2005-05-11,40.07,40.25,39.51,40.24,5141532
2005-05-12,40.22,40.69,39.97,40.24,4604257
2005-05-13,40.36,41.95,40.36,41.49,7180397
