Date,Open,High,Low,Close,Volume
2005-01-03,65.72,65.99,64.36,64.55,1522100
2005-01-04,64.8,65.59,64.55,64.58,2166700
2005-01-05,64.58,64.84,63.41,63.47,2207200
2005-01-06,63.48,64.92,63.46,64.5,1458500
2005-01-07,64.52,64.77,64.11,64.14,1459800
2005-01-10,64.25,65.1,63.8,64.56,1994300
2005-01-11,64.7,64.72,64.04,64.08,1275100
2005-01-12,64.24,64.61,63.82,64.61,1228400
2005-01-13,64.36,64.55,63.43,63.58,1274800
2005-01-14,63.75,64.42,63.54,64.37,1276100
2005-01-18,63.95,64.16,63.61,64.11,1775000
2005-01-19,64.05,64.5,63.92,64.0,1139400
2005-01-20,64.0,64.9,64.0,64.49,2173300
2005-01-21,64.24,64.5,63.33,63.78,2393600
2005-01-24,63.79,65.15,63.79,64.4,1833600
2005-01-25,64.45,65.65,64.39,64.6,2233400
2005-01-26,64.85,65.17,64.35,64.35,1467300
2005-01-27,64.15,64.82,63.9,64.71,1526000
2005-01-28,64.96,65.42,64.29,65.18,1999000
2005-01-31,66.1,66.35,65.25,65.51,1963800
2005-02-01,65.76,65.85,65.01,65.3,1518600
2005-02-02,65.06,66.19,65.06,66.09,1440300
2005-02-03,65.77,66.7,65.55,66.58,1604800
2005-02-04,66.48,66.96,66.28,66.9,1517400
2005-02-07,66.9,67.0,66.62,66.77,879800
2005-02-08,66.65,66.94,66.62,66.8,1253200
2005-02-09,66.85,67.09,66.52,66.68,1191000
2005-02-10,66.7,67.08,66.52,66.97,1043700
2005-02-11,67.08,67.71,66.66,67.67,1459200
2005-02-14,67.67,68.29,67.54,68.15,1377300
2005-02-15,67.5,67.71,66.76,67.0,2626600
2005-02-16,66.15,66.61,65.72,65.94,2339500
2005-02-17,65.75,66.25,65.46,65.78,1436800
2005-02-18,65.92,66.31,65.57,65.92,1644400
2005-02-22,65.65,65.94,64.93,64.93,1923500
2005-02-23,65.23,66.0,65.18,65.87,1557100
2005-02-24,65.75,66.77,65.61,66.65,1694500
2005-02-25,66.4,66.67,65.92,66.3,1542200
2005-02-28,66.2,66.56,65.75,65.98,1796000
2005-03-01,65.95,67.08,65.93,66.46,1825000
2005-03-02,65.75,66.35,65.27,65.9,1435200
2005-03-03,66.3,66.77,65.54,65.82,1337700
2005-03-04,66.37,66.37,65.79,65.86,1275500
2005-03-07,66.1,66.15,65.45,65.52,1096500
2005-03-08,65.6,66.05,65.51,65.75,992500
2005-03-09,65.5,65.81,65.08,65.22,1170800
2005-03-10,65.32,66.1,65.3,65.98,1514600
2005-03-11,65.63,66.02,65.23,65.59,1685000
2005-03-14,65.55,66.08,65.41,66.0,1081400
2005-03-15,66.15,66.5,65.55,65.55,989400
2005-03-16,65.2,65.53,64.74,64.99,1024800
2005-03-17,64.75,65.14,64.41,64.9,1418800
2005-03-18,64.65,65.25,64.6,64.9,1868700
2005-03-21,65.4,65.45,64.6,64.94,1157900
2005-03-22,64.89,65.75,64.57,64.65,1831100
2005-03-23,64.67,65.92,64.67,65.34,1716800
2005-03-24,65.55,65.55,64.81,64.81,1096600
2005-03-28,64.99,65.55,64.8,65.1,1233100
2005-03-29,64.6,65.89,64.6,65.45,1666200
2005-03-30,65.64,66.08,65.48,65.8,1919900
2005-03-31,65.8,65.84,65.54,65.73,1135000
2005-04-01,65.8,65.98,65.29,65.46,1923800
2005-04-04,65.46,65.52,65.0,65.33,1705500
2005-04-05,65.48,65.94,65.32,65.78,1599900
2005-04-06,65.88,66.14,65.68,65.76,915800
2005-04-07,65.85,66.74,65.51,66.4,1424200
2005-04-08,66.4,66.66,65.72,65.77,1136800
2005-04-11,65.55,66.71,65.55,66.49,1324100
2005-04-12,66.3,66.9,65.76,66.64,1288500
2005-04-13,66.64,66.99,65.57,65.8,1530700
2005-04-14,65.55,65.85,65.29,65.37,2007900
2005-04-15,64.95,66.74,64.39,64.53,2389500
2005-04-18,64.6,64.95,64.22,64.48,1715200
2005-04-19,64.75,64.76,64.01,64.24,1078700
2005-04-20,64.0,64.17,62.85,63.0,1583900
2005-04-21,64.1,64.15,63.44,63.99,1155600
2005-04-22,63.5,64.01,63.02,63.53,1419400
2005-04-25,63.0,63.8,62.02,63.24,3075200
2005-04-26,62.91,62.99,62.04,62.07,2070400
2005-04-27,61.75,62.61,61.26,62.2,1467100
2005-04-28,62.1,62.38,61.59,61.59,1368500
2005-04-29,61.62,62.75,61.62,62.45,1652400
2005-05-02,62.46,62.61,62.0,62.51,1360100
2005-05-03,62.5,62.72,62.07,62.42,1470400
2005-05-04,62.47,62.71,62.23,62.39,1481600
2005-05-05,62.25,62.44,61.79,62.15,1336400
2005-05-06,62.35,62.35,61.39,61.53,1308600
2005-05-09,61.6,62.29,61.36,62.29,1096400
2005-05-10,62.0,62.12,61.55,61.72,1538000
2005-05-11,61.8,62.6,61.74,62.4,1191100
2005-05-12,62.5,62.97,62.25,62.36,1204000
2005-05-13,62.56,62.56,61.58,61.98,1478200
2005-05-16,62.1,63.42,62.05,63.42,1220700
2005-05-17,63.27,64.16,63.23,64.09,1849100
2005-05-18,64.4,64.89,64.23,64.44,1797100
2005-05-19,64.94,65.49,64.83,65.27,1590800
2005-05-20,65.48,65.49,64.9,65.2,1032100
2005-05-23,65.21,65.37,64.77,65.08,1177400
2005-05-24,65.16,65.49,64.72,65.19,1289200
2005-05-25,64.8,65.19,64.53,65.0,901000
2005-05-26,65.25,65.53,64.82,65.29,906300
2005-05-27,65.4,65.4,64.54,64.75,895200
2005-05-31,64.7,64.74,64.33,64.33,1512600
2005-06-01,64.31,65.42,64.08,65.18,1083300
2005-06-02,65.28,65.28,64.21,64.32,1514700
2005-06-03,64.32,64.66,64.17,64.42,1257000
2005-06-06,64.49,65.07,64.42,64.96,1885700
2005-06-07,65.1,65.95,65.1,65.32,1444700
2005-06-08,65.08,65.1,64.65,64.9,2842900
2005-06-09,64.93,65.13,64.4,64.77,1610200
2005-06-10,64.98,65.14,64.65,64.78,1113800
2005-06-13,64.75,65.19,64.5,64.72,1169700
2005-06-14,64.62,65.08,64.53,64.97,1204300
2005-06-15,64.99,65.3,64.7,65.12,959600
2005-06-16,65.12,65.17,64.78,64.98,1341400
2005-06-17,65.7,65.73,65.19,65.26,1954100
2005-06-20,65.23,65.45,64.9,64.9,1228300
2005-06-21,64.95,65.0,64.25,64.44,1438000
2005-06-22,64.69,64.92,64.23,64.29,2270200
2005-06-23,64.4,64.45,63.5,63.5,1355200
2005-06-24,63.18,63.35,62.73,62.81,2514600
2005-06-27,62.71,62.93,62.48,62.61,1661500
2005-06-28,62.8,63.5,62.72,63.23,1342200
2005-06-29,63.3,63.6,63.0,63.39,1164900
2005-06-30,63.39,63.51,62.56,62.59,1458900
2005-07-01,62.9,63.32,62.84,63.13,1107100
2005-07-05,63.14,63.43,62.64,63.13,1891700
2005-07-06,63.27,63.4,61.6,61.64,1982400
2005-07-07,61.12,61.45,60.93,61.2,1823800
2005-07-08,61.2,61.49,61.0,61.29,2466700
2005-07-11,61.65,61.96,61.41,61.92,1890200
2005-07-12,62.0,62.33,61.85,61.87,1302300
