Date,Open,High,Low,Close,Volume
2005-01-03,20.95,20.98,20.7,20.77,14082200
2005-01-04,20.77,20.82,20.45,20.48,16860200
2005-01-05,20.5,20.6,20.37,20.38,13271200
2005-01-06,20.34,20.58,20.28,20.56,10038600
2005-01-07,20.54,20.73,20.42,20.58,9732800
2005-01-10,20.95,20.76,20.5,20.7,10577000
2005-01-11,20.63,20.66,20.5,20.58,10592200
2005-01-12,20.58,20.62,20.42,20.58,10857200
2005-01-13,20.58,20.6,20.3,20.37,9431200
2005-01-14,20.38,20.56,20.38,20.48,8296600
2005-01-18,20.36,20.63,20.3,20.62,10045800
2005-01-19,20.54,20.72,20.54,20.55,8542600
2005-01-20,20.51,20.77,20.34,20.66,13351600
2005-01-21,20.62,20.7,20.4,20.46,13432200
2005-01-24,20.48,20.59,20.38,20.48,13641800
2005-01-25,20.58,20.72,20.54,20.62,9709400
2005-01-26,20.58,20.94,20.58,20.84,15058400
2005-01-27,20.84,21.0,20.76,20.88,11225800
2005-01-28,20.76,20.82,20.6,20.74,13453000
2005-01-31,20.88,20.92,20.7,20.74,14094600
2005-02-01,20.75,20.75,20.56,20.71,10830600
2005-02-02,20.72,20.96,20.68,20.96,13192800
2005-02-03,20.95,20.96,20.8,20.87,9622000
2005-02-04,20.8,21.26,20.78,21.24,15542800
2005-02-07,21.3,21.3,21.13,21.24,8667800
2005-02-08,21.33,21.44,21.22,21.32,9454600
2005-02-09,21.4,21.56,21.2,21.38,14615000
2005-02-10,21.38,21.55,21.13,21.25,8685600
2005-02-11,21.16,21.54,21.16,21.38,10168000
2005-02-14,21.48,21.48,21.32,21.43,6980800
2005-02-15,21.47,21.47,21.1,21.32,11665400
2005-02-16,21.95,22.08,21.58,21.65,34083400
2005-02-17,21.67,21.68,21.4,21.5,14544400
2005-02-18,21.54,21.54,21.38,21.48,11256600
2005-02-22,21.4,21.58,21.23,21.4,17106600
2005-02-23,21.4,21.46,21.2,21.29,11546800
2005-02-24,21.32,21.41,21.2,21.33,9311000
2005-02-25,21.35,21.52,21.18,21.51,10712400
2005-02-28,21.43,21.57,21.34,21.4,13228000
2005-03-01,21.4,21.7,21.38,21.64,9999400
2005-03-02,21.51,21.7,21.43,21.52,9870200
2005-03-03,21.6,21.72,21.52,21.59,9465200
2005-03-04,21.72,21.88,21.62,21.82,13141400
2005-03-07,21.77,21.92,21.76,21.86,9493000
2005-03-08,21.78,21.9,21.68,21.71,11534600
