Date,Open,High,Low,Close,Volume
2005-01-03,70.3,70.5,68.98,69.45,503300
2005-01-04,69.45,70.0,68.76,69.43,390900
2005-01-05,69.43,69.89,69.42,69.55,592600
2005-01-06,69.55,69.99,69.3,69.7,360000
2005-01-07,69.8,69.8,69.17,69.47,357900
2005-01-10,69.4,69.46,68.79,69.05,540100
2005-01-11,68.85,68.86,68.09,68.39,340700
2005-01-12,68.3,68.62,67.51,68.45,353700
2005-01-13,68.4,68.74,67.86,67.98,338700
2005-01-14,68.45,69.43,67.99,69.4,353500
2005-01-18,69.41,71.44,69.41,71.3,747800
2005-01-19,71.4,71.57,70.53,70.53,336900
2005-01-20,70.0,70.0,68.87,68.87,521400
2005-01-21,68.7,69.07,68.29,68.29,354300
2005-01-24,68.5,69.77,68.5,69.05,341300
2005-01-25,69.25,69.27,68.06,68.11,266300
2005-01-26,67.7,68.85,67.7,68.51,287900
2005-01-27,68.35,68.64,67.72,67.86,310200
2005-01-28,67.86,67.86,67.05,67.39,275000
2005-01-31,68.0,68.24,67.73,68.0,310200
2005-02-01,67.93,68.4,67.67,68.28,517600
2005-02-02,68.25,69.95,68.25,69.8,407600
2005-02-03,69.3,69.43,68.53,69.0,314400
2005-02-04,69.25,71.78,69.19,70.8,922300
2005-02-07,71.1,71.1,70.25,70.4,295500
2005-02-08,70.3,70.53,70.09,70.5,347800
2005-02-09,70.49,70.8,69.43,69.76,314600
2005-02-10,71.0,71.74,70.24,71.5,630900
2005-02-11,71.7,72.25,71.36,71.74,576200
2005-02-14,71.92,72.21,71.62,71.8,447400
2005-02-15,72.2,74.6,72.2,74.15,686700
2005-02-16,74.15,74.18,72.44,72.44,619900
2005-02-17,72.55,73.34,72.15,72.2,747300
2005-02-18,72.55,73.11,71.76,72.03,572200
2005-02-22,72.04,72.27,70.61,70.61,576200
2005-02-23,70.86,71.28,70.59,70.93,722300
2005-02-24,71.18,72.39,71.02,72.1,1113500
2005-02-25,71.95,72.27,71.0,72.24,619200
2005-02-28,72.44,72.49,70.84,71.28,529200
2005-03-01,71.49,73.26,71.49,73.03,653800
2005-03-02,73.04,73.51,72.96,73.3,448800
2005-03-03,73.55,73.8,72.8,73.29,706100
2005-03-04,73.85,74.12,73.56,73.87,538600
2005-03-07,74.1,74.22,73.54,73.71,501200
2005-03-08,73.4,73.79,73.12,73.32,475700
2005-03-09,72.95,74.05,72.92,73.5,476700
2005-03-10,73.4,73.84,72.87,73.09,384400
2005-03-11,73.33,73.33,71.66,71.8,444000
2005-03-14,72.0,72.55,71.91,72.36,757300
2005-03-15,73.3,73.47,73.03,73.15,1012500
2005-03-16,73.15,73.6,71.63,72.59,666800
2005-03-17,72.7,72.7,72.15,72.15,1189800
2005-03-18,72.16,72.16,70.39,70.82,2549700
2005-03-21,71.0,71.26,70.84,71.05,877300
2005-03-22,71.2,72.7,71.14,71.54,1024100
2005-03-23,71.58,72.34,71.56,72.09,935700
2005-03-24,71.9,72.15,71.62,71.73,505000
2005-03-28,71.73,72.34,71.61,71.67,601700
2005-03-29,71.67,73.03,71.67,72.56,631600
2005-03-30,72.85,73.44,72.45,73.4,530000
2005-03-31,73.36,74.22,72.98,73.54,821000
2005-04-01,73.79,74.2,72.39,72.94,592400
2005-04-04,73.01,73.4,72.29,72.63,711800
2005-04-05,72.81,73.08,72.52,72.87,376900
2005-04-06,73.35,74.2,73.17,73.92,358100
2005-04-07,73.92,74.18,72.91,73.76,313300
2005-04-08,74.01,74.03,73.31,73.35,337000
2005-04-11,73.36,73.4,72.81,73.02,462000
2005-04-12,72.9,74.82,72.87,74.17,801000
2005-04-13,73.7,74.25,72.84,72.86,499700
2005-04-14,72.65,73.47,71.61,71.77,681000
2005-04-15,70.9,71.09,70.01,70.01,812000
2005-04-18,69.9,69.99,68.94,69.61,479900
2005-04-19,69.78,70.84,69.38,70.71,441500
2005-04-20,70.62,71.75,69.46,69.46,530500
2005-04-21,69.91,70.8,69.69,70.79,476300
2005-04-22,70.79,71.79,69.3,69.97,592200
2005-04-25,70.4,71.32,70.21,71.02,387800
2005-04-26,71.23,71.4,69.95,69.95,380400
2005-04-27,69.9,71.07,69.62,70.81,389100
2005-04-28,70.56,70.62,69.76,69.84,438300
2005-04-29,69.86,70.88,69.5,70.88,531300
2005-05-02,71.13,71.93,70.78,71.63,498000
2005-05-03,72.0,72.0,70.26,70.92,740600
2005-05-04,71.25,73.46,71.15,73.4,716000
2005-05-05,73.35,73.73,72.87,73.19,521200
2005-05-06,73.55,73.6,72.87,73.0,511700
2005-05-09,72.63,73.38,72.24,72.87,588400
2005-05-10,72.62,73.26,72.13,72.47,425300
2005-05-11,72.9,73.37,72.5,73.26,415700
2005-05-12,73.5,73.63,72.13,72.13,617300
2005-05-13,72.4,72.46,70.76,71.36,664000
2005-05-16,71.6,72.64,71.41,72.58,522300
2005-05-17,72.35,72.96,71.97,72.74,659900
2005-05-18,72.99,73.13,72.51,72.7,573200
2005-05-19,72.88,72.92,72.37,72.79,451200
