Date,Open,High,Low,Close,Volume
2005-01-03,49.83,49.99,48.65,48.7,649900
2005-01-04,48.7,48.8,48.15,48.49,958600
2005-01-05,48.1,48.2,47.77,47.88,986400
2005-01-06,47.92,48.28,47.66,48.17,1018100
2005-01-07,48.1,48.33,47.82,47.85,747500
2005-01-10,47.75,48.35,47.69,48.04,733500
2005-01-11,47.8,48.38,47.62,48.23,420400
2005-01-12,49.0,49.9,48.65,48.65,1969100
2005-01-13,48.75,49.09,48.0,48.18,1025700
2005-01-14,48.06,48.46,48.05,48.27,429700
2005-01-18,48.3,48.42,48.02,48.37,485500
2005-01-19,48.2,48.39,48.15,48.35,409200
2005-01-20,48.35,48.83,48.12,48.34,677700
2005-01-21,48.2,48.43,47.24,47.25,564300
2005-01-24,47.3,47.39,46.8,46.92,443800
2005-01-25,47.1,47.18,46.79,46.92,416800
2005-01-26,47.0,47.7,47.0,47.52,405100
2005-01-27,47.61,49.04,47.61,48.23,1646900
2005-01-28,48.24,48.53,47.37,47.43,582200
2005-01-31,47.43,48.02,47.15,47.85,545800
2005-02-01,47.6,49.15,47.49,48.87,601900
2005-02-02,48.87,49.35,48.84,48.95,652800
2005-02-03,48.96,49.53,48.9,49.45,692700
2005-02-04,49.4,49.88,49.39,49.74,603300
2005-02-07,49.5,49.69,49.28,49.4,427200
2005-02-08,49.4,49.46,49.07,49.24,315800
2005-02-09,49.2,49.4,48.55,48.6,403600
2005-02-10,48.8,49.03,48.61,48.82,375000
2005-02-11,48.83,49.49,48.77,49.31,281100
2005-02-14,49.32,49.48,48.85,48.85,663700
2005-02-15,49.1,50.67,49.0,49.67,3324400
2005-02-16,49.65,50.24,49.25,50.1,2465700
2005-02-17,49.89,49.99,49.75,49.8,714000
2005-02-18,49.7,49.75,49.24,49.3,812300
2005-02-22,48.35,48.63,47.88,47.88,1328600
2005-02-23,47.89,47.95,47.22,47.58,917900
2005-02-24,47.58,47.64,47.1,47.5,786300
2005-02-25,47.45,48.34,47.35,48.12,826100
2005-02-28,48.0,48.04,47.75,47.89,683600
2005-03-01,47.9,48.02,47.85,47.87,390300
2005-03-02,47.8,48.08,47.65,47.9,579300
2005-03-03,48.0,48.0,47.63,47.67,835000
2005-03-04,47.78,47.78,47.53,47.56,681100
2005-03-07,47.65,47.65,47.33,47.39,802600
2005-03-08,47.4,47.48,46.8,46.8,699600
2005-03-09,46.57,46.61,45.8,45.86,1247300
2005-03-10,46.0,46.48,46.0,46.29,1461400
2005-03-11,46.2,46.5,46.05,46.08,958600
2005-03-14,46.36,46.67,46.29,46.6,1013300
2005-03-15,46.6,46.79,45.64,45.7,721500
2005-03-16,45.53,45.54,44.63,44.93,912900
2005-03-17,44.96,45.89,44.87,45.66,1111600
2005-03-18,45.66,45.67,45.32,45.4,759000
2005-03-21,45.49,45.49,45.14,45.21,526500
2005-03-22,45.44,45.91,45.37,45.76,1184200
2005-03-23,45.4,45.7,45.32,45.4,948400
2005-03-24,45.5,46.02,45.41,45.95,621600
2005-03-28,45.98,46.4,45.9,46.25,495000
2005-03-29,46.35,46.74,46.07,46.42,1073900
2005-03-30,46.42,47.81,46.32,47.81,839700
2005-03-31,47.96,48.32,47.7,48.2,872200
2005-04-01,48.45,48.6,47.93,48.06,1118600
2005-04-04,48.06,48.55,47.77,48.51,547200
2005-04-05,48.5,49.1,48.33,49.05,639500
2005-04-06,49.05,49.68,48.84,49.43,450600
2005-04-07,49.42,49.81,49.18,49.64,355500
2005-04-08,49.39,49.69,49.3,49.48,489900
2005-04-11,49.38,49.5,49.14,49.34,359400
2005-04-12,49.25,49.9,49.06,49.72,492800
2005-04-13,49.51,49.96,49.49,49.71,573900
2005-04-14,49.6,49.6,48.5,48.57,880200
2005-04-15,48.4,48.65,47.87,47.87,640000
2005-04-18,47.7,47.99,46.83,47.63,670500
2005-04-19,47.87,49.24,47.64,49.02,1270900
2005-04-20,49.85,49.85,48.26,48.33,1090100
2005-04-21,48.33,49.37,48.33,49.22,840100
2005-04-22,48.98,49.2,48.44,48.81,392600
2005-04-25,48.93,49.61,48.86,49.3,759000
2005-04-26,49.0,49.24,48.54,48.62,443300
2005-04-27,48.63,49.49,48.35,49.24,484900
2005-04-28,49.01,49.22,48.61,48.78,582300
2005-04-29,48.79,49.76,48.68,49.5,535900
2005-05-02,49.42,49.82,49.03,49.14,486900
2005-05-03,48.95,49.29,48.71,49.02,443200
2005-05-04,49.1,50.86,49.1,50.8,1121000
2005-05-05,50.8,51.25,50.51,51.1,983400
2005-05-06,51.1,51.25,50.69,50.69,723700
2005-05-09,50.65,50.79,50.35,50.75,677900
2005-05-10,50.6,50.91,50.38,50.63,362700
2005-05-11,50.53,50.68,49.93,50.45,524300
2005-05-12,50.55,50.85,49.52,49.53,540600
2005-05-13,49.6,49.68,48.27,48.72,588000
2005-05-16,48.64,49.86,48.55,49.86,459400
2005-05-17,49.7,49.96,49.3,49.93,394600
2005-05-18,49.93,50.11,49.44,49.72,406700
2005-05-19,49.56,49.92,49.5,49.75,325800
2005-05-20,49.95,50.05,49.67,50.01,561000
2005-05-23,49.92,50.32,49.65,50.03,552300
2005-05-24,50.13,50.21,49.71,49.83,538500
2005-05-25,49.63,49.7,49.08,49.3,316300
2005-05-26,49.45,49.5,48.77,49.0,570900
2005-05-27,48.84,48.9,48.55,48.68,532300
2005-05-31,48.6,48.78,48.36,48.45,627900
2005-06-01,48.4,48.77,48.25,48.45,507300
2005-06-02,48.35,48.43,47.9,48.32,539200
2005-06-03,48.38,48.92,48.38,48.7,773400
2005-06-06,48.52,49.0,48.35,48.8,481200
2005-06-07,49.05,50.09,48.86,49.64,1038700
2005-06-08,49.7,49.82,48.18,48.85,708500
2005-06-09,48.87,49.37,48.69,49.25,465700
2005-06-10,49.29,49.36,48.78,48.8,279300
2005-06-13,48.7,49.21,48.61,49.08,256500
2005-06-14,49.02,49.62,48.89,49.48,546100
2005-06-15,49.58,49.63,49.01,49.24,321000
2005-06-16,49.37,49.41,49.11,49.35,278300
2005-06-17,49.4,50.14,49.4,50.08,709000
2005-06-20,50.0,50.28,49.84,50.2,421400
2005-06-21,50.1,50.56,50.05,50.47,572600
2005-06-22,50.5,50.5,50.0,50.3,366900
2005-06-23,50.27,50.29,49.74,49.75,313500
2005-06-24,49.7,49.9,49.04,49.15,532600
2005-06-27,49.24,49.32,48.85,49.04,420500
2005-06-28,49.18,50.4,49.15,50.26,546600
2005-06-29,50.24,50.64,50.06,50.31,534700
2005-06-30,50.45,50.45,49.8,49.9,602100
2005-07-01,49.9,49.95,49.49,49.61,469300
2005-07-05,49.62,50.03,49.52,49.94,413500
2005-07-06,50.05,50.57,49.72,50.08,626900
2005-07-07,49.6,50.05,49.48,50.01,435700
2005-07-08,49.92,49.98,49.66,49.89,352700
2005-07-11,49.95,50.5,49.81,50.13,388400
2005-07-12,50.15,50.15,49.6,50.02,338900
2005-07-13,49.98,50.02,49.39,49.56,605300
2005-07-14,49.6,50.12,49.38,49.9,409100
2005-07-15,49.78,50.1,49.53,50.1,578200
2005-07-18,50.1,50.97,50.1,50.82,903600
2005-07-19,51.0,51.5,50.98,51.42,1230600
2005-07-20,51.41,51.6,50.86,51.35,849100
2005-07-21,51.35,51.49,48.75,50.85,1508200
2005-07-22,51.75,51.75,51.08,51.75,978500
2005-07-25,51.73,51.97,50.78,50.9,639100
2005-07-26,50.91,51.45,50.9,51.07,736700
2005-07-27,51.15,51.32,50.83,50.93,923700
2005-07-28,50.88,51.91,50.85,51.71,712600
2005-07-29,51.7,51.72,50.64,50.67,941800
2005-08-01,50.77,51.07,50.73,50.92,443400
2005-08-02,51.0,51.2,50.48,50.78,524800
2005-08-03,50.7,51.13,50.6,50.92,481800
2005-08-04,50.9,50.9,50.11,50.11,764300
2005-08-05,50.05,50.06,49.09,49.25,804800
2005-08-08,49.5,50.06,49.44,49.86,773400
2005-08-09,49.97,50.2,49.85,50.01,322200
2005-08-10,50.15,50.39,49.92,49.97,520500
2005-08-11,49.91,50.26,49.61,49.76,542200
2005-08-12,49.76,49.8,49.49,49.62,469400
2005-08-15,49.52,49.65,49.26,49.64,549000
2005-08-16,49.5,49.6,49.12,49.12,452100
2005-08-17,49.14,49.69,49.09,49.56,510800
2005-08-18,49.5,49.51,49.08,49.18,339000
2005-08-19,49.4,49.57,49.3,49.5,515300
2005-08-22,49.5,49.61,49.12,49.28,374800
2005-08-23,49.23,49.35,49.04,49.3,576500
2005-08-24,49.25,50.0,49.25,49.48,497900
2005-08-25,49.45,49.63,49.08,49.28,360600
2005-08-26,49.19,49.32,48.77,49.07,482500
2005-08-29,48.88,49.63,48.5,49.6,561300
2005-08-30,49.5,49.74,49.42,49.7,691200
