Date,Open,High,Low,Close,Volume
2005-01-03,10.05,10.05,9.72,9.9,105500
2005-01-04,10.05,10.05,9.44,9.5,184570
2005-01-05,9.4,9.5,8.99,9.08,202512
2005-01-06,9.25,9.25,9.02,9.06,72092
2005-01-07,9.3,9.3,9.08,9.1,137326
2005-01-10,9.05,9.08,8.99,9.0,40724
2005-01-11,9.2,9.2,8.84,8.84,134542
2005-01-12,8.84,9.18,8.78,8.88,106304
2005-01-13,9.12,9.12,8.66,8.66,44086
2005-01-14,8.65,9.02,8.65,9.02,161300
2005-01-18,9.0,9.15,9.0,9.04,65910
2005-01-19,9.14,9.14,8.83,8.94,41734
2005-01-20,8.81,9.0,8.68,8.69,192988
2005-01-21,8.75,8.75,8.48,8.52,129834
2005-01-24,8.44,8.56,8.35,8.36,113294
2005-01-25,8.5,8.5,8.3,8.34,55410
2005-01-26,8.46,8.46,8.36,8.4,60436
2005-01-27,8.3,8.46,8.3,8.42,220908
2005-01-28,8.38,8.41,8.25,8.35,71708
2005-01-31,8.28,8.45,8.28,8.36,175082
2005-02-01,8.4,8.52,8.3,8.52,317366
2005-02-02,8.4,8.85,8.4,8.82,52680
2005-02-03,8.55,8.74,8.51,8.57,47148
2005-02-04,8.52,8.87,8.52,8.87,28752
2005-02-07,8.94,8.98,8.83,8.98,56392
2005-02-08,8.86,9.11,8.86,9.11,78030
2005-02-09,8.84,9.07,8.7,8.7,63704
2005-02-10,8.82,8.98,8.52,8.9,51604
2005-02-11,8.7,9.21,8.66,9.07,85090
2005-02-14,9.16,9.16,8.92,9.01,33544
2005-02-15,9.12,9.2,9.04,9.08,54064
2005-02-16,9.0,9.2,9.0,9.14,101020
2005-02-17,9.12,9.2,8.98,9.1,135240
2005-02-18,9.18,9.18,8.69,8.78,42322
2005-02-22,8.65,8.73,8.5,8.54,100254
2005-02-23,8.78,9.03,8.58,8.74,43854
2005-02-24,8.74,9.13,8.52,8.95,79248
2005-02-25,8.92,9.25,8.75,9.25,89072
2005-02-28,9.07,9.2,8.84,9.1,58920
2005-03-01,9.18,9.2,8.96,9.16,110230
2005-03-02,8.92,9.1,8.92,9.02,102786
2005-03-03,9.09,9.1,8.98,9.0,88582
2005-03-04,9.04,9.5,9.01,9.5,197112
2005-03-07,9.5,10.04,9.36,9.84,272288
2005-03-08,9.9,9.99,9.7,9.7,139916
2005-03-09,9.7,9.7,9.4,9.49,57822
2005-03-10,9.35,9.54,9.35,9.54,59108
2005-03-11,9.52,9.7,9.52,9.57,87822
2005-03-14,9.65,9.7,9.54,9.66,111488
2005-03-15,9.71,9.81,9.58,9.64,60898
2005-03-16,9.55,9.85,9.55,9.79,92008
2005-03-17,9.63,10.05,9.63,10.05,153042
2005-03-18,10.09,10.09,9.88,9.96,262142
2005-03-21,9.9,10.02,9.88,10.02,100314
2005-03-22,10.01,10.02,9.82,9.87,214304
2005-03-23,9.88,10.0,9.88,9.95,57502
