Date,Open,High,Low,Close,Volume
2005-01-03,73.35,73.59,70.55,71.53,1859400
2005-01-04,71.53,71.53,67.62,68.06,3093100
2005-01-05,68.0,69.6,67.81,68.97,1586300
2005-01-06,69.1,69.77,69.05,69.28,1056800
2005-01-07,69.29,69.6,69.0,69.01,796500
2005-01-10,69.26,69.58,68.39,68.95,758000
2005-01-11,68.94,69.23,68.55,69.0,675400
2005-01-12,69.35,70.38,69.31,70.33,944000
2005-01-13,70.13,70.67,69.76,69.88,901200
2005-01-14,69.95,70.5,69.77,70.11,519400
2005-01-18,70.3,71.23,70.07,70.92,691800
2005-01-19,70.92,71.0,69.95,70.15,582000
2005-01-20,70.02,70.65,69.53,69.67,622100
2005-01-21,68.7,69.99,68.7,69.6,810000
2005-01-24,69.65,70.0,68.35,68.47,729500
2005-01-25,68.87,69.46,68.58,68.85,599900
2005-01-26,69.2,69.9,68.87,69.41,479300
2005-01-27,69.7,70.86,69.7,70.86,963200
2005-01-28,70.98,71.58,70.21,70.87,1263000
2005-01-31,71.01,71.46,70.88,71.41,863600
2005-02-01,72.33,72.37,70.35,71.23,971800
2005-02-02,71.05,72.04,71.05,71.7,528600
2005-02-03,71.69,71.69,70.52,71.15,695300
2005-02-04,70.9,71.59,70.2,71.49,1402200
2005-02-07,71.74,73.79,71.7,73.51,1386200
2005-02-08,73.91,74.77,73.25,74.5,1061800
2005-02-09,74.9,74.9,73.94,73.99,554300
2005-02-10,73.83,74.37,73.4,73.95,545000
2005-02-11,73.9,75.0,73.55,74.52,707300
2005-02-14,74.7,74.73,73.5,73.57,852400
2005-02-15,73.59,73.97,73.12,73.3,747400
2005-02-16,72.8,73.55,72.58,73.3,672900
2005-02-17,72.4,73.8,72.4,73.46,672700
2005-02-18,73.46,73.55,72.46,72.46,631200
2005-02-22,72.49,72.5,70.92,70.92,818600
2005-02-23,70.92,71.18,70.4,70.82,644800
2005-02-24,70.9,71.08,70.35,70.92,713400
2005-02-25,70.95,72.35,70.81,72.24,718500
2005-02-28,72.1,72.55,71.84,72.1,717600
2005-03-01,71.75,72.43,71.2,72.28,578500
2005-03-02,72.28,72.42,71.76,72.14,728100
2005-03-03,72.5,73.25,71.71,72.05,470200
2005-03-04,72.55,73.4,71.98,73.12,466000
2005-03-07,73.65,75.32,73.64,75.08,1207100
2005-03-08,75.3,76.91,75.24,76.61,1486500
2005-03-09,76.61,76.61,75.6,75.82,687800
