Date,Open,High,Low,Close,Volume
2005-01-03,28.7,29.06,27.72,27.79,2006126
2005-01-04,27.48,27.96,26.17,26.79,2682223
2005-01-05,26.17,26.9,25.81,25.88,3422863
2005-01-06,25.88,26.18,25.56,25.69,1979287
2005-01-07,26.0,26.07,25.39,25.77,2679310
2005-01-10,25.64,26.34,25.38,25.9,1751342
2005-01-11,25.35,26.13,25.35,25.57,1999749
2005-01-12,26.06,26.81,25.99,26.67,3014314
2005-01-13,26.4,26.83,26.26,26.35,1814206
2005-01-14,26.42,27.25,26.41,27.2,2741551
2005-01-18,26.81,27.29,26.78,27.23,1492958
2005-01-19,27.15,27.23,26.19,26.2,2035785
2005-01-20,26.03,27.04,25.77,26.33,4953268
2005-01-21,26.0,26.79,25.86,26.72,7473136
2005-01-24,26.53,26.74,25.51,25.54,2521273
2005-01-25,25.84,26.36,25.78,26.1,1815793
2005-01-26,26.0,26.73,25.94,26.49,2519879
2005-01-27,26.37,27.35,26.37,27.15,3277195
2005-01-28,27.01,27.18,26.21,26.6,2097616
2005-01-31,26.55,27.12,26.55,26.76,1446854
2005-02-01,26.66,27.25,26.56,27.09,1553409
2005-02-02,26.97,27.31,26.83,27.26,2533706
2005-02-03,27.17,27.52,27.02,27.35,3258638
2005-02-04,27.18,28.99,27.13,28.96,3014988
2005-02-07,28.8,29.2,28.47,28.7,2262187
2005-02-08,28.68,30.22,28.5,29.85,5272369
2005-02-09,29.6,29.79,28.7,28.79,3822119
2005-02-10,29.0,29.28,28.49,29.0,3041917
2005-02-11,28.62,30.05,28.61,29.83,3691517
2005-02-14,29.64,30.2,29.45,30.2,2942607
2005-02-15,30.11,31.2,30.03,30.74,4043557
2005-02-16,30.55,30.96,29.79,30.58,4455111
2005-02-17,30.55,30.95,29.9,30.0,2922877
2005-02-18,30.0,30.22,29.7,30.02,2085510
2005-02-22,30.0,30.94,29.39,29.81,3801996
2005-02-23,29.95,30.16,29.04,29.48,3457239
2005-02-24,29.82,31.85,29.7,31.29,9605604
2005-02-25,31.1,32.07,30.94,31.98,3290834
