Date,Open,High,Low,Close,Volume
2005-01-03,62.74,62.98,62.42,62.54,1012800
2005-01-04,62.4,62.69,61.58,61.58,1098600
2005-01-05,61.85,62.0,61.53,61.62,1050200
2005-01-06,61.71,62.45,61.71,62.2,671500
2005-01-07,62.21,62.48,62.0,62.11,493400
2005-01-10,61.9,62.22,61.7,61.84,852800
2005-01-11,61.85,61.85,60.89,61.0,1117800
2005-01-12,61.1,61.28,60.71,61.13,1051100
2005-01-13,62.0,63.15,61.88,62.12,1677300
2005-01-14,62.27,63.46,62.26,63.33,951000
2005-01-18,62.93,64.27,62.93,64.08,1292200
2005-01-19,63.85,64.53,63.72,63.86,1047800
2005-01-20,63.5,63.7,63.05,63.23,1588000
2005-01-21,63.23,63.31,62.5,62.5,922700
2005-01-24,62.6,63.01,61.9,61.92,831500
2005-01-25,62.29,62.48,61.89,62.02,636900
2005-01-26,62.02,62.57,62.02,62.54,1061000
2005-01-27,62.56,64.28,62.45,63.71,1627100
2005-01-28,63.8,64.0,62.76,63.68,1021700
2005-01-31,63.8,63.99,62.9,63.18,1277900
2005-02-01,63.55,63.78,62.81,63.23,1344600
2005-02-02,63.1,63.87,63.0,63.51,547800
2005-02-03,63.7,64.25,63.38,64.13,1838900
2005-02-04,64.16,65.55,63.89,65.55,1116300
2005-02-07,65.55,67.0,65.43,66.5,1399200
2005-02-08,65.5,66.2,64.25,65.74,2868700
2005-02-09,65.69,65.72,64.21,64.55,1062500
2005-02-10,64.51,64.58,64.05,64.08,1555300
2005-02-11,63.9,65.25,63.7,65.11,1369100
2005-02-14,65.11,65.2,64.72,65.0,625200
2005-02-15,65.0,65.36,64.65,64.97,956800
2005-02-16,64.92,65.0,64.57,64.8,730500
2005-02-17,64.79,64.91,63.93,63.93,987500
2005-02-18,63.97,64.39,63.75,63.77,1501300
2005-02-22,63.76,63.78,62.52,62.67,2047100
2005-02-23,62.54,63.0,62.34,62.5,1470000
2005-02-24,62.4,62.69,61.74,62.58,1326300
2005-02-25,62.8,64.3,62.75,64.13,1038600
2005-02-28,64.02,64.75,63.55,64.1,766300
2005-03-01,64.6,64.85,64.3,64.64,1237100
2005-03-02,64.39,65.63,64.14,65.46,1488300
2005-03-03,65.66,66.1,65.35,65.8,832200
2005-03-04,66.0,66.94,65.82,66.89,1263200
2005-03-07,66.7,68.0,66.7,67.77,1154700
2005-03-08,67.49,67.7,66.82,66.96,1142500
2005-03-09,66.83,66.84,66.07,66.15,1017400
2005-03-10,66.23,66.58,65.9,66.05,1198000
2005-03-11,66.15,66.43,65.75,66.07,992000
2005-03-14,66.24,66.96,66.24,66.91,732000
2005-03-15,67.0,67.69,66.94,67.34,1092800
2005-03-16,67.01,67.35,66.65,66.65,1042100
2005-03-17,66.65,66.84,65.84,65.87,1303100
2005-03-18,65.8,66.04,65.15,65.24,3020700
2005-03-21,65.36,65.44,64.86,64.96,687400
2005-03-22,65.1,65.57,64.58,64.59,1293300
2005-03-23,64.63,65.22,64.15,65.11,1061100
2005-03-24,65.03,65.63,65.03,65.19,743400
2005-03-28,65.24,65.55,64.96,64.96,554900
2005-03-29,64.69,65.02,64.38,64.5,1132000
2005-03-30,64.8,66.62,64.75,66.62,1367800
2005-03-31,66.62,67.1,66.16,66.86,1034900
2005-04-01,67.11,67.25,65.97,65.97,707100
2005-04-04,66.0,66.25,65.52,65.95,805800
2005-04-05,66.16,67.2,66.16,67.05,869800
2005-04-06,67.06,67.31,66.54,66.75,650700
2005-04-07,66.9,67.65,66.9,67.53,902800
2005-04-08,67.6,67.76,66.93,67.46,827900
2005-04-11,67.5,68.15,67.5,67.83,927700
2005-04-12,67.75,68.47,67.61,68.34,1256100
2005-04-13,68.45,69.22,67.37,67.48,1166400
2005-04-14,67.66,67.66,66.33,66.43,980900
2005-04-15,66.2,66.21,64.0,64.1,2195600
2005-04-18,64.09,64.3,62.85,62.85,2301600
2005-04-19,63.0,63.49,62.54,62.65,1872000
2005-04-20,62.8,62.98,61.98,62.2,1617400
2005-04-21,64.7,65.49,62.6,63.37,2975000
2005-04-22,63.65,64.95,63.41,63.86,1827100
2005-04-25,64.02,64.99,64.02,64.94,1467000
2005-04-26,65.0,66.07,64.94,65.84,1534800
2005-04-27,65.85,66.03,65.2,65.89,1431900
2005-04-28,65.5,65.51,63.22,63.37,2132100
2005-04-29,63.8,64.15,62.2,62.75,2622800
2005-05-02,62.8,63.0,60.8,61.3,3322100
2005-05-03,61.29,61.44,60.59,60.87,2352000
2005-05-04,61.0,62.11,60.8,62.1,2381800
2005-05-05,62.0,62.43,61.4,62.11,1806100
2005-05-06,62.24,62.4,61.8,61.93,1236000
2005-05-09,61.93,62.76,61.62,62.65,999000
2005-05-10,62.25,62.48,61.44,61.65,1352700
2005-05-11,61.64,62.13,60.94,61.96,778600
2005-05-12,61.96,62.11,61.01,61.32,1068700
2005-05-13,61.51,61.53,60.4,60.8,1415400
2005-05-16,60.91,61.88,60.4,61.88,1004000
2005-05-17,61.63,62.64,61.17,62.52,1013100
2005-05-18,62.88,64.53,62.64,64.45,1513500
2005-05-19,64.5,65.28,64.4,65.2,1106600
2005-05-20,65.17,65.25,64.65,65.0,646800
2005-05-23,65.3,65.95,65.0,65.82,734500
2005-05-24,66.48,67.0,66.42,67.0,1806900
2005-05-25,66.99,67.25,66.38,66.58,1144700
2005-05-26,66.7,67.3,66.66,67.27,947300
2005-05-27,67.07,67.8,67.07,67.44,942600
2005-05-31,67.39,67.96,67.13,67.54,780800
2005-06-01,67.23,68.65,67.02,67.8,1406200
2005-06-02,67.72,69.87,67.42,69.81,1752800
2005-06-03,69.81,69.91,69.18,69.53,1411900
2005-06-06,69.45,69.75,69.25,69.31,783400
2005-06-07,69.32,70.01,69.16,69.21,1100200
2005-06-08,69.22,69.7,68.55,68.81,790800
2005-06-09,68.75,69.71,68.29,69.64,703100
2005-06-10,69.58,69.73,68.41,68.61,991000
2005-06-13,68.25,68.84,67.9,68.2,916600
2005-06-14,68.21,69.0,68.19,68.95,837600
2005-06-15,69.0,69.4,68.3,68.73,942300
2005-06-16,68.78,69.2,68.5,68.99,892000
2005-06-17,69.15,69.51,68.72,69.27,1016600
2005-06-20,69.3,69.56,68.83,69.34,490500
2005-06-21,69.24,69.7,68.7,68.8,789300
2005-06-22,69.87,69.87,69.0,69.03,824400
2005-06-23,69.03,69.34,68.11,68.21,833900
2005-06-24,68.0,68.42,67.83,67.88,1217600
2005-06-27,67.64,68.16,67.25,67.73,821000
2005-06-28,67.93,68.72,67.91,68.45,478100
2005-06-29,68.46,68.69,68.19,68.34,766500
2005-06-30,68.42,68.6,67.91,68.22,1204700
2005-07-01,68.22,68.82,68.08,68.69,687400
2005-07-05,68.48,69.69,68.17,69.1,676000
2005-07-06,69.02,69.33,68.83,68.83,630300
2005-07-07,67.99,68.77,67.34,68.59,1525000
2005-07-08,68.57,69.73,68.5,69.49,628200
2005-07-11,69.55,70.62,69.38,70.52,825000
2005-07-12,70.52,70.52,69.95,70.28,679600
2005-07-13,70.41,70.78,70.22,70.4,935500
2005-07-14,70.1,70.1,67.9,67.9,3124900
2005-07-15,68.3,68.8,67.65,67.86,1562000
2005-07-18,67.73,67.96,67.14,67.15,1727600
2005-07-19,67.69,68.25,67.46,67.6,1618400
2005-07-20,67.6,68.5,67.0,68.44,861000
2005-07-21,68.53,68.53,67.74,68.09,826200
2005-07-22,68.2,68.58,67.7,68.58,801300
2005-07-25,68.54,68.96,68.25,68.3,829900
2005-07-26,69.0,69.3,68.58,69.13,842000
2005-07-27,69.2,69.41,68.36,68.39,797100
2005-07-28,68.4,70.63,68.35,69.59,838900
2005-07-29,69.58,69.65,68.38,68.47,703500
2005-08-01,66.55,69.11,66.55,68.54,652700
2005-08-02,68.55,69.25,68.34,69.01,713400
2005-08-03,68.81,69.62,68.81,69.18,836000
2005-08-04,69.02,69.34,68.47,68.81,1115300
2005-08-05,68.67,69.02,68.28,68.4,1293000
2005-08-08,68.41,68.71,67.9,68.21,745200
2005-08-09,68.4,68.72,68.25,68.4,838300
2005-08-10,68.4,69.49,68.4,68.94,996000
2005-08-11,68.76,68.85,68.01,68.61,1056400
2005-08-12,68.41,68.62,67.73,67.79,930900
2005-08-15,67.84,68.07,67.66,67.8,679600
2005-08-16,67.8,67.95,67.57,67.68,1194100
2005-08-17,67.76,68.15,67.65,67.65,1090300
2005-08-18,67.5,67.61,67.3,67.5,699100
2005-08-19,67.75,67.76,67.44,67.54,563700
2005-08-22,67.1,67.46,66.56,66.79,1460600
2005-08-23,66.71,67.15,66.59,66.96,1257100
2005-08-24,66.97,67.14,66.51,66.69,831000
2005-08-25,65.75,66.81,65.7,66.57,812200
2005-08-26,66.64,66.75,65.7,65.78,943000
2005-08-29,65.68,65.68,65.0,65.1,2307000
2005-08-30,64.95,64.95,62.17,62.6,3223100
2005-08-31,62.6,63.4,62.6,63.21,2875600
2005-09-01,63.44,63.61,61.32,61.38,2723300
2005-09-02,62.12,62.12,60.41,61.32,2005500
2005-09-06,61.6,62.61,61.54,62.55,1495200
2005-09-07,62.45,64.34,62.43,63.97,1785100
2005-09-08,63.66,63.67,62.41,62.42,2000200
2005-09-09,62.42,63.04,62.24,62.98,1683700
2005-09-12,62.8,63.1,61.96,62.25,1700200
2005-09-13,62.26,63.22,62.15,62.99,2253000
2005-09-14,63.05,63.48,62.63,62.63,2058200
