Date,Open,High,Low,Close,Volume
2005-01-03,40.57,40.82,40.02,40.16,1679400
2005-01-04,40.15,40.34,39.64,39.91,2461800
2005-01-05,40.05,40.25,39.65,39.65,1348500
2005-01-06,39.55,40.3,39.55,40.11,1700600
2005-01-07,40.3,40.32,39.68,39.71,1295500
2005-01-10,39.76,40.49,39.57,40.39,1631500
2005-01-11,40.39,40.39,39.62,39.62,1594700
2005-01-12,39.8,40.18,39.55,40.08,1373400
2005-01-13,40.14,40.25,39.57,39.93,1421500
2005-01-14,39.8,40.21,39.5,40.07,1723900
2005-01-18,40.13,41.03,39.92,41.03,1518800
2005-01-19,41.8,41.81,40.9,41.22,2128300
2005-01-20,41.22,41.22,40.2,40.35,2515500
2005-01-21,40.35,40.52,39.98,40.28,2056400
2005-01-24,40.49,40.76,40.27,40.29,1220700
2005-01-25,40.54,40.72,40.43,40.52,1585000
2005-01-26,40.62,40.85,40.35,40.83,1228800
2005-01-27,40.75,41.07,40.57,40.65,1478800
2005-01-28,40.67,40.82,39.71,39.94,1599200
2005-01-31,40.0,40.95,38.94,39.75,6516000
2005-02-01,40.1,40.56,39.36,40.44,3749600
2005-02-02,40.44,40.54,40.1,40.28,1632700
2005-02-03,40.35,40.49,39.43,39.7,3536600
2005-02-04,39.8,40.68,39.74,40.52,3029400
2005-02-07,40.63,40.94,40.3,40.48,1829600
2005-02-08,40.33,40.65,40.27,40.43,1618400
2005-02-09,40.55,40.75,40.06,40.24,1741600
2005-02-10,40.35,40.35,39.26,39.43,3261600
2005-02-11,39.43,40.05,39.0,39.94,2762000
2005-02-14,40.04,40.31,39.8,40.13,1459800
2005-02-15,40.07,40.93,40.0,40.77,2430300
2005-02-16,41.2,41.73,41.15,41.37,3573400
2005-02-17,41.38,41.4,40.41,40.42,2338800
2005-02-18,40.55,41.09,40.33,41.08,2785900
2005-02-22,40.85,41.01,40.1,40.14,2688200
2005-02-23,40.43,40.62,40.03,40.5,1469100
2005-02-24,40.73,41.13,40.57,41.0,2091100
2005-02-25,40.86,41.39,40.77,41.28,1521400
2005-02-28,41.1,41.45,40.89,41.04,2809900
2005-03-01,41.04,41.53,41.04,41.08,1951200
2005-03-02,41.0,41.13,40.51,40.56,1342700
2005-03-03,40.65,41.1,40.53,41.1,1466500
2005-03-04,41.25,41.52,40.79,40.96,2213600
2005-03-07,41.76,41.76,40.6,40.66,2383700
2005-03-08,40.78,41.12,40.58,40.9,1452000
2005-03-09,40.62,40.9,40.48,40.76,2304900
2005-03-10,40.8,41.23,40.72,40.99,1473500
2005-03-11,41.05,41.09,40.28,40.4,1122500
2005-03-14,40.69,41.22,40.64,40.9,1373600
2005-03-15,40.88,41.0,40.15,40.17,1808400
2005-03-16,40.03,40.19,39.47,39.61,1737800
2005-03-17,39.78,39.86,39.34,39.63,2149000
2005-03-18,39.5,39.88,39.33,39.45,2702500
2005-03-21,40.4,39.75,39.19,39.34,1051700
2005-03-22,39.26,39.6,38.4,38.51,1761000
2005-03-23,38.45,38.86,38.34,38.43,2187700
2005-03-24,38.5,38.69,38.29,38.31,1595600
2005-03-28,38.4,38.82,38.38,38.55,1202700
2005-03-29,38.45,38.9,38.34,38.4,1207500
2005-03-30,38.55,39.1,38.33,39.05,1629700
2005-03-31,39.01,39.18,38.74,39.1,1907600
2005-04-01,39.37,39.66,38.65,38.86,1664100
2005-04-04,39.04,39.94,38.8,39.64,1664900
2005-04-05,39.83,39.98,39.46,39.74,1498400
2005-04-06,39.9,40.15,39.82,39.89,968700
2005-04-07,39.84,40.07,39.72,39.79,943400
2005-04-08,39.81,40.0,39.32,39.49,1026000
2005-04-11,39.49,39.79,39.32,39.75,982000
2005-04-12,39.6,40.41,39.37,40.32,1832500
2005-04-13,39.55,39.83,39.28,39.32,2149600
2005-04-14,39.22,39.49,39.01,39.16,2423900
2005-04-15,38.95,39.3,38.42,38.47,1779800
2005-04-18,38.5,38.85,38.29,38.52,1462100
2005-04-19,38.55,38.94,38.34,38.81,1412600
2005-04-20,38.82,38.91,38.34,38.45,1766600
2005-04-21,38.85,39.33,38.38,39.29,1933000
2005-04-22,39.14,39.18,38.29,38.6,2158100
2005-04-25,38.93,39.25,38.75,39.04,1451700
2005-04-26,38.85,38.96,37.99,38.01,3378000
2005-04-27,38.01,38.15,37.29,37.85,3136900
2005-04-28,37.75,38.52,37.62,37.9,1744400
2005-04-29,38.22,38.92,37.74,38.9,2231500
2005-05-02,39.15,39.35,38.45,38.86,1543600
2005-05-03,38.68,38.93,38.3,38.84,2097000
2005-05-04,41.5,43.9,41.25,43.55,7963800
2005-05-05,43.4,43.73,42.7,42.96,4433200
2005-05-06,43.6,43.73,43.08,43.55,2565000
2005-05-09,43.6,43.67,43.19,43.65,2083400
2005-05-10,43.55,43.55,42.43,42.76,1885100
2005-05-11,42.86,43.55,42.6,43.43,1795400
2005-05-12,43.55,43.59,42.38,42.41,2463400
2005-05-13,42.59,42.65,41.83,42.14,2121100
2005-05-16,42.29,43.28,42.27,43.22,2481400
2005-05-17,43.04,44.1,42.92,44.02,2386800
2005-05-18,43.85,44.6,42.5,42.73,4899200
2005-05-19,43.1,43.7,42.58,43.13,2247900
2005-05-20,43.3,43.7,43.0,43.49,1714900
2005-05-23,43.7,44.13,43.54,43.81,1572100
2005-05-24,43.95,44.39,43.8,44.24,1908400
2005-05-25,44.2,44.3,43.8,43.81,1294500
2005-05-26,44.15,44.86,44.01,44.71,1798700
2005-05-27,44.78,44.96,44.63,44.7,965700
2005-05-31,44.25,44.98,44.09,44.6,2643100
2005-06-01,44.72,45.48,44.15,44.29,2905400
2005-06-02,44.29,44.3,43.21,44.23,2462300
2005-06-03,44.05,44.06,43.0,43.43,2438900
2005-06-06,43.41,44.15,43.19,44.07,1594500
2005-06-07,44.03,44.18,43.59,43.59,1768700
2005-06-08,43.63,43.84,43.54,43.65,1393400
2005-06-09,43.85,44.47,43.64,44.16,2180700
2005-06-10,44.13,44.13,43.55,43.85,2077200
2005-06-13,43.85,44.3,43.05,43.27,2191000
2005-06-14,43.27,43.49,42.57,43.37,5842900
2005-06-15,43.55,43.85,43.25,43.35,7767400
2005-06-16,43.55,44.0,43.5,43.89,8611300
2005-06-17,44.3,44.78,43.93,44.74,5700900
2005-06-20,44.76,45.2,44.4,45.11,2971400
2005-06-21,45.11,45.24,44.78,45.04,2266700
2005-06-22,45.1,45.4,44.81,44.9,1372500
2005-06-23,44.95,45.0,44.25,44.34,2074000
2005-06-24,44.41,44.91,44.3,44.59,2511900
2005-06-27,44.58,44.93,44.2,44.9,1869200
2005-06-28,44.85,45.39,44.75,45.37,2380300
2005-06-29,45.56,45.66,45.21,45.45,2396900
2005-06-30,45.75,45.84,44.85,44.94,2416100
2005-07-01,45.08,45.54,45.0,45.47,1659900
2005-07-05,45.54,46.69,45.53,46.63,2929700
2005-07-06,46.63,46.97,46.39,46.7,2695400
2005-07-07,46.1,46.5,45.0,46.1,2755000
2005-07-08,46.06,46.23,45.78,46.15,1858200
2005-07-11,46.25,46.3,45.51,45.75,3092900
2005-07-12,45.75,45.89,44.97,45.73,2522800
2005-07-13,45.79,46.13,45.55,45.55,2237900
2005-07-14,45.7,46.19,45.23,46.04,2874300
2005-07-15,46.05,46.6,45.87,46.4,2053000
2005-07-18,46.49,46.73,46.37,46.4,1549100
2005-07-19,46.6,46.77,46.31,46.36,1202100
2005-07-20,46.16,46.77,45.8,46.49,3522000
2005-07-21,46.65,46.65,45.93,45.95,1557500
2005-07-22,45.9,46.39,45.27,46.39,1926600
2005-07-25,46.57,46.78,46.33,46.54,1691000
2005-07-26,46.67,47.39,46.44,47.12,2331800
2005-07-27,47.17,48.06,47.12,47.8,3347800
2005-07-28,47.75,48.49,47.54,48.06,2435500
2005-07-29,49.8,50.3,48.54,49.14,4470100
2005-08-01,49.15,49.15,48.15,48.39,2828300
2005-08-02,48.56,49.0,48.48,48.6,1530200
