Date,Open,High,Low,Close,Volume
2005-01-03,61.46,61.79,60.4,60.63,6800100
2005-01-04,60.97,61.5,60.7,61.05,6741500
2005-01-05,61.25,61.48,60.81,60.94,6247200
2005-01-06,60.95,61.14,60.51,60.51,4421400
2005-01-07,60.7,61.4,60.4,61.4,9700800
2005-01-10,61.67,63.09,61.65,62.2,13154700
2005-01-11,62.2,62.28,61.43,61.6,8294400
2005-01-12,61.4,61.76,61.07,61.63,5096000
2005-01-13,61.8,62.47,61.48,62.3,5233800
2005-01-14,62.65,63.4,61.78,63.35,7420600
2005-01-18,63.15,64.0,62.7,63.96,8551900
2005-01-19,63.7,63.87,63.41,63.56,4973300
2005-01-20,63.7,63.78,62.7,63.1,5856900
2005-01-21,63.0,63.39,62.4,62.75,5987100
2005-01-24,63.19,63.25,61.68,62.16,7483300
2005-01-25,62.3,62.69,62.17,62.29,5067200
2005-01-26,62.1,62.63,61.34,61.84,9062600
2005-01-27,61.82,63.07,61.8,62.63,6882400
2005-01-28,62.83,63.3,62.35,63.2,5547300
2005-01-31,63.45,63.9,63.34,63.83,7273100
2005-02-01,63.79,63.95,63.42,63.91,5243400
2005-02-02,63.91,64.07,63.63,63.9,5172500
2005-02-03,63.45,63.88,63.4,63.74,4041900
2005-02-04,63.82,68.5,63.71,67.0,20756800
2005-02-07,66.8,67.25,65.9,66.55,9425600
2005-02-08,66.73,66.96,66.38,66.4,7115200
2005-02-09,66.3,66.3,65.09,65.28,11146500
2005-02-10,65.3,66.63,65.3,66.4,7407000
2005-02-11,66.55,66.74,66.05,66.2,5081400
2005-02-14,65.96,66.27,65.92,66.1,3919400
2005-02-15,66.0,66.21,65.7,66.06,6526900
2005-02-16,65.7,65.84,65.29,65.51,6065100
2005-02-17,65.2,65.2,64.7,64.72,6842600
2005-02-18,64.7,64.94,64.36,64.9,7029000
2005-02-22,64.88,64.89,63.01,63.12,8343000
2005-02-23,63.25,64.88,62.75,64.35,9407700
2005-02-24,64.6,65.27,64.4,65.19,5945200
2005-02-25,64.92,65.75,64.75,65.7,6048200
2005-02-28,65.8,65.98,65.52,65.65,6308300
2005-03-01,65.93,66.66,65.67,66.1,7816500
2005-03-02,66.0,66.05,65.69,65.86,5415900
2005-03-03,66.0,66.08,65.46,65.69,5674400
2005-03-04,66.13,66.5,65.84,66.05,5411100
2005-03-07,66.05,66.1,65.6,65.65,4673300
2005-03-08,65.57,66.08,65.4,65.7,5679800
2005-03-09,65.7,66.05,64.96,64.99,7173900
2005-03-10,65.26,65.84,65.22,65.49,5381500
2005-03-11,64.89,65.4,64.89,65.14,6327800
2005-03-14,65.15,65.85,65.13,65.17,4716200
2005-03-15,65.33,65.53,65.15,65.25,4378200
2005-03-16,65.17,65.45,64.22,64.52,4815400
2005-03-17,64.41,65.22,64.41,64.9,3936400
2005-03-18,64.9,65.1,63.78,64.72,11957600
2005-03-21,64.55,64.57,63.2,63.28,8386900
2005-03-22,63.8,64.75,63.41,63.55,7057800
2005-03-23,63.5,64.27,63.5,63.9,5554400
2005-03-24,63.92,64.21,63.49,63.72,4244400
2005-03-28,64.02,64.95,64.0,64.5,4974600
2005-03-29,64.45,64.89,64.21,64.38,5438900
2005-03-30,64.85,65.43,64.63,65.35,6818500
2005-03-31,65.35,65.85,65.1,65.39,4664200
2005-04-01,66.0,66.0,65.11,65.18,5768000
2005-04-04,65.27,65.28,64.35,64.47,6259200
2005-04-05,64.8,65.25,64.78,65.0,4953300
2005-04-06,65.35,65.87,65.19,65.54,5836600
2005-04-07,65.63,65.82,65.51,65.68,5873900
2005-04-08,65.85,65.97,65.53,65.53,5093500
2005-04-11,65.99,66.17,65.55,65.55,5467600
2005-04-12,65.7,65.77,65.1,65.19,6274400
2005-04-13,65.4,66.1,65.32,65.87,6583400
2005-04-14,65.86,66.35,65.49,65.49,6235000
2005-04-15,65.65,65.65,64.84,64.98,7968800
2005-04-18,64.9,64.93,63.21,63.73,8293800
2005-04-19,63.7,64.7,62.75,64.12,6326800
2005-04-20,64.0,66.2,62.7,62.75,14228200
2005-04-21,64.2,65.39,63.86,65.31,10761900
2005-04-22,65.15,65.59,64.18,64.8,7384900
2005-04-25,64.84,65.43,64.8,65.31,5116800
2005-04-26,65.31,65.43,64.0,64.0,7137300
2005-04-27,64.04,64.95,63.82,64.84,6069300
2005-04-28,64.95,66.02,64.3,64.47,10883500
2005-04-29,65.1,65.15,64.46,64.99,4989100
2005-05-02,65.65,65.65,65.05,65.41,4993200
2005-05-03,65.45,66.46,65.26,65.99,7200500
2005-05-04,66.2,66.81,66.0,66.75,6459800
2005-05-05,66.75,66.99,66.25,66.83,4925400
2005-05-06,67.03,67.39,66.15,66.3,7659500
2005-05-09,66.45,66.6,66.03,66.12,3944600
2005-05-10,66.05,66.15,65.5,65.76,4299400
2005-05-11,65.76,65.89,64.96,65.39,5570500
2005-05-12,65.1,66.13,65.07,65.14,5843900
2005-05-13,65.47,65.73,64.48,64.95,7176500
2005-05-16,65.28,66.2,65.15,66.1,6686000
2005-05-17,65.77,66.55,65.63,66.3,5180900
2005-05-18,66.4,67.0,66.0,66.73,7059200
2005-05-19,66.82,67.42,66.6,67.4,5712800
2005-05-20,67.45,67.95,67.08,67.77,6290400
2005-05-23,67.6,68.17,67.59,67.94,4592200
2005-05-24,67.95,68.15,67.5,68.0,5275000
2005-05-25,67.95,68.0,67.59,67.82,5625700
2005-05-26,68.0,68.05,67.5,67.68,3949100
2005-05-27,67.77,67.87,67.53,67.55,2757800
2005-05-31,67.5,67.89,67.1,67.14,4628100
2005-06-01,67.22,67.5,65.94,67.05,6723000
2005-06-02,67.05,67.75,66.75,67.62,4160200
2005-06-03,67.85,67.88,66.88,67.24,4062300
2005-06-06,67.27,67.38,66.93,67.17,2989300
2005-06-07,67.24,68.13,67.17,67.78,6813800
2005-06-08,68.7,69.03,68.0,68.75,9020200
2005-06-09,68.9,69.68,68.77,69.25,11985100
2005-06-10,69.65,69.65,68.75,69.18,7915900
2005-06-13,68.7,68.78,67.9,68.32,7257600
2005-06-14,67.05,67.69,66.75,66.95,10058100
2005-06-15,67.0,67.11,66.1,66.48,6656800
2005-06-16,66.34,66.94,65.9,66.62,5480300
2005-06-17,67.45,67.45,66.8,67.04,8353800
