Date,Open,High,Low,Close,Volume
2005-01-03,16.28,16.33,15.85,16.2,855100
2005-01-04,16.12,16.25,15.2,15.31,1020900
2005-01-05,15.38,15.39,14.59,14.95,1110200
2005-01-06,15.05,15.55,14.98,15.26,1075900
2005-01-07,15.3,15.3,14.98,15.13,1063700
2005-01-10,15.13,15.64,15.13,15.33,1307000
2005-01-11,15.4,15.5,15.05,15.05,944200
2005-01-12,15.05,15.44,14.95,15.31,515300
2005-01-13,15.24,15.52,15.15,15.3,1466700
2005-01-14,15.31,15.6,15.13,15.52,527500
2005-01-18,15.52,15.97,15.35,15.93,718500
2005-01-19,15.91,16.01,15.72,15.99,625600
2005-01-20,15.75,15.8,15.35,15.53,467100
2005-01-21,15.58,15.87,15.38,15.63,582800
2005-01-24,15.85,15.85,15.23,15.39,555200
2005-01-25,15.28,15.4,15.03,15.1,688500
2005-01-26,15.25,15.25,14.86,15.05,556200
2005-01-27,15.12,15.42,15.1,15.36,433200
2005-01-28,15.37,15.9,15.36,15.77,669100
2005-01-31,15.97,16.55,15.85,16.5,1977100
2005-02-01,16.45,16.75,16.32,16.46,743300
2005-02-02,16.39,16.59,16.25,16.36,519800
2005-02-03,16.4,16.45,15.9,16.1,604100
2005-02-04,16.15,16.37,16.11,16.28,338100
2005-02-07,16.25,16.31,15.98,16.13,412800
2005-02-08,16.18,16.23,15.9,16.0,330700
2005-02-09,16.03,16.07,15.58,15.95,588800
2005-02-10,16.06,16.06,15.78,15.97,303000
2005-02-11,16.05,16.2,15.75,16.05,579900
2005-02-14,16.05,16.05,15.64,15.8,494600
2005-02-15,15.92,15.92,15.71,15.78,718900
2005-02-16,15.79,16.01,15.36,15.99,602600
2005-02-17,16.03,16.19,15.95,16.11,546800
2005-02-18,16.18,16.24,16.05,16.21,476000
2005-02-22,16.11,16.26,15.85,16.1,905700
2005-02-23,16.1,16.28,15.96,16.13,1057200
2005-02-24,16.2,17.0,15.93,16.75,1434500
2005-02-25,16.85,16.91,16.53,16.64,1307000
2005-02-28,16.53,16.54,16.21,16.46,830900
2005-03-01,16.46,16.71,16.46,16.5,590000
2005-03-02,16.45,16.89,16.35,16.78,774600
2005-03-03,16.8,16.97,16.65,16.8,525600
2005-03-04,16.9,17.36,16.9,17.24,1705500
2005-03-07,17.2,17.42,17.05,17.05,853900
2005-03-08,17.23,17.24,16.8,16.95,611900
2005-03-09,16.78,16.98,16.72,16.86,556800
