Date,Open,High,Low,Close,Volume
2005-01-03,18.78,18.79,18.18,18.29,4487000
2005-01-04,18.23,18.4,18.06,18.08,4055400
2005-01-05,18.08,18.22,17.84,17.86,3382400
2005-01-06,17.8,18.34,17.76,18.14,3809400
2005-01-07,18.34,18.48,18.1,18.4,6072400
2005-01-10,18.58,18.87,18.5,18.64,6529000
2005-01-11,18.68,18.9,18.59,18.77,4798600
2005-01-12,18.84,19.02,18.74,18.95,4336800
2005-01-13,19.07,19.3,18.96,19.15,4246000
2005-01-14,19.18,19.29,19.06,19.15,3345200
2005-01-18,19.34,19.39,19.17,19.38,3677800
2005-01-19,19.38,19.45,19.2,19.22,3363200
2005-01-20,19.03,19.05,18.72,18.87,4429000
2005-01-21,18.98,19.22,18.98,19.03,3324400
2005-01-24,19.25,19.4,19.22,19.28,3157800
2005-01-25,19.55,19.63,19.38,19.58,5973800
2005-01-26,19.78,19.8,19.48,19.7,4451600
2005-01-27,18.94,19.9,18.94,19.44,5190800
2005-01-28,19.44,19.44,19.04,19.18,4616400
2005-01-31,19.1,19.46,19.04,19.36,4979000
2005-02-01,19.45,19.6,19.44,19.59,5248600
2005-02-02,19.62,20.06,19.55,20.0,6815400
2005-02-03,20.0,20.38,19.82,20.3,6300000
2005-02-04,20.34,20.36,20.05,20.25,3321400
2005-02-07,20.3,20.36,20.07,20.18,3118200
2005-02-08,20.18,20.39,20.08,20.35,2845400
2005-02-09,20.38,20.9,20.25,20.56,5364400
2005-02-10,20.72,21.14,20.6,21.12,3533000
2005-02-11,21.24,21.52,21.06,21.34,3285800
2005-02-14,21.29,21.35,21.05,21.14,3070200
2005-02-15,21.36,21.52,21.25,21.5,3556600
2005-02-16,21.54,21.95,21.4,21.94,5059600
2005-02-17,22.0,22.13,21.71,21.74,4291200
2005-02-18,21.98,22.48,21.88,22.26,4904400
2005-02-22,22.62,22.66,22.02,22.03,3725600
2005-02-23,22.04,22.23,21.98,22.14,4834000
2005-02-24,22.38,22.6,22.16,22.6,3895400
