Date,Open,High,Low,Close,Volume
2005-01-03,55.97,56.53,55.71,55.9,5106600
2005-01-04,56.0,56.11,54.76,55.3,6108300
2005-01-05,55.05,55.92,54.98,54.98,5073100
2005-01-06,55.95,56.62,55.77,56.28,5991400
2005-01-07,56.45,56.9,56.0,56.06,4273900
2005-01-10,55.7,56.21,55.5,56.05,3733200
2005-01-11,56.05,56.05,55.19,55.45,4276900
2005-01-12,55.43,55.61,54.5,55.28,4726600
2005-01-13,54.9,56.09,54.9,55.5,5403200
2005-01-14,55.6,56.26,55.34,56.07,3530100
2005-01-18,55.5,56.5,55.47,56.45,3393400
2005-01-19,56.2,56.33,55.33,55.43,3226300
2005-01-20,55.02,55.37,54.36,54.85,4201300
2005-01-21,54.84,55.41,54.4,54.48,4775500
2005-01-24,54.56,55.24,53.9,54.07,5614900
2005-01-25,54.35,55.16,54.31,54.4,4752200
2005-01-26,54.48,54.59,53.86,54.17,5381800
2005-01-27,54.0,54.3,53.53,53.75,3925300
2005-01-28,53.92,54.73,53.92,54.37,4799000
2005-01-31,55.03,56.03,55.02,55.96,5421800
2005-02-01,56.45,57.92,56.2,57.25,6466700
2005-02-02,57.13,57.32,56.81,57.07,4384400
2005-02-03,56.95,57.51,56.8,57.18,3609200
2005-02-04,57.43,58.7,57.35,58.68,4892000
2005-02-07,58.68,58.73,57.89,58.07,4376300
2005-02-08,58.28,58.77,58.2,58.6,3547500
2005-02-09,58.3,58.73,57.99,58.17,3582000
2005-02-10,58.28,58.88,58.1,58.87,5585000
2005-02-11,58.7,60.39,58.6,60.32,6476800
2005-02-14,60.32,60.51,59.79,60.27,3481200
2005-02-15,60.25,60.28,59.65,60.0,4431100
2005-02-16,59.41,59.99,59.11,59.73,4533400
2005-02-17,59.48,59.92,59.36,59.61,4115600
2005-02-18,59.61,59.61,57.48,57.65,6679000
2005-02-22,56.68,57.64,56.66,56.88,5696400
2005-02-23,57.3,57.38,56.68,57.03,3824300
2005-02-24,57.15,57.15,56.4,56.71,3792300
2005-02-25,56.56,57.75,56.53,57.66,3517700
