Date,Open,High,Low,Close,Volume
2005-01-03,70.69,71.1,69.34,69.87,2712221
2005-01-04,70.03,70.36,67.82,68.48,3498035
2005-01-05,67.99,68.8,67.53,67.66,2585570
2005-01-06,68.39,69.05,67.49,68.44,3488269
2005-01-07,69.09,69.21,67.99,68.35,3232500
2005-01-10,68.44,69.91,68.19,69.54,4648835
2005-01-11,69.54,69.13,67.74,68.15,3436163
2005-01-12,68.39,68.8,66.92,67.45,4220194
2005-01-13,67.41,71.02,67.41,69.42,5914054
2005-01-14,70.03,70.65,69.42,69.75,2731926
2005-01-18,70.07,71.75,70.07,71.38,6103847
2005-01-19,68.85,68.6,65.32,66.35,12248569
2005-01-20,65.9,66.14,62.5,64.59,9567186
2005-01-21,64.95,65.49,63.85,64.01,4371604
2005-01-24,64.14,64.38,62.33,62.62,4193579
2005-01-25,63.03,63.81,62.05,62.87,3667514
2005-01-26,63.48,64.3,63.32,64.09,4333099
2005-01-27,65.53,65.53,63.97,64.3,2894641
2005-01-28,64.42,64.5,63.07,63.48,3586498
2005-01-31,64.55,64.83,64.14,64.46,2500526
2005-02-01,64.5,65.73,64.05,65.49,3468393
2005-02-02,65.57,66.84,65.24,66.63,3320841
2005-02-03,66.55,66.59,65.28,65.49,2203859
2005-02-04,65.65,67.17,65.53,66.59,1963473
2005-02-07,66.22,67.33,66.22,66.96,1694153
2005-02-08,66.63,67.78,66.55,66.84,1955464
2005-02-09,66.88,68.6,64.3,64.3,3629375
2005-02-10,64.83,65.24,64.22,65.04,1842633
2005-02-11,65.04,65.53,64.63,65.16,2243097
2005-02-14,65.32,66.63,64.95,66.35,2811257
2005-02-15,65.53,66.1,65.12,65.53,3410061
2005-02-16,65.04,65.2,64.22,64.42,3990210
2005-02-17,64.71,65.28,63.28,63.73,4245539
2005-02-18,63.89,64.42,63.48,63.48,1995752
2005-02-22,62.78,64.34,62.29,62.62,3144965
2005-02-23,62.58,63.44,61.84,63.15,2848005
2005-02-24,62.66,64.09,62.21,63.89,2371872
2005-02-25,63.56,64.22,63.32,63.85,1978562
2005-02-28,63.48,64.46,63.48,64.14,3031230
2005-03-01,64.05,64.3,62.95,64.01,3631621
2005-03-02,62.87,63.97,62.58,63.81,3040728
2005-03-03,63.81,64.09,61.96,62.25,4256527
2005-03-04,62.78,62.82,60.41,61.88,6743257
2005-03-07,61.96,63.44,61.35,63.07,5332903
2005-03-08,62.33,66.47,61.47,62.91,8691420
2005-03-09,62.95,63.56,62.37,62.62,3122428
2005-03-10,63.48,63.73,62.46,63.15,2791894
2005-03-11,64.46,64.5,62.42,62.54,2622562
2005-03-14,63.07,63.44,62.74,63.44,2109511
2005-03-15,63.48,63.64,62.5,62.78,2882311
2005-03-16,63.23,64.46,62.29,62.46,4755001
2005-03-17,62.91,63.07,62.01,62.09,2395703
2005-03-18,61.51,61.8,61.06,61.47,5590284
2005-03-21,62.17,62.29,60.78,61.06,2910879
2005-03-22,62.13,62.42,61.35,61.39,4962350
2005-03-23,61.92,62.05,60.82,61.23,3162521
2005-03-24,61.43,61.72,60.86,61.19,1939056
2005-03-28,61.35,61.96,60.9,61.02,2831963
2005-03-29,60.98,61.31,60.16,60.29,2889831
2005-03-30,60.2,61.27,60.2,61.23,2934832
2005-03-31,60.94,61.68,60.82,61.31,3613284
2005-04-01,61.64,62.25,60.86,60.98,3680040
2005-04-04,60.98,61.06,60.45,60.9,2427372
2005-04-05,60.9,61.68,60.65,61.56,3008693
2005-04-06,61.06,61.92,60.78,61.19,2397339
2005-04-07,61.43,62.87,61.27,62.66,3216385
2005-04-08,62.66,62.66,62.01,62.25,2720694
2005-04-11,62.05,62.13,61.39,61.88,1526481
2005-04-12,61.43,63.11,61.19,62.58,2527482
2005-04-13,62.21,63.89,62.17,62.58,3872593
2005-04-14,62.58,63.89,61.6,61.72,2649787
2005-04-15,61.47,61.51,60.41,60.41,3728874
2005-04-18,60.0,60.29,59.3,59.84,3212820
2005-04-19,60.37,60.74,59.71,60.29,2126090
2005-04-20,60.82,61.43,60.33,61.15,4197755
2005-04-21,64.79,65.45,64.01,65.24,9551877
2005-04-22,65.24,65.45,64.14,64.63,2878624
2005-04-25,64.95,65.12,63.97,64.59,2293152
2005-04-26,64.09,65.32,64.09,65.12,2959322
2005-04-27,64.71,64.87,64.18,64.3,2863729
2005-04-28,63.81,64.14,62.87,62.95,2708242
2005-04-29,63.11,63.32,61.84,62.82,2426566
2005-05-02,62.82,63.73,62.42,63.36,1640997
2005-05-03,63.52,63.89,62.87,63.77,2024466
2005-05-04,63.73,64.79,63.36,64.3,2537200
2005-05-05,63.89,64.91,63.77,64.34,2614822
2005-05-06,64.59,65.41,64.01,64.26,2731462
2005-05-09,63.85,64.71,63.85,64.59,2469565
2005-05-10,65.2,65.45,64.14,64.67,3946552
2005-05-11,64.79,65.08,63.48,64.71,2184838
2005-05-12,65.0,65.41,64.42,64.79,2612185
2005-05-13,65.45,67.13,64.91,66.39,6742793
2005-05-16,66.51,66.88,66.02,66.51,3040411
2005-05-17,66.35,67.37,65.81,67.25,3579955
2005-05-18,67.49,69.38,67.41,69.21,6722136
2005-05-19,70.65,72.16,70.36,70.89,8879968
2005-05-20,71.34,71.38,70.24,70.65,3190942
2005-05-23,70.69,71.75,70.65,71.34,3164083
2005-05-24,71.06,71.38,70.73,71.14,2438140
2005-05-25,71.06,71.06,69.75,70.32,2399756
2005-05-26,70.65,71.92,70.65,71.51,2810280
2005-05-27,71.55,71.59,70.85,71.02,1884752
2005-05-31,70.73,71.51,70.32,71.14,2602955
2005-06-01,70.85,72.0,70.65,71.63,2156099
2005-06-02,71.67,72.82,71.63,72.82,2624931
2005-06-03,72.65,72.94,72.16,72.65,2839166
2005-06-06,72.53,73.39,72.53,73.39,3559664
2005-06-07,73.76,75.77,73.72,74.25,6274010
2005-06-08,75.36,75.73,73.92,74.09,4611673
2005-06-09,74.25,74.95,73.84,74.66,3483141
2005-06-10,74.42,74.78,73.27,73.96,2042535
2005-06-13,73.47,74.58,73.19,74.33,2453303
2005-06-14,73.84,75.03,73.84,74.54,2652107
2005-06-15,74.91,75.52,73.76,74.13,2128849
2005-06-16,74.13,74.82,73.92,74.29,2331706
2005-06-17,74.82,74.82,73.76,74.58,3140545
2005-06-20,73.96,74.82,73.96,74.37,1783397
2005-06-21,74.05,74.91,74.05,74.62,1526432
2005-06-22,74.87,77.2,74.87,77.0,5566916
2005-06-23,77.16,78.84,77.12,77.28,6694203
2005-06-24,77.4,77.58,75.68,75.97,3332634
2005-06-27,74.99,75.89,74.13,74.5,3353316
2005-06-28,75.03,75.64,74.7,75.15,3704408
2005-06-29,76.59,77.08,75.6,75.89,3643341
2005-06-30,76.5,77.2,74.66,74.78,3812381
2005-07-01,74.99,75.19,74.29,74.82,2078965
2005-07-05,74.33,75.85,73.92,75.81,4031011
2005-07-06,76.34,77.4,75.68,75.77,3588159
2005-07-07,74.62,76.63,74.17,76.26,3269931
2005-07-08,76.63,76.67,75.6,75.93,3999220
2005-07-11,76.38,77.57,76.34,77.45,5186328
2005-07-12,77.94,79.78,77.45,78.92,7045784
2005-07-13,79.33,79.7,78.96,79.66,3719522
2005-07-14,80.19,80.85,78.76,79.0,6503017
2005-07-15,78.84,80.39,78.55,79.86,4883630
2005-07-18,80.07,80.07,79.13,79.7,3329900
2005-07-19,80.8,81.66,80.11,81.3,7019365
2005-07-20,81.05,82.48,80.27,81.62,10083680
2005-07-21,81.54,82.11,80.31,80.6,6418925
2005-07-22,80.76,81.91,79.04,81.91,5306850
2005-07-25,84.78,85.1,83.96,84.12,10005252
2005-07-26,84.78,85.88,82.93,84.74,10469860
2005-07-27,84.9,85.96,84.57,85.8,6537421
2005-07-28,85.92,88.01,85.84,87.28,6023222
2005-07-29,86.33,86.87,85.55,86.74,6365842
2005-08-01,86.42,88.26,86.09,88.09,5108364
2005-08-02,87.73,89.36,87.56,89.32,5986890
2005-08-03,89.24,90.55,88.66,90.26,4804982
2005-08-04,89.08,90.51,88.71,90.1,4408938
2005-08-05,89.24,90.26,87.68,88.34,4109389
2005-08-08,88.34,88.67,87.56,88.67,2883116
2005-08-09,88.83,89.94,87.81,88.54,3482213
