Date,Open,High,Low,Close,Volume
2005-01-03,107.84,108.04,105.75,105.88,315400
2005-01-04,106.5,106.99,104.82,105.42,306200
2005-01-05,106.0,106.0,104.9,105.26,408700
2005-01-06,105.26,105.78,104.52,104.9,347900
2005-01-07,104.9,105.16,103.49,103.49,332400
2005-01-10,103.69,104.78,102.77,104.72,417500
2005-01-11,105.2,105.42,102.27,103.85,682100
2005-01-12,104.0,104.02,102.21,102.51,323700
2005-01-13,102.52,102.71,100.73,100.77,388300
2005-01-14,100.77,101.2,99.94,100.77,348300
2005-01-18,100.77,101.89,100.07,101.8,451700
2005-01-19,102.2,102.24,100.82,100.91,462100
2005-01-20,100.41,100.74,99.72,100.57,717400
2005-01-21,100.4,100.92,100.21,100.6,388500
2005-01-24,100.61,101.5,100.59,100.95,346000
2005-01-25,100.95,101.32,100.5,100.93,442100
2005-01-26,101.33,101.97,101.1,101.66,373800
2005-01-27,101.26,101.67,100.49,100.9,288200
2005-01-28,100.9,100.98,99.56,100.24,299300
2005-01-31,101.01,102.49,101.01,102.36,324600
2005-02-01,102.45,103.68,101.92,103.36,287800
2005-02-02,104.1,104.1,102.29,102.95,406700
2005-02-03,102.92,103.23,102.4,102.8,274300
2005-02-04,102.95,103.27,101.75,103.03,337000
2005-02-07,103.03,103.27,102.73,103.01,245800
2005-02-08,102.5,102.94,102.23,102.52,241800
2005-02-09,102.52,102.86,101.33,101.34,187600
2005-02-10,101.66,101.92,101.4,101.91,174600
2005-02-11,101.91,102.1,100.96,101.25,395000
2005-02-14,100.78,101.33,100.42,101.3,190900
2005-02-15,101.51,102.61,101.33,102.33,398600
2005-02-16,102.25,102.25,100.71,101.14,352000
2005-02-17,100.98,100.98,100.09,100.11,234200
2005-02-18,100.42,100.42,98.87,98.95,455200
2005-02-22,98.25,98.8,96.93,96.93,341500
2005-02-23,97.15,98.26,96.8,97.44,478700
2005-02-24,97.29,98.57,96.71,98.57,493700
2005-02-25,98.57,100.51,97.97,100.2,370800
2005-02-28,99.96,100.16,98.65,99.01,282000
2005-03-01,99.01,101.82,98.97,101.37,292600
2005-03-02,101.35,102.26,100.5,101.38,407100
2005-03-03,101.38,101.63,100.08,101.21,359900
2005-03-04,102.0,105.1,102.0,104.68,531400
2005-03-07,105.08,106.21,104.99,105.31,356200
2005-03-08,105.21,105.21,103.96,104.57,472300
2005-03-09,104.2,104.21,101.53,102.15,567700
2005-03-10,102.1,103.08,102.1,102.67,389100
2005-03-11,102.68,102.82,100.77,101.21,365200
2005-03-14,101.75,102.87,101.28,102.04,334400
2005-03-15,103.0,103.0,101.12,101.14,349800
2005-03-16,101.14,101.75,100.42,101.0,281100
2005-03-17,100.49,101.53,99.86,101.1,406900
2005-03-18,101.11,101.9,99.71,100.06,1741000
2005-03-21,99.9,100.44,98.95,100.21,489800
2005-03-22,99.8,100.84,98.04,98.22,370000
2005-03-23,98.22,99.01,97.5,98.56,525000
2005-03-24,98.55,99.24,98.3,98.32,437700
2005-03-28,98.57,99.7,98.57,99.01,280000
2005-03-29,98.8,100.02,98.69,99.2,387300
2005-03-30,99.39,101.6,99.39,101.44,482100
2005-03-31,101.44,103.0,101.44,102.06,526300
2005-04-01,102.56,103.46,100.13,100.89,390100
2005-04-04,100.51,102.27,99.9,101.95,416900
2005-04-05,102.0,103.2,102.0,102.81,357300
2005-04-06,102.84,104.3,102.84,103.28,313100
2005-04-07,103.48,103.8,102.69,103.4,382700
2005-04-08,103.5,103.5,102.3,102.37,261700
2005-04-11,102.4,102.76,101.87,102.43,201100
2005-04-12,102.43,105.37,102.11,105.14,467000
2005-04-13,105.15,105.19,103.78,104.2,403800
2005-04-14,103.97,103.97,102.75,102.75,304600
2005-04-15,102.74,103.07,101.3,101.3,414900
2005-04-18,101.96,103.63,101.4,103.13,505800
2005-04-19,102.0,103.49,101.8,102.14,393400
2005-04-20,101.66,101.9,99.29,99.62,396500
2005-04-21,101.0,101.4,98.75,100.54,629400
2005-04-22,99.95,101.18,99.0,99.9,414800
2005-04-25,100.6,101.41,100.21,101.26,379200
2005-04-26,101.26,101.76,100.3,100.89,375500
2005-04-27,100.5,104.41,100.11,103.75,521100
2005-04-28,103.65,103.65,102.4,102.6,341400
2005-04-29,102.9,103.52,101.83,103.45,335300
2005-05-02,103.4,104.16,102.25,103.41,461700
2005-05-03,103.0,104.13,102.46,102.84,427600
2005-05-04,102.75,104.6,102.5,104.6,412000
2005-05-05,104.76,104.83,103.05,104.1,381200
2005-05-06,104.6,104.6,103.03,103.3,214100
2005-05-09,103.69,104.34,103.2,104.0,369700
2005-05-10,102.96,103.3,102.0,102.28,445400
2005-05-11,101.97,102.97,101.52,102.5,302400
2005-05-12,102.1,103.0,101.14,101.15,379500
2005-05-13,101.1,101.56,100.11,100.93,306700
2005-05-16,101.15,103.46,101.15,103.41,268500
2005-05-17,103.41,104.66,102.66,104.47,243500
2005-05-18,104.95,106.12,104.51,105.7,377300
2005-05-19,105.7,105.84,104.65,105.35,285300
2005-05-20,105.8,105.8,104.2,104.52,215200
2005-05-23,105.0,105.0,103.9,104.13,241700
2005-05-24,103.56,103.79,103.03,103.48,227000
2005-05-25,103.3,103.43,102.3,102.83,219000
2005-05-26,103.29,103.89,102.78,103.86,188800
2005-05-27,104.0,104.0,102.87,103.05,144700
2005-05-31,103.0,103.29,102.14,102.14,178600
2005-06-01,101.96,104.15,101.96,103.72,275200
2005-06-02,103.61,104.12,102.86,104.06,247400
2005-06-03,104.06,104.3,102.48,103.19,293700
2005-06-06,103.03,103.43,102.51,103.37,154700
2005-06-07,103.25,103.92,102.44,102.57,235600
2005-06-08,102.74,103.23,102.33,102.62,141900
2005-06-09,102.4,103.1,101.72,102.64,169700
2005-06-10,102.55,102.79,101.86,102.78,178600
2005-06-13,102.6,103.58,102.16,102.97,140700
2005-06-14,103.45,104.36,103.25,104.23,232300
2005-06-15,104.98,105.73,104.69,105.07,389400
2005-06-16,105.0,105.0,104.17,104.63,347100
2005-06-17,105.2,106.7,104.8,106.6,452400
2005-06-20,105.65,106.74,105.5,106.51,199100
2005-06-21,106.99,106.99,106.0,106.4,140100
2005-06-22,107.0,107.28,106.35,106.44,195800
2005-06-23,106.6,106.6,104.77,104.95,128500
2005-06-24,104.95,105.13,104.37,104.5,214200
2005-06-27,104.6,105.0,104.52,104.85,190500
2005-06-28,105.25,106.61,105.05,106.57,185700
2005-06-29,106.79,107.13,106.21,106.38,113000
2005-06-30,106.95,107.09,105.16,105.16,219700
2005-07-01,106.06,106.26,105.32,105.58,140100
2005-07-05,105.3,106.63,104.85,106.43,243500
2005-07-06,106.15,106.42,105.12,105.13,270900
2005-07-07,103.5,105.77,103.5,105.74,276700
2005-07-08,105.9,106.64,105.32,106.46,250100
2005-07-11,107.0,107.05,106.42,106.84,341900
2005-07-12,108.0,111.4,107.8,108.97,1084600
2005-07-13,109.0,110.51,108.95,109.82,620800
2005-07-14,110.55,110.92,109.0,110.18,392000
2005-07-15,110.18,110.33,109.43,110.12,323100
2005-07-18,110.13,110.18,109.42,109.44,237600
2005-07-19,109.98,110.43,109.46,110.06,218800
2005-07-20,110.07,112.5,109.93,112.28,330400
2005-07-21,111.73,111.82,110.36,110.43,232900
2005-07-22,110.49,111.0,109.73,110.46,147500
2005-07-25,110.56,110.9,109.83,109.9,241100
2005-07-26,110.4,110.79,109.93,110.56,255700
2005-07-27,110.49,110.49,109.58,109.68,170600
2005-07-28,109.8,110.26,109.61,110.07,203700
2005-07-29,109.75,109.95,108.46,108.51,264000
2005-08-01,108.51,109.24,108.46,108.88,164000
2005-08-02,108.91,110.17,108.56,110.12,427500
2005-08-03,109.55,110.08,109.47,109.91,190300
2005-08-04,109.22,109.22,108.13,108.25,230600
2005-08-05,108.4,108.4,107.07,107.34,221100
2005-08-08,108.2,108.2,107.0,107.64,289300
2005-08-09,108.25,108.89,108.19,108.51,343300
2005-08-10,109.1,109.4,107.47,107.58,267600
2005-08-11,108.0,109.56,107.95,109.56,255300
2005-08-12,109.16,109.36,108.19,108.7,144000
2005-08-15,108.55,109.39,107.84,108.83,219800
2005-08-16,108.87,109.41,107.26,107.26,299000
2005-08-17,107.26,108.37,106.82,107.9,200100
2005-08-18,107.6,108.18,107.1,107.75,168600
2005-08-19,108.55,108.64,108.15,108.39,266700
2005-08-22,108.53,109.45,108.08,108.46,144400
2005-08-23,108.46,108.47,107.11,107.29,179700
2005-08-24,107.3,108.22,106.39,106.39,168100
2005-08-25,106.88,107.44,106.77,107.18,290100
2005-08-26,107.0,107.01,105.76,105.76,184800
2005-08-29,105.0,106.54,104.92,106.28,242400
2005-08-30,105.45,105.73,104.45,105.31,250100
2005-08-31,105.21,106.75,104.6,106.62,341100
2005-09-01,107.0,108.35,106.4,107.9,251100
2005-09-02,107.9,108.03,107.05,107.05,112600
2005-09-06,107.7,109.32,107.69,108.48,199700
2005-09-07,108.15,108.93,107.95,108.8,190400
2005-09-08,108.25,108.54,107.52,107.72,151800
2005-09-09,107.95,108.89,107.68,108.37,143600
2005-09-12,107.88,108.5,107.33,107.71,143000
2005-09-13,107.25,107.26,105.35,106.12,313400
2005-09-14,106.34,106.64,105.64,105.9,240600
2005-09-15,105.75,105.76,104.68,105.2,348100
2005-09-16,105.35,107.37,105.35,106.85,1833500
2005-09-19,106.2,106.26,105.42,106.15,345700
2005-09-20,106.19,108.5,106.04,106.16,388800
2005-09-21,105.91,105.91,105.01,105.13,382400
2005-09-22,104.56,105.53,103.5,105.35,402300
2005-09-23,105.41,106.26,104.9,105.65,199900
2005-09-26,105.91,106.29,105.07,105.32,231500
2005-09-27,105.74,105.91,104.94,105.25,226700
2005-09-28,105.75,105.98,104.35,104.92,245500
2005-09-29,104.5,107.31,104.35,107.0,612100
2005-09-30,107.45,107.45,105.47,105.71,295600
2005-10-03,106.42,106.5,105.24,106.06,391700
2005-10-04,106.3,106.6,104.16,104.16,404400
2005-10-05,103.9,104.24,102.77,102.79,257400
2005-10-06,103.1,103.88,101.97,102.75,299400
2005-10-07,102.76,103.2,102.1,102.49,259800
2005-10-10,102.41,103.1,101.6,102.14,281700
2005-10-11,101.85,102.65,101.31,101.89,443500
2005-10-12,102.85,104.79,101.46,102.34,579300
2005-10-13,101.93,103.33,101.55,103.2,406100
2005-10-14,103.5,104.55,103.24,103.93,407600
2005-10-17,104.0,104.15,101.87,102.75,351100
2005-10-18,103.05,103.14,102.07,102.18,259400
2005-10-19,101.8,103.88,101.42,103.88,358800
2005-10-20,103.75,104.37,102.33,102.77,294100
2005-10-21,103.55,103.82,102.31,103.52,287000
2005-10-24,103.74,105.32,103.74,104.99,206200
2005-10-25,104.99,105.46,103.74,104.45,389000
2005-10-26,104.2,105.4,103.71,104.8,241700
2005-10-27,104.8,105.32,103.74,104.13,216700
2005-10-28,104.5,106.65,104.36,106.65,267900
2005-10-31,107.1,108.05,106.8,107.58,319700
2005-11-01,107.6,107.6,106.11,106.11,263200
2005-11-02,105.64,107.11,105.64,107.02,235200
2005-11-03,107.01,107.4,106.02,106.5,196700
2005-11-04,107.0,107.2,106.06,106.94,144100
2005-11-07,107.3,107.4,106.56,107.28,170000
2005-11-08,107.07,107.07,106.17,106.57,189400
2005-11-09,106.57,108.26,106.51,108.1,267000
2005-11-10,108.52,110.55,108.11,110.4,317100
2005-11-11,110.85,110.98,109.77,110.8,160200
2005-11-14,110.54,110.54,109.45,109.96,172300
2005-11-15,109.97,110.47,108.7,109.29,242000
2005-11-16,109.42,109.7,108.12,108.74,134800
2005-11-17,108.58,109.43,107.98,109.24,296300
2005-11-18,111.0,111.0,108.92,109.83,325100
2005-11-21,109.76,110.21,109.45,109.77,204400
2005-11-22,110.75,110.83,109.53,110.78,317200
2005-11-23,110.41,110.94,110.17,110.33,264700
2005-11-25,110.33,110.84,109.95,110.84,115500
2005-11-28,111.4,111.86,110.91,111.29,226700
2005-11-29,111.3,111.86,110.46,110.58,160100
2005-11-30,110.48,110.78,108.22,108.22,286500
2005-12-01,109.0,109.93,108.89,109.63,250900
2005-12-02,109.49,110.23,109.32,109.88,213600
2005-12-05,109.2,110.24,108.61,110.0,283000
2005-12-06,110.6,110.9,109.18,109.33,226800
2005-12-07,109.02,109.27,107.55,108.27,209500
2005-12-08,108.62,109.05,107.6,108.08,214900
2005-12-09,108.23,110.17,108.03,109.62,201100
2005-12-12,110.0,110.0,108.61,109.15,158900
2005-12-13,109.15,110.77,108.77,110.49,342100
2005-12-14,110.7,111.06,110.08,110.67,282000
2005-12-15,110.68,110.73,109.55,110.13,172600
2005-12-16,110.9,111.63,110.4,110.93,378200
2005-12-19,110.79,110.79,109.53,109.62,197500
2005-12-20,109.62,110.51,109.62,109.95,168600
2005-12-21,110.3,110.92,109.74,110.11,165000
2005-12-22,110.23,110.39,109.41,110.39,103500
2005-12-23,110.6,110.81,110.06,110.35,76600
2005-12-27,110.6,111.34,109.45,109.45,152200
2005-12-28,109.8,110.0,109.4,109.66,139000
2005-12-29,109.51,109.97,109.51,109.75,207200
2005-12-30,109.76,109.76,108.61,109.05,172100
2006-01-03,109.05,111.06,108.07,110.99,339000
2006-01-04,110.99,111.86,110.79,111.27,305300
2006-01-05,111.0,111.67,110.92,111.65,181500
2006-01-06,112.12,112.34,111.01,112.03,169600
2006-01-09,111.7,113.89,111.51,113.52,392600
2006-01-10,112.75,113.96,112.37,113.96,300200
2006-01-11,114.99,115.0,111.52,111.77,505200
2006-01-12,111.17,111.2,109.49,109.77,464000
2006-01-13,110.63,113.76,109.35,110.12,396700
2006-01-17,109.5,109.57,108.2,108.93,311700
2006-01-18,109.0,109.69,108.16,109.03,360700
2006-01-19,109.3,109.3,108.25,108.8,248200
2006-01-20,109.27,109.27,106.4,106.5,337800
2006-01-23,106.36,107.66,106.32,107.03,268500
2006-01-24,107.58,108.49,107.37,107.88,196600
2006-01-25,108.21,108.38,107.14,108.22,387600
2006-01-26,110.17,110.17,108.98,109.54,223600
2006-01-27,109.18,109.7,108.56,109.25,167100
2006-01-30,109.06,109.06,108.13,108.26,186200
2006-01-31,107.85,108.57,107.52,108.3,220700
2006-02-01,107.8,108.33,107.45,108.23,223900
2006-02-02,107.98,108.53,107.5,107.77,250300
2006-02-03,107.04,107.33,106.49,106.82,401700
2006-02-06,106.45,106.99,106.19,106.45,334500
2006-02-07,106.46,107.14,105.74,106.52,239100
2006-02-08,106.27,107.16,105.72,107.06,290900
2006-02-09,106.75,108.1,106.24,107.39,194400
2006-02-10,107.2,108.35,106.59,108.2,198900
2006-02-13,107.9,108.17,107.2,107.69,185400
2006-02-14,108.0,109.67,107.75,109.42,293800
2006-02-15,109.9,110.28,108.58,110.18,391800
2006-02-16,109.85,111.25,109.41,111.25,362600
2006-02-17,111.6,112.04,110.59,111.82,359800
2006-02-21,111.55,112.08,110.84,111.26,161300
2006-02-22,111.55,113.46,111.35,113.32,225900
2006-02-23,112.7,113.78,112.1,113.18,191100
2006-02-24,112.71,113.52,112.3,113.31,196300
2006-02-27,113.15,114.05,113.15,113.5,200100
2006-02-28,112.8,113.22,111.84,112.4,317200
2006-03-01,112.93,113.08,112.4,113.07,164100
2006-03-02,112.7,112.73,111.69,112.39,175900
2006-03-03,112.39,113.27,111.7,112.52,207500
2006-03-06,112.39,112.4,111.12,111.45,161700
2006-03-07,110.99,112.67,110.75,112.45,223900
2006-03-08,112.3,112.74,111.5,112.33,174400
2006-03-09,112.32,112.81,111.25,111.41,180700
2006-03-10,111.4,112.59,111.25,112.31,183500
2006-03-13,112.5,113.48,112.5,113.08,300500
2006-03-14,113.09,114.61,112.94,114.24,279900
2006-03-15,114.5,115.73,114.13,115.66,345200
2006-03-16,115.66,116.26,115.31,116.05,227700
2006-03-17,116.65,117.27,116.15,117.19,392100
2006-03-20,117.0,117.39,116.65,117.29,203400
2006-03-21,117.29,117.29,115.36,115.48,359400
2006-03-22,115.48,116.03,115.1,115.9,236700
2006-03-23,115.65,116.01,115.06,115.79,185500
2006-03-24,115.8,116.25,115.24,115.94,131500
2006-03-27,115.95,115.96,115.21,115.76,107500
2006-03-28,115.76,115.91,114.36,114.55,173500
2006-03-29,115.05,115.06,113.65,114.41,317600
2006-03-30,114.2,114.6,113.27,113.74,249200
2006-03-31,114.24,114.9,113.61,114.14,264900
2006-04-03,114.15,115.61,114.15,114.48,211000
2006-04-04,114.3,115.12,113.92,114.5,520800
