Date,Open,High,Low,Close,Volume
2005-01-03,40.14,40.14,38.08,38.32,1896200
2005-01-04,38.72,39.14,38.48,38.5,1263000
2005-01-05,38.5,38.75,37.8,38.05,723400
2005-01-06,38.04,39.98,37.82,39.4,2109200
2005-01-07,39.4,39.42,38.44,38.94,695400
2005-01-10,40.0,40.02,39.22,39.34,1307200
2005-01-11,39.38,39.49,39.03,39.26,1033600
2005-01-12,39.28,40.52,39.17,40.28,1358000
2005-01-13,40.46,41.12,40.26,40.78,988400
2005-01-14,40.78,41.18,40.6,41.03,687200
2005-01-18,41.5,41.56,40.92,41.22,1272800
2005-01-19,41.1,41.7,41.03,41.32,848800
2005-01-20,40.95,41.38,40.68,41.1,834600
2005-01-21,41.3,41.86,41.3,41.56,851600
2005-01-24,41.83,42.26,41.77,41.9,750800
2005-01-25,41.9,42.09,41.56,41.76,942000
2005-01-26,41.88,42.26,41.86,42.16,892000
2005-01-27,42.17,42.5,42.02,42.25,805200
2005-01-28,44.55,45.0,43.8,44.53,3279200
2005-01-31,44.4,44.85,43.9,44.64,1671000
2005-02-01,44.76,45.76,44.7,45.36,2526200
2005-02-02,45.36,45.75,45.28,45.5,1108400
2005-02-03,44.75,45.82,44.51,45.82,1770600
2005-02-04,46.0,46.02,45.45,45.69,881600
2005-02-07,45.5,45.8,44.8,45.12,1097400
2005-02-08,45.1,45.62,44.76,45.54,546000
2005-02-09,45.46,46.18,44.95,45.2,868000
2005-02-10,45.45,46.54,45.15,46.48,884600
2005-02-11,46.43,46.94,46.1,46.59,660000
2005-02-14,46.72,46.95,46.14,46.26,1239600
2005-02-15,46.15,46.68,45.92,46.26,585400
2005-02-16,46.28,47.66,46.09,47.66,1036400
2005-02-17,47.72,47.98,47.16,47.32,1039600
2005-02-18,47.5,48.52,47.5,48.0,786200
2005-02-22,48.68,49.43,47.83,48.18,1010400
2005-02-23,48.18,48.74,47.62,48.62,869800
2005-02-24,48.8,49.33,48.25,49.3,798000
2005-02-25,49.22,50.13,49.15,49.58,1166200
2005-02-28,49.75,50.4,48.46,50.02,1291200
2005-03-01,50.02,50.1,48.32,48.7,1587600
2005-03-02,48.7,49.05,48.6,49.02,2018000
2005-03-03,49.58,50.1,49.51,49.87,2041000
2005-03-04,50.0,50.8,49.35,50.66,1296600
2005-03-07,50.67,51.18,50.16,50.94,1404000
2005-03-08,51.08,52.46,50.95,52.35,1917600
2005-03-09,52.52,52.7,50.02,50.19,2243000
2005-03-10,50.19,50.19,48.46,49.44,2363000
2005-03-11,49.44,50.7,49.32,49.77,1496600
2005-03-14,49.92,50.25,48.86,50.08,1574800
2005-03-15,50.5,50.52,49.05,49.5,1076400
2005-03-16,49.4,50.38,49.28,49.46,1195200
2005-03-17,49.82,51.5,49.76,51.32,1722200
2005-03-18,51.32,51.85,51.08,51.68,1248600
2005-03-21,51.68,51.72,50.62,51.42,1046200
2005-03-22,51.54,52.22,50.62,50.78,1389000
2005-03-23,50.6,50.6,49.58,49.93,1634200
2005-03-24,50.18,50.35,49.26,49.78,1260400
2005-03-28,49.78,50.06,49.28,49.82,1149600
2005-03-29,49.52,50.02,48.16,48.25,1963400
2005-03-30,48.68,49.0,47.6,48.69,1792800
2005-03-31,49.38,49.65,49.18,49.36,1539400
2005-04-01,49.65,50.82,49.56,50.72,1584200
2005-04-04,50.9,51.3,49.98,50.94,2167800
2005-04-05,50.94,51.44,50.14,50.28,1125800
2005-04-06,50.31,51.22,50.08,51.05,1475200
2005-04-07,51.6,51.78,50.26,50.85,1624800
2005-04-08,50.75,51.06,49.88,49.94,1268800
2005-04-11,49.94,50.44,49.42,50.14,1109400
2005-04-12,50.14,50.14,48.62,48.85,1393800
2005-04-13,47.38,48.32,47.08,47.18,3571600
2005-04-14,47.18,47.62,45.6,46.3,3120600
2005-04-15,46.18,46.24,44.25,44.6,2367800
2005-04-18,44.35,44.9,43.56,44.68,1651800
2005-04-19,44.98,45.61,44.95,45.5,1249600
