Date,Open,High,Low,Close,Volume
2005-01-03,75.0,75.0,73.6,73.9,1080100
2005-01-04,73.9,74.25,72.98,73.0,912400
2005-01-05,72.77,73.0,71.95,72.06,937100
2005-01-06,72.08,73.41,71.8,73.23,1356700
2005-01-07,73.25,74.29,72.77,73.09,725400
2005-01-10,73.15,73.78,72.84,73.34,1038200
2005-01-11,73.36,73.37,72.5,72.5,565400
2005-01-12,72.49,72.93,72.33,72.85,761800
2005-01-13,72.9,73.65,72.9,73.2,657400
2005-01-14,73.1,73.84,72.68,73.24,573800
2005-01-18,73.23,74.09,72.92,74.09,728900
2005-01-19,74.34,74.51,73.7,73.79,638500
2005-01-20,74.6,74.6,73.82,74.1,1094800
2005-01-21,74.1,75.23,74.1,74.61,1150900
2005-01-24,74.68,75.23,74.52,74.65,1344800
2005-01-25,74.95,75.11,73.77,73.83,1085900
2005-01-26,74.2,75.24,73.97,75.15,774600
2005-01-27,74.8,75.59,74.74,75.18,631200
2005-01-28,75.44,75.56,74.94,75.56,785600
2005-01-31,75.63,76.85,75.57,76.64,920600
2005-02-01,76.64,77.75,76.3,77.69,958400
2005-02-02,77.69,78.61,77.4,78.2,1005800
2005-02-03,77.9,78.82,77.75,78.76,929800
2005-02-04,78.95,79.7,78.76,79.7,742800
2005-02-07,79.7,79.77,79.09,79.22,595400
2005-02-08,78.94,80.19,78.85,79.94,870000
2005-02-09,79.71,80.16,79.39,79.39,690100
2005-02-10,79.55,79.65,78.89,79.1,1060300
2005-02-11,77.52,79.26,78.4,78.75,1091800
2005-02-14,78.75,80.08,78.42,80.08,885300
2005-02-15,79.92,80.09,79.51,79.81,862800
2005-02-16,79.71,80.0,79.26,79.98,683300
2005-02-17,79.8,79.96,79.0,79.64,823200
2005-02-18,79.64,79.64,78.05,78.6,872100
2005-02-22,78.98,79.06,77.45,77.45,1494400
2005-02-23,78.05,78.68,76.74,76.95,1662700
2005-02-24,77.35,78.34,77.14,78.28,815700
2005-02-25,78.28,80.01,78.18,79.7,761000
2005-02-28,79.8,80.06,79.0,79.35,1018000
2005-03-01,79.35,80.52,79.05,80.48,1194800
2005-03-02,79.77,80.0,79.18,79.3,939100
2005-03-03,79.64,79.98,79.01,79.9,998600
2005-03-04,80.05,81.22,80.05,80.94,1083700
2005-03-07,80.84,81.9,80.62,81.8,774200
2005-03-08,81.8,81.86,80.95,81.52,884900
2005-03-09,81.1,81.11,79.6,79.79,1269200
2005-03-10,79.79,80.41,79.15,80.33,999600
2005-03-11,80.0,80.6,79.68,79.81,811800
2005-03-14,79.79,81.47,79.7,81.43,882900
2005-03-15,81.6,82.75,81.52,81.6,1358700
2005-03-16,40.82,41.2,39.83,40.2,2298100
2005-03-17,40.8,41.0,40.4,40.5,2444700
2005-03-18,40.7,40.86,39.95,40.36,4362300
2005-03-21,40.36,40.5,40.0,40.05,1678200
2005-03-22,40.13,40.39,39.33,39.4,1693000
2005-03-23,39.4,39.4,38.7,39.26,2497500
2005-03-24,39.3,39.87,39.25,39.49,1505700
2005-03-28,39.74,39.76,39.43,39.47,1751300
2005-03-29,39.5,39.5,38.78,38.88,2055800
2005-03-30,39.01,39.75,38.97,39.75,1624200
2005-03-31,39.86,40.45,39.77,40.15,1688200
2005-04-01,40.6,40.75,39.79,40.13,1556300
2005-04-04,40.13,40.44,39.8,40.42,1875000
2005-04-05,40.42,40.67,40.26,40.35,1573200
2005-04-06,40.57,40.65,40.26,40.31,944000
2005-04-07,40.45,40.8,40.37,40.47,1228200
2005-04-08,40.62,40.65,40.22,40.33,986200
2005-04-11,40.36,41.05,40.32,40.93,1202600
2005-04-12,40.95,41.44,40.54,41.3,1872500
2005-04-13,41.18,41.55,40.85,41.01,1390900
2005-04-14,41.01,41.09,40.48,40.48,1314600
2005-04-15,40.49,40.7,39.94,39.94,1855400
2005-04-18,39.94,40.68,39.76,40.54,1951800
2005-04-19,40.54,41.14,40.35,40.95,1448100
2005-04-20,40.72,41.19,40.52,40.83,2415000
2005-04-21,41.1,41.53,40.98,41.53,2611600
2005-04-22,41.53,41.87,41.3,41.57,1565900
2005-04-25,41.74,41.97,41.4,41.79,1408100
2005-04-26,41.42,41.59,40.9,40.93,1606700
2005-04-27,40.5,41.19,40.28,41.01,1868300
2005-04-28,41.01,41.25,40.37,40.69,1973100
2005-04-29,40.69,40.85,40.2,40.82,2642100
2005-05-02,40.82,41.3,40.66,40.92,2129500
2005-05-03,40.67,41.1,40.5,40.76,1796700
2005-05-04,40.76,41.0,40.4,40.76,1997200
2005-05-05,40.65,40.83,40.13,40.42,1662100
2005-05-06,40.4,40.59,40.2,40.38,1638700
2005-05-09,40.45,40.64,39.9,40.6,1719600
2005-05-10,40.4,41.0,40.25,40.77,1651300
2005-05-11,40.81,41.22,40.65,41.2,1172400
2005-05-12,41.18,41.25,40.68,40.73,919800
2005-05-13,40.93,40.96,39.16,40.03,1960500
2005-05-16,40.1,40.3,39.63,40.22,1535100
2005-05-17,40.03,40.35,39.93,40.3,1380500
2005-05-18,40.53,40.56,39.97,40.11,1790600
2005-05-19,40.11,40.34,39.35,40.3,1881300
2005-05-20,40.48,40.5,40.07,40.43,1757500
2005-05-23,40.5,40.55,40.21,40.41,1201500
2005-05-24,40.5,40.72,40.16,40.48,1350400
2005-05-25,40.54,40.54,40.02,40.31,1221100
2005-05-26,40.52,40.53,40.3,40.3,880500
2005-05-27,40.3,40.83,40.22,40.83,1224600
2005-05-31,40.89,40.97,40.3,40.65,1917200
2005-06-01,40.41,41.06,40.3,40.87,2078100
2005-06-02,40.65,40.8,40.56,40.67,918800
2005-06-03,40.77,41.0,40.34,40.71,1000200
2005-06-06,40.66,40.84,40.53,40.72,670900
2005-06-07,40.87,41.37,40.71,40.79,1182500
2005-06-08,41.0,41.31,40.83,41.11,1061900
2005-06-09,40.53,40.9,40.51,40.77,1436500
2005-06-10,40.77,41.08,40.61,40.99,1145700
2005-06-13,40.89,41.18,40.6,41.09,792300
2005-06-14,41.43,41.43,40.99,41.24,973400
2005-06-15,41.29,41.29,40.32,40.76,1555900
2005-06-16,40.99,40.99,40.45,40.89,984500
2005-06-17,41.29,41.49,40.88,41.48,1995700
2005-06-20,41.26,41.47,41.08,41.27,1192800
2005-06-21,41.21,41.44,40.91,41.04,1047600
2005-06-22,41.26,41.69,41.19,41.57,1202800
2005-06-23,41.57,41.84,41.46,41.77,1104500
2005-06-24,41.8,41.81,41.35,41.4,1600800
2005-06-27,41.29,41.92,41.18,41.8,1395000
2005-06-28,41.95,42.45,41.8,42.37,1282600
2005-06-29,42.5,42.64,42.1,42.4,1125000
2005-06-30,42.4,42.72,42.03,42.06,1212800
2005-07-01,42.24,42.75,42.2,42.69,870400
2005-07-05,42.69,43.3,42.5,42.99,1407900
2005-07-06,42.95,43.07,42.16,42.18,1382200
2005-07-07,42.05,42.78,41.83,42.69,1674500
2005-07-08,42.88,43.44,42.7,43.34,1235200
2005-07-11,43.52,43.91,43.31,43.9,1374000
2005-07-12,43.86,44.03,43.6,43.81,972800
2005-07-13,43.8,44.13,43.75,44.0,944900
2005-07-14,44.34,44.59,43.43,43.83,1513500
2005-07-15,43.72,44.0,43.45,43.46,1100300
2005-07-18,43.57,43.81,43.45,43.54,865000
2005-07-19,43.64,43.71,43.26,43.35,1077100
2005-07-20,43.2,43.91,43.01,43.86,1111600
2005-07-21,43.8,43.99,42.7,42.77,2072400
2005-07-22,42.52,43.31,42.36,43.22,1251100
2005-07-25,43.15,43.41,42.82,42.87,942600
2005-07-26,42.8,42.99,42.61,42.74,1041800
2005-07-27,42.84,43.11,42.52,42.69,1279300
2005-07-28,42.79,43.2,42.7,43.16,884600
2005-07-29,43.1,43.24,42.91,43.12,1101900
2005-08-01,43.21,43.21,42.42,42.5,985400
2005-08-02,42.7,43.51,42.65,43.3,970800
2005-08-03,43.3,43.95,43.1,43.47,1481400
2005-08-04,43.2,43.4,42.85,42.86,864600
2005-08-05,42.59,42.7,41.77,42.1,1638400
2005-08-08,42.04,42.32,41.21,41.4,1340800
2005-08-09,41.47,41.91,41.47,41.8,1068700
2005-08-10,42.04,42.43,41.47,41.48,1478700
2005-08-11,41.55,41.85,41.29,41.49,1256400
2005-08-12,41.3,41.73,41.26,41.65,1125200
2005-08-15,41.48,41.88,41.43,41.82,1047000
2005-08-16,41.75,41.97,41.16,41.19,1125900
2005-08-17,40.92,41.05,40.3,40.73,1545400
2005-08-18,40.75,41.1,40.5,40.9,895600
2005-08-19,41.0,41.19,40.87,40.9,896000
2005-08-22,41.14,43.13,41.0,42.41,5546500
2005-08-23,42.6,43.56,42.6,43.4,2480800
2005-08-24,43.14,43.66,42.76,42.81,1898000
2005-08-25,43.1,43.46,43.0,43.24,1009000
2005-08-26,43.07,43.41,42.93,43.12,1024500
2005-08-29,42.75,43.53,42.67,43.5,753000
2005-08-30,43.3,43.56,42.78,43.15,1375600
2005-08-31,43.2,43.27,42.79,43.09,2126800
2005-09-01,43.15,44.2,43.09,44.06,2158900
2005-09-02,44.0,44.45,43.98,44.11,1028600
2005-09-06,44.36,44.97,44.36,44.96,1251700
2005-09-07,45.09,45.12,44.66,45.03,1511400
2005-09-08,44.85,45.06,44.6,44.67,1331800
2005-09-09,44.77,45.85,44.7,45.8,1636400
2005-09-12,46.1,46.28,45.25,45.38,2600100
2005-09-13,45.67,45.74,45.34,45.49,1419800
2005-09-14,45.7,45.97,45.47,45.7,1347400
2005-09-15,45.93,46.1,45.66,45.79,1572500
2005-09-16,46.03,46.07,45.5,46.0,2682500
