Date,Open,High,Low,Close,Volume
2005-01-03,43.8,43.8,42.22,42.36,9101900
2005-01-04,42.4,42.69,41.44,41.57,10778000
2005-01-05,42.0,42.46,41.61,41.67,5135900
2005-01-06,41.65,42.29,41.26,41.6,4993800
2005-01-07,41.96,42.44,41.38,41.5,5804500
2005-01-10,41.83,42.12,41.37,41.66,5225100
2005-01-11,41.94,42.55,41.85,42.44,5719800
2005-01-12,43.0,43.15,42.55,42.77,5968600
2005-01-13,42.77,42.77,42.16,42.29,4032900
2005-01-14,41.9,42.22,41.78,41.87,3095700
2005-01-18,41.8,42.51,41.6,42.46,4213900
2005-01-19,42.81,42.94,41.85,42.32,4151100
2005-01-20,42.08,42.4,41.76,41.76,3837400
2005-01-21,41.9,42.83,41.9,42.5,5435300
2005-01-24,42.75,42.93,42.14,42.2,4075400
2005-01-25,42.21,42.21,41.61,41.62,4056700
2005-01-26,42.0,42.31,41.94,42.04,2829500
2005-01-27,41.79,42.42,41.71,42.1,3468500
2005-01-28,42.26,42.4,41.68,42.0,3263600
2005-01-31,42.0,42.0,41.37,41.59,4176500
2005-02-01,41.47,41.73,41.18,41.44,3771500
2005-02-02,41.48,41.78,41.08,41.56,3170900
2005-02-03,40.99,41.13,40.6,40.88,4975800
2005-02-04,40.89,41.39,40.55,41.38,4653700
2005-02-07,41.6,41.74,40.27,40.54,7143600
2005-02-08,40.18,40.68,40.14,40.4,6656800
2005-02-09,40.27,40.64,40.07,40.5,6638400
2005-02-10,40.89,41.52,40.69,41.39,7585800
2005-02-11,41.88,42.23,41.52,42.13,6091300
2005-02-14,42.6,42.7,42.18,42.2,4594400
2005-02-15,42.2,42.6,41.95,42.34,4394100
2005-02-16,42.2,42.79,41.87,42.54,5085900
2005-02-17,42.3,42.8,42.3,42.63,4620900
2005-02-18,42.67,42.78,42.42,42.47,3051200
2005-02-22,43.0,44.5,42.85,44.5,8827900
2005-02-23,44.0,44.83,43.64,44.73,5969300
2005-02-24,44.99,45.0,44.14,44.7,4331500
2005-02-25,44.8,45.24,44.53,44.82,3574300
2005-02-28,45.0,45.25,44.76,45.0,4461900
2005-03-01,44.52,44.58,43.88,44.05,4473800
2005-03-02,43.9,44.18,43.39,44.1,5175000
2005-03-03,44.0,44.0,43.4,43.48,3594700
2005-03-04,44.0,44.87,43.95,44.63,4388200
2005-03-07,44.75,44.98,44.39,44.49,2953200
2005-03-08,44.93,46.31,44.91,45.86,6237800
2005-03-09,45.9,46.64,45.9,46.24,6055000
2005-03-10,46.3,46.46,45.33,45.74,4827100
2005-03-11,45.77,46.6,45.48,45.68,3524600
2005-03-14,45.34,45.35,44.56,45.29,4045300
2005-03-15,45.5,45.61,45.01,45.12,2817400
2005-03-16,45.43,45.78,44.73,44.94,4129200
2005-03-17,44.42,44.89,44.07,44.64,3806200
2005-03-18,44.5,44.8,44.27,44.76,4049800
2005-03-21,43.72,43.86,43.41,43.52,3920800
2005-03-22,43.64,44.13,42.7,42.71,5009300
2005-03-23,43.1,43.1,41.86,41.86,6815900
2005-03-24,42.0,42.39,41.68,41.79,3632400
2005-03-28,41.7,42.3,41.68,41.7,4968400
2005-03-29,41.45,42.11,41.41,41.48,5515000
2005-03-30,41.63,42.53,41.61,42.41,4394900
2005-03-31,42.7,42.99,42.24,42.25,4634300
2005-04-01,42.0,42.6,41.61,42.45,4354300
2005-04-04,42.26,42.26,41.53,41.82,3530800
2005-04-05,41.91,42.34,41.66,41.77,2449900
2005-04-06,42.04,42.42,41.75,42.16,2515300
2005-04-07,42.23,42.55,41.98,42.22,2176200
2005-04-08,42.09,42.45,41.76,41.98,2448900
2005-04-11,42.29,42.36,41.74,41.85,2668000
2005-04-12,41.8,41.94,41.08,41.81,4237200
2005-04-13,41.84,42.08,41.25,41.44,3390200
2005-04-14,40.9,41.02,39.8,40.21,6742200
2005-04-15,40.5,40.76,39.6,39.77,4822300
2005-04-18,39.8,40.99,39.8,40.85,4665300
2005-04-19,40.99,42.0,40.82,41.85,4578800
2005-04-20,41.7,42.11,41.0,41.22,4602600
2005-04-21,41.24,41.46,40.6,40.77,4207400
2005-04-22,41.02,41.3,40.34,40.73,4261000
2005-04-25,40.7,40.93,40.19,40.92,3192500
2005-04-26,41.62,41.63,40.23,40.25,4159100
2005-04-27,38.6,39.0,37.1,37.7,14055900
2005-04-28,37.35,37.4,36.27,36.83,9462500
2005-04-29,37.05,38.23,37.05,37.97,8454400
2005-05-02,37.85,37.89,37.36,37.72,3655000
2005-05-03,37.58,38.19,37.45,38.12,4707700
2005-05-04,38.54,38.89,38.29,38.86,4654200
2005-05-05,38.86,38.87,38.27,38.47,3195300
2005-05-06,38.1,38.25,37.66,38.12,3444500
2005-05-09,38.12,38.34,37.88,38.29,2179400
2005-05-10,38.32,38.5,37.41,37.53,3673500
2005-05-11,37.4,37.71,36.9,37.18,4389000
2005-05-12,36.86,37.01,35.96,36.09,5525600
2005-05-13,36.0,36.41,35.05,35.31,7122400
2005-05-16,35.27,35.76,34.9,35.1,7032700
2005-05-17,35.24,35.65,35.22,35.51,6364900
2005-05-18,35.6,36.47,35.6,36.1,4694100
2005-05-19,36.1,36.18,35.53,35.99,4363800
2005-05-20,35.78,35.79,35.29,35.43,4084700
2005-05-23,35.42,36.72,35.29,35.91,5040800
2005-05-24,36.24,36.91,36.2,36.77,5029900
2005-05-25,36.98,37.02,36.32,36.69,3947100
2005-05-26,36.69,36.84,36.49,36.5,2549300
2005-05-27,36.68,37.7,36.61,37.59,4381200
2005-05-31,36.75,37.49,36.6,37.24,6062700
2005-06-01,37.3,37.98,37.04,37.76,5542000
2005-06-02,38.09,38.85,37.59,37.65,6962600
2005-06-03,38.04,38.5,37.85,38.05,5044300
2005-06-06,38.55,38.6,37.58,37.61,4514400
2005-06-07,37.62,37.62,36.88,36.88,4481400
2005-06-08,36.99,37.39,36.62,36.75,5293000
2005-06-09,36.75,37.34,36.38,36.87,4449900
2005-06-10,36.94,38.24,36.67,38.07,6204600
2005-06-13,38.3,38.8,38.02,38.53,7598600
2005-06-14,38.54,38.54,37.68,38.08,4362300
2005-06-15,38.24,38.65,38.1,38.39,3803000
2005-06-16,38.93,39.85,38.93,39.72,6158100
2005-06-17,40.0,40.33,39.73,39.99,5955000
2005-06-20,39.93,40.21,39.27,39.34,3883500
2005-06-21,39.15,39.8,38.77,39.52,4111800
2005-06-22,39.53,39.59,39.15,39.49,2445700
2005-06-23,39.49,40.34,39.44,39.51,4093900
2005-06-24,39.65,40.3,39.15,39.71,4898900
2005-06-27,39.7,39.71,39.07,39.08,3378400
2005-06-28,38.83,38.89,38.37,38.62,3704600
2005-06-29,38.59,39.86,38.58,39.73,4037800
2005-06-30,39.72,39.86,38.9,39.03,3680100
2005-07-01,38.95,39.25,37.99,38.93,4032400
2005-07-05,38.5,38.58,37.96,38.02,4762500
2005-07-06,38.2,38.81,38.18,38.25,3682300
2005-07-07,38.51,38.75,37.83,38.11,4472800
2005-07-08,38.2,38.68,37.98,38.05,3551400
2005-07-11,38.25,38.92,38.05,38.66,3934900
2005-07-12,38.98,39.08,38.37,38.46,3784000
2005-07-13,38.35,38.41,37.99,38.04,3576400
2005-07-14,38.19,38.35,37.31,37.37,4926800
2005-07-15,37.3,37.37,36.86,36.86,5659700
2005-07-18,36.86,37.28,36.77,36.88,3418000
2005-07-19,36.89,37.42,36.55,37.19,2784800
2005-07-20,37.53,38.14,37.34,37.42,5435000
2005-07-21,37.86,38.73,37.86,38.34,5663300
2005-07-22,38.39,38.77,38.19,38.43,2743700
2005-07-25,38.54,38.57,37.81,37.94,3597300
2005-07-26,37.84,37.85,37.23,37.4,3454500
2005-07-27,37.81,38.13,37.65,37.87,4080300
2005-07-28,38.08,38.2,37.86,37.95,3644600
2005-07-29,38.05,38.43,37.52,37.55,4420000
2005-08-01,37.91,38.06,37.43,37.59,3421100
2005-08-02,37.65,38.68,37.65,38.14,4015500
2005-08-03,38.65,40.27,38.65,40.17,8079300
2005-08-04,40.3,40.6,39.5,39.58,5986300
2005-08-05,39.75,39.85,38.88,39.19,3639000
2005-08-08,39.16,39.9,38.87,38.96,3461100
2005-08-09,38.94,39.53,38.68,39.25,3567700
2005-08-10,39.75,40.05,39.55,39.85,4132600
2005-08-11,40.3,41.47,40.28,41.35,7561900
2005-08-12,41.45,41.64,40.91,41.47,5920000
2005-08-15,41.19,41.19,40.66,41.06,3839300
2005-08-16,41.06,41.69,40.8,40.85,4275600
2005-08-17,40.75,40.75,39.92,39.93,5927200
2005-08-18,40.23,40.64,39.91,40.13,3290900
2005-08-19,40.18,40.45,40.01,40.32,2980500
2005-08-22,40.55,41.05,39.97,40.17,4724000
2005-08-23,40.16,40.69,39.98,40.0,3045300
2005-08-24,40.25,40.46,38.96,39.05,5306800
2005-08-25,39.3,39.74,39.19,39.23,2762700
2005-08-26,39.4,39.55,39.18,39.18,2186100
2005-08-29,39.28,39.67,39.22,39.29,2680200
2005-08-30,38.72,39.32,38.4,38.87,4496300
2005-08-31,38.91,39.58,38.7,39.58,3294500
2005-09-01,40.25,40.98,40.2,40.93,5808400
2005-09-02,41.15,41.15,40.52,40.71,3621600
2005-09-06,41.0,41.0,40.21,40.41,3065700
2005-09-07,40.43,40.68,40.32,40.47,2456300
2005-09-08,40.83,41.65,40.83,41.0,5166600
2005-09-09,41.5,42.57,41.37,42.44,7749100
2005-09-12,42.19,42.42,41.93,42.32,5149200
2005-09-13,42.32,42.32,41.66,41.74,4636600
2005-09-14,42.18,44.05,42.18,43.94,10622200
2005-09-15,44.5,45.19,44.21,44.99,11704100
2005-09-16,45.7,46.21,45.2,46.21,13086400
2005-09-19,47.0,47.25,45.7,46.11,12710100
2005-09-20,46.03,46.58,44.72,44.81,6561300
2005-09-21,45.37,46.32,45.25,46.23,6286200
2005-09-22,46.3,46.3,45.05,46.2,8128700
2005-09-23,45.9,45.91,45.14,45.63,5711800
2005-09-26,45.64,47.23,44.85,46.68,8227900
2005-09-27,46.2,46.51,45.4,46.33,5682600
2005-09-28,46.58,47.7,46.0,47.54,6607700
2005-09-29,47.55,48.08,47.18,48.05,8029900
2005-09-30,48.05,48.2,47.02,47.17,5519700
2005-10-03,46.52,47.1,46.02,47.01,4685800
2005-10-04,47.0,47.25,46.1,46.2,4884300
2005-10-05,46.2,46.21,44.99,45.04,6287100
2005-10-06,45.42,47.02,45.35,46.91,7528400
2005-10-07,46.71,47.63,46.38,47.52,6736000
2005-10-10,47.64,47.9,46.88,47.3,3797100
2005-10-11,47.2,47.64,46.73,47.07,4862100
2005-10-12,47.16,47.5,45.69,46.03,5776400
2005-10-13,45.25,45.62,44.35,45.55,7546700
2005-10-14,44.85,45.36,44.02,44.98,6164000
2005-10-17,45.98,46.38,45.8,45.82,4199400
2005-10-18,45.39,45.93,44.65,44.84,4493700
2005-10-19,44.1,44.14,43.0,44.11,6258300
2005-10-20,43.57,44.65,42.75,43.28,7121700
2005-10-21,43.4,44.4,43.1,43.86,7524500
2005-10-24,43.51,45.21,43.5,44.99,5613500
2005-10-25,45.62,46.93,45.51,45.66,6253900
2005-10-26,45.46,46.39,43.92,44.09,6082600
2005-10-27,44.85,45.2,43.71,43.95,4200100
2005-10-28,43.7,44.27,43.06,44.13,4624000
2005-10-31,44.14,44.14,42.58,42.6,7698000
2005-11-01,42.73,43.12,42.31,42.53,5561700
2005-11-02,42.8,43.49,42.8,43.17,4595900
2005-11-03,43.17,43.34,42.35,42.51,4676100
