Date,Open,High,Low,Close,Volume
2005-01-03,17.64,17.64,16.96,16.97,2452000
2005-01-04,17.07,17.25,16.94,16.96,2047200
2005-01-05,16.88,17.08,16.66,16.8,1957600
2005-01-06,16.66,17.26,16.66,17.12,2435200
2005-01-07,17.05,17.09,16.59,16.62,3655000
2005-01-10,16.92,17.19,16.77,16.83,2802400
2005-01-11,16.85,17.02,16.54,16.97,1506400
2005-01-12,16.93,17.46,16.75,17.42,2951800
2005-01-13,17.53,17.9,17.42,17.55,3326400
2005-01-14,17.56,18.0,17.5,17.98,3266600
2005-01-18,18.13,18.52,17.7,17.98,3007200
2005-01-19,17.98,18.17,17.81,17.86,2152600
2005-01-20,17.84,18.1,17.44,17.94,3005000
2005-01-21,18.02,18.35,17.96,17.98,2003200
2005-01-24,18.2,18.32,18.03,18.13,2987400
2005-01-25,18.32,18.54,17.92,18.15,2574800
2005-01-26,18.2,18.35,17.92,18.28,2608800
2005-01-27,18.33,18.72,18.24,18.54,1670600
2005-01-28,18.54,18.54,18.02,18.25,2134600
2005-01-31,18.14,18.44,17.84,18.44,2174400
2005-02-01,18.48,18.78,18.34,18.54,2353400
2005-02-02,18.58,19.15,18.58,19.14,2531600
2005-02-03,19.14,19.25,18.68,19.24,2108200
2005-02-04,19.42,19.43,18.96,19.22,3554000
2005-02-07,19.2,19.22,18.54,18.8,1742000
2005-02-08,18.8,19.02,18.65,19.0,1786800
2005-02-09,19.01,19.36,18.88,19.06,2699400
2005-02-10,19.26,19.82,19.12,19.82,4704000
2005-02-11,19.82,20.44,19.72,20.34,5737800
2005-02-14,20.38,20.42,19.58,19.76,4915000
2005-02-15,19.81,20.08,19.76,20.02,1924200
2005-02-16,20.02,20.57,19.86,20.54,3103800
2005-02-17,20.62,20.88,20.32,20.32,3019800
2005-02-18,20.43,20.94,20.4,20.92,2687200
2005-02-22,21.08,21.18,20.44,20.5,3851200
2005-02-23,20.5,21.02,20.48,21.0,3135400
2005-02-24,21.08,21.75,20.94,21.73,3835800
2005-02-25,22.1,22.74,22.07,22.36,5070400
2005-02-28,22.75,23.24,21.91,22.67,6178400
2005-03-01,22.67,22.88,21.62,21.9,4500000
2005-03-02,21.94,22.54,21.83,22.23,4400400
2005-03-03,22.41,23.26,22.38,23.1,4116200
2005-03-04,23.19,23.7,22.91,23.67,2660800
2005-03-07,23.57,24.22,23.34,24.06,5621400
2005-03-08,24.36,24.85,23.94,24.22,8468600
2005-03-09,24.3,24.56,24.0,24.01,8033600
2005-03-10,23.88,24.09,23.3,23.8,8824600
2005-03-11,23.77,24.43,23.7,24.42,38627800
2005-03-14,24.3,25.15,24.22,25.1,7612400
2005-03-15,25.1,25.25,24.62,24.66,5891000
2005-03-16,24.4,24.76,23.95,24.35,6281200
2005-03-17,24.65,24.99,24.35,24.88,3159800
2005-03-18,24.88,24.88,24.3,24.66,5624800
2005-03-21,24.66,24.72,24.25,24.44,2959000
2005-03-22,24.43,24.68,24.05,24.2,6093400
2005-03-23,24.67,24.67,23.08,23.47,5830600
2005-03-24,23.55,23.92,23.39,23.54,3517800
2005-03-28,23.54,23.7,23.22,23.52,2417800
2005-03-29,23.52,24.05,22.76,22.9,4572200
2005-03-30,22.9,23.0,22.2,23.0,4880000
2005-03-31,23.32,23.5,23.2,23.35,3783600
2005-04-01,23.5,23.68,23.06,23.52,4070200
2005-04-04,23.92,23.96,23.17,23.45,3641200
2005-04-05,23.2,23.63,23.02,23.48,3962400
2005-04-06,23.47,23.9,23.22,23.76,3962200
2005-04-07,23.92,23.94,23.01,23.22,2634600
2005-04-08,23.22,23.35,22.58,22.66,2564000
2005-04-11,22.62,23.06,22.34,22.92,2883600
2005-04-12,22.8,22.82,22.05,22.27,2981600
2005-04-13,22.15,22.42,21.64,21.72,3957800
2005-04-14,21.8,21.91,21.3,21.38,3759400
2005-04-15,21.38,21.49,20.5,20.61,3333800
2005-04-18,20.65,21.02,20.33,20.82,2244400
2005-04-19,21.02,21.68,20.92,21.5,2965800
2005-04-20,21.52,21.64,20.5,20.58,4531400
2005-04-21,20.7,21.4,20.53,21.36,2800800
2005-04-22,21.45,21.69,20.98,21.41,2897800
2005-04-25,21.56,21.9,21.39,21.84,2378600
2005-04-26,21.8,22.14,21.42,21.42,3362400
2005-04-27,21.42,21.42,20.39,20.65,3138200
2005-04-28,20.3,20.3,19.98,20.02,3773200
2005-04-29,20.21,20.4,19.64,19.87,2914200
2005-05-02,19.87,20.46,19.72,20.32,3710000
2005-05-03,20.32,20.46,20.0,20.1,3989800
2005-05-04,20.1,20.98,19.99,20.9,4095800
2005-05-05,20.98,21.38,20.9,21.3,6200400
2005-05-06,21.98,22.05,21.48,21.74,4495600
2005-05-09,21.92,22.5,21.69,22.47,5256200
2005-05-10,22.47,22.66,21.78,21.92,4291600
2005-05-11,21.75,22.1,21.5,22.03,2616600
2005-05-12,22.47,22.47,20.7,20.82,3526200
2005-05-13,20.91,21.32,20.46,20.56,3896000
2005-05-16,20.51,20.55,19.64,20.42,5432200
2005-05-17,20.42,20.88,20.37,20.88,2919400
2005-05-18,21.34,21.34,20.47,20.82,3436600
2005-05-19,20.85,21.23,20.73,21.05,2498400
2005-05-20,21.05,21.51,20.94,21.1,4158600
2005-05-23,21.1,21.44,20.78,21.42,2114200
2005-05-24,21.44,21.65,21.16,21.32,2885600
2005-05-25,21.48,21.72,21.13,21.62,4344400
2005-05-26,21.66,21.91,21.5,21.87,2922200
2005-05-27,21.98,22.28,21.87,22.2,2164000
2005-05-31,21.7,22.58,21.48,22.5,8011600
2005-06-01,22.5,22.71,22.27,22.28,3486600
2005-06-02,22.28,22.4,21.82,22.36,2881000
2005-06-03,22.4,22.78,22.34,22.56,3070000
2005-06-06,22.68,22.87,22.54,22.64,3076000
2005-06-07,22.7,23.06,22.43,22.5,2682600
2005-06-08,22.5,22.88,22.18,22.49,3477200
2005-06-09,22.51,23.25,22.45,23.18,3514200
2005-06-10,23.25,23.42,22.8,23.08,2059600
2005-06-13,22.98,23.5,22.82,23.44,2249400
2005-06-14,23.38,23.55,23.08,23.34,2175000
2005-06-15,23.4,23.65,23.11,23.54,3542000
2005-06-16,23.58,24.0,23.44,24.0,2665200
2005-06-17,24.25,24.32,23.8,24.26,4825200
2005-06-20,24.26,24.62,23.96,24.23,4063400
2005-06-21,24.23,24.23,23.34,23.37,2704600
2005-06-22,23.37,23.52,22.88,23.36,3215000
2005-06-23,23.4,24.1,23.18,23.78,2377800
2005-06-24,23.78,23.86,23.18,23.42,4715400
2005-06-27,23.5,23.88,23.5,23.75,2523600
2005-06-28,23.76,23.8,23.32,23.5,3633000
2005-06-29,23.7,23.76,23.38,23.58,2528800
2005-06-30,23.66,24.1,23.55,23.77,4131400
2005-07-01,23.78,23.92,23.64,23.9,2288200
2005-07-05,24.02,24.38,23.85,24.35,3007000
2005-07-06,24.44,24.52,23.81,24.06,2507600
2005-07-07,23.75,24.08,23.2,24.04,3311600
2005-07-08,24.08,24.24,23.62,23.72,1882200
2005-07-11,23.72,23.91,23.34,23.91,2787800
2005-07-12,23.99,25.08,23.89,24.73,3721400
2005-07-13,24.73,24.75,24.09,24.14,2531400
2005-07-14,24.35,24.55,23.52,23.8,3445400
2005-07-15,24.0,24.15,23.44,23.44,2812400
2005-07-18,23.44,23.65,23.1,23.35,2244000
2005-07-19,23.4,24.18,23.25,24.14,2711800
2005-07-20,24.18,24.42,23.7,24.3,2574000
2005-07-21,24.22,24.6,24.01,24.26,3540600
2005-07-22,24.5,25.82,24.48,25.74,4921800
2005-07-25,25.98,26.28,25.5,25.88,4003800
2005-07-26,25.87,25.96,25.42,25.78,2389600
2005-07-27,25.77,26.1,25.36,26.0,2714800
2005-07-28,26.25,26.44,25.72,26.12,4140400
2005-07-29,26.3,26.5,26.1,26.18,2544800
2005-08-01,26.2,27.37,26.2,26.97,6644400
2005-08-02,27.59,28.02,27.5,28.0,11776200
2005-08-03,28.6,28.8,28.2,28.4,9344800
2005-08-04,28.55,29.24,28.5,28.92,7120000
2005-08-05,29.55,29.67,27.78,28.5,11610800
2005-08-08,29.05,29.66,28.92,29.51,6554000
2005-08-09,29.52,29.57,28.89,29.18,4017800
2005-08-10,29.26,29.98,29.26,29.93,4751000
2005-08-11,30.0,30.44,29.85,30.3,4977600
2005-08-12,30.26,30.44,29.96,30.04,2709600
2005-08-15,29.98,30.04,29.38,29.43,3261000
2005-08-16,29.39,29.5,28.79,28.93,3617400
2005-08-17,28.83,29.2,27.8,28.25,5207200
2005-08-18,27.72,28.63,27.7,28.32,4744400
2005-08-19,28.88,29.5,28.8,29.16,4111400
2005-08-22,29.2,29.44,28.7,28.86,2997800
2005-08-23,28.98,29.3,28.81,29.2,3061800
2005-08-24,29.25,29.88,29.25,29.64,3652400
2005-08-25,29.64,29.66,29.24,29.58,2001600
2005-08-26,29.58,29.75,29.09,29.16,1788800
2005-08-29,29.2,30.12,28.95,29.26,3678600
2005-08-30,29.36,30.24,29.36,29.94,4635800
2005-08-31,30.25,32.15,30.24,32.1,8405400
2005-09-01,32.59,33.03,32.1,32.77,7195400
2005-09-02,32.5,32.5,31.42,31.55,3731200
2005-09-06,31.43,31.97,30.56,31.93,4105000
2005-09-07,31.93,32.39,31.86,32.06,3391000
2005-09-08,32.05,32.27,31.68,31.8,2222400
2005-09-09,31.98,32.62,31.78,32.62,2852200
2005-09-12,32.55,32.55,31.72,31.75,2749800
2005-09-13,31.5,32.18,31.5,31.95,2477600
2005-09-14,31.88,32.3,31.55,31.98,2424000
2005-09-15,32.07,32.46,30.99,31.76,3637000
