Date,Open,High,Low,Close,Volume
2005-01-03,44.35,44.55,43.52,43.98,1384400
2005-01-04,43.9,43.97,43.09,43.35,1776800
2005-01-05,43.21,43.79,42.47,42.47,2083100
2005-01-06,42.3,43.01,42.24,42.89,2095900
2005-01-07,42.92,43.13,42.73,42.88,1226200
2005-01-10,42.63,43.07,42.53,42.73,797100
2005-01-11,42.73,42.87,42.2,42.62,828000
2005-01-12,42.53,42.87,42.15,42.84,1081600
2005-01-13,42.65,42.76,42.11,42.18,1093300
2005-01-14,42.1,42.25,41.87,42.19,1829100
2005-01-18,41.85,42.49,41.76,42.41,1025600
2005-01-19,42.25,42.29,41.78,41.82,1150800
2005-01-20,41.79,41.8,41.21,41.38,1970900
2005-01-21,41.45,41.51,41.06,41.15,2116800
2005-01-24,41.1,41.44,41.07,41.07,1107300
2005-01-25,41.2,41.88,41.09,41.21,1736900
2005-01-26,41.65,41.99,41.27,41.92,3124900
2005-01-27,41.92,42.86,41.92,42.58,2224600
2005-01-28,42.59,42.66,42.33,42.65,1466300
2005-01-31,43.2,43.25,42.91,43.15,1250800
2005-02-01,43.15,43.38,42.93,43.15,1175800
2005-02-02,43.35,43.44,43.1,43.15,1271400
2005-02-03,43.05,43.07,42.65,42.99,910100
2005-02-04,42.95,44.21,42.95,44.13,1256200
2005-02-07,44.03,44.96,44.01,44.72,1497600
2005-02-08,44.85,44.85,44.45,44.63,936500
2005-02-09,44.56,44.67,43.81,43.98,997300
2005-02-10,44.0,44.6,43.9,44.34,834000
2005-02-11,44.38,45.17,44.11,44.84,840000
2005-02-14,44.7,44.88,44.6,44.8,538900
2005-02-15,44.7,45.25,44.61,45.19,724500
2005-02-16,44.9,45.29,44.75,45.16,992600
2005-02-17,44.95,45.27,44.87,45.0,971800
2005-02-18,45.05,45.46,45.03,45.2,791300
2005-02-22,44.92,45.2,44.2,44.25,1191900
2005-02-23,44.4,44.62,44.1,44.52,1006200
2005-02-24,44.52,44.88,44.3,44.88,1299900
2005-02-25,44.72,45.46,44.57,45.42,1349700
2005-02-28,45.1,45.3,44.61,44.83,1333600
2005-03-01,44.83,45.59,44.83,45.4,1423800
2005-03-02,45.0,45.9,44.85,45.77,1626900
2005-03-03,45.9,46.04,45.55,45.9,1208900
2005-03-04,46.2,47.17,46.1,47.17,2096700
2005-03-07,47.71,48.36,47.53,47.75,2500000
2005-03-08,47.97,47.97,47.56,47.73,1526600
