Date,Open,High,Low,Close,Volume
2005-01-03,47.17,47.31,46.7,46.84,224700
2005-01-04,47.05,47.13,46.11,46.4,170300
2005-01-05,46.6,46.89,46.41,46.54,258700
2005-01-06,46.64,46.87,46.15,46.83,260900
2005-01-07,46.75,46.93,46.4,46.75,129700
2005-01-10,46.85,46.96,46.5,46.61,146500
2005-01-11,46.61,46.61,46.22,46.41,154000
2005-01-12,46.26,46.32,45.96,46.23,119700
2005-01-13,46.1,46.3,45.99,46.0,85400
2005-01-14,46.15,46.23,45.96,46.04,134900
2005-01-18,46.0,46.5,45.88,46.5,153300
2005-01-19,46.51,46.63,46.18,46.54,139800
2005-01-20,46.54,47.0,46.53,46.81,231600
2005-01-21,46.95,46.99,46.6,46.65,110000
2005-01-24,46.55,46.59,46.22,46.33,129200
2005-01-25,46.33,46.65,45.79,45.93,207200
2005-01-26,45.93,46.0,45.65,45.82,195800
2005-01-27,45.84,46.17,45.6,46.08,252300
2005-01-28,46.08,46.27,45.82,46.22,191700
2005-01-31,46.22,46.72,46.03,46.65,90700
2005-02-01,46.45,46.91,46.31,46.9,236700
2005-02-02,46.9,47.73,46.83,47.68,340500
2005-02-03,47.68,47.75,47.22,47.73,265100
2005-02-04,47.73,47.88,47.54,47.87,149700
2005-02-07,47.82,48.99,47.8,48.99,360800
2005-02-08,48.74,48.74,47.71,48.3,378900
2005-02-09,48.35,48.35,47.76,47.81,84900
2005-02-10,47.6,47.78,47.33,47.44,191100
2005-02-11,47.4,47.61,47.09,47.44,99400
2005-02-14,47.27,47.72,47.12,47.62,93000
2005-02-15,47.5,48.04,47.5,47.95,177400
2005-02-16,47.95,48.06,47.76,47.86,153700
2005-02-17,47.9,48.41,47.86,48.31,315500
2005-02-18,48.2,48.26,47.1,48.19,396000
2005-02-22,48.01,48.19,47.4,47.71,351200
2005-02-23,47.71,48.59,47.71,48.53,267800
2005-02-24,48.54,48.84,48.36,48.75,296600
2005-02-25,48.6,48.94,48.6,48.94,123400
2005-02-28,49.15,49.51,49.02,49.16,270600
2005-03-01,49.41,49.62,49.37,49.62,232400
2005-03-02,49.47,50.29,49.47,49.98,283100
2005-03-03,50.0,50.78,49.96,50.76,403600
2005-03-04,50.86,51.65,50.65,51.5,538200
2005-03-07,51.51,51.62,51.31,51.48,319900
2005-03-08,51.43,51.43,50.9,51.1,329700
2005-03-09,51.0,51.02,50.45,50.57,284700
2005-03-10,50.72,51.03,50.6,51.03,428100
2005-03-11,51.04,51.14,50.81,51.0,325400
2005-03-14,50.94,51.6,50.94,51.6,231600
2005-03-15,51.52,51.53,51.0,51.1,246300
2005-03-16,51.1,51.1,50.0,50.2,279800
2005-03-17,50.21,50.21,49.68,49.94,186700
2005-03-18,49.85,49.93,49.22,49.38,286500
2005-03-21,49.3,49.3,48.8,49.2,218900
2005-03-22,49.05,49.19,48.6,48.65,229700
2005-03-23,48.65,49.12,48.51,48.8,165700
2005-03-24,48.9,49.09,48.52,48.95,206400
2005-03-28,49.05,49.86,49.0,49.54,182200
2005-03-29,49.54,50.0,49.51,49.77,188500
2005-03-30,49.78,50.11,49.71,49.83,206300
2005-03-31,49.82,50.35,49.46,50.3,200100
2005-04-01,50.48,50.49,49.65,49.68,180200
2005-04-04,49.69,49.91,49.4,49.86,152800
2005-04-05,49.86,50.18,49.75,50.06,105700
2005-04-06,50.31,50.31,49.69,49.78,148700
2005-04-07,49.79,50.18,49.67,49.97,159000
2005-04-08,49.97,49.97,49.53,49.67,230200
2005-04-11,49.67,49.72,49.45,49.53,120100
2005-04-12,49.53,50.22,49.32,50.07,147700
2005-04-13,49.95,50.1,49.88,50.0,149500
2005-04-14,50.0,50.23,50.0,50.12,109700
2005-04-15,50.12,50.15,49.9,50.01,229900
2005-04-18,50.0,50.3,49.96,50.21,295900
2005-04-19,50.0,50.25,49.93,50.15,300400
2005-04-20,50.02,50.2,49.67,49.69,249300
2005-04-21,49.7,49.7,49.25,49.43,238800
2005-04-22,49.38,49.52,48.56,48.8,301100
2005-04-25,48.82,49.87,48.82,49.82,214900
2005-04-26,49.7,49.92,49.4,49.64,134500
2005-04-27,49.64,49.75,49.11,49.47,243200
2005-04-28,49.37,49.37,48.98,49.08,216700
2005-04-29,49.28,49.72,49.1,49.62,164700
2005-05-02,49.5,49.66,49.44,49.58,192700
2005-05-03,49.58,49.6,49.18,49.39,162500
2005-05-04,49.39,49.49,49.28,49.36,183600
2005-05-05,49.31,49.46,48.99,49.3,110200
2005-05-06,49.22,49.39,49.0,49.2,83700
2005-05-09,49.2,49.59,49.18,49.57,216300
2005-05-10,49.4,49.94,49.36,49.89,141600
2005-05-11,50.05,50.48,49.91,50.38,217400
2005-05-12,50.36,50.55,49.9,50.11,260100
2005-05-13,50.16,50.43,49.88,50.3,136600
2005-05-16,50.25,50.8,50.21,50.67,266000
2005-05-17,50.67,50.78,50.35,50.77,212900
2005-05-18,50.78,51.04,50.67,50.87,144300
2005-05-19,50.92,50.92,50.64,50.74,141900
2005-05-20,50.7,50.78,50.47,50.51,126800
2005-05-23,50.56,50.79,50.46,50.67,141300
2005-05-24,50.7,50.7,50.4,50.45,100800
2005-05-25,50.3,50.35,49.9,50.12,141800
2005-05-26,50.22,50.28,49.95,50.1,118000
2005-05-27,49.95,50.25,49.91,50.17,95100
2005-05-31,50.1,50.15,49.81,49.81,111100
2005-06-01,49.91,50.65,49.91,50.48,227700
2005-06-02,50.45,50.53,50.25,50.32,167200
2005-06-03,50.45,50.58,50.3,50.53,87300
2005-06-06,50.53,50.58,50.09,50.11,196400
2005-06-07,50.25,50.6,50.14,50.25,134600
2005-06-08,50.1,50.19,49.55,49.64,147400
2005-06-09,49.65,50.11,49.5,49.99,126600
2005-06-10,50.09,50.37,50.0,50.13,107100
2005-06-13,50.13,50.36,49.94,50.2,177200
2005-06-14,50.11,50.5,50.08,50.4,185100
2005-06-15,50.6,51.03,50.38,50.84,230300
2005-06-16,50.44,50.66,50.0,50.33,342700
2005-06-17,50.2,50.21,48.42,48.6,838600
2005-06-20,48.6,48.63,47.83,48.36,432900
2005-06-21,48.32,48.37,48.1,48.25,205900
2005-06-22,48.3,48.44,48.14,48.27,340700
2005-06-23,48.22,48.35,48.19,48.25,345700
2005-06-24,48.25,48.25,47.69,47.69,235400
2005-06-27,47.85,47.85,47.39,47.4,373500
2005-06-28,47.55,47.66,47.12,47.2,287700
2005-06-29,47.23,47.25,47.05,47.18,259200
2005-06-30,47.18,47.44,46.94,46.94,287700
2005-07-01,47.1,47.27,46.95,47.18,356200
2005-07-05,47.0,47.1,46.89,47.05,241300
2005-07-06,46.99,47.0,46.2,46.5,491500
2005-07-07,46.4,46.63,46.2,46.35,303200
2005-07-08,46.4,46.68,46.35,46.39,500800
2005-07-11,46.43,46.55,46.08,46.4,340300
2005-07-12,46.33,46.63,46.33,46.51,207100
2005-07-13,46.51,46.52,45.94,46.31,183800
2005-07-14,46.56,46.84,46.5,46.69,336400
2005-07-15,46.64,46.87,46.45,46.81,223700
2005-07-18,46.79,47.01,46.54,46.9,219100
2005-07-19,46.96,47.27,46.9,47.23,196100
2005-07-20,47.07,47.21,46.65,46.85,126800
2005-07-21,46.87,47.1,46.65,46.96,210700
2005-07-22,46.94,47.2,46.85,47.2,129500
2005-07-25,47.18,47.18,46.37,46.72,124500
2005-07-26,46.92,47.3,46.7,47.01,190800
2005-07-27,47.17,47.4,46.66,47.4,247400
2005-07-28,47.49,47.96,47.27,47.95,210900
2005-07-29,47.94,48.06,47.5,47.57,193800
2005-08-01,47.62,47.74,46.62,46.94,223100
2005-08-02,46.98,47.53,46.77,47.53,177400
2005-08-03,47.43,48.0,47.43,47.88,180200
2005-08-04,47.73,48.2,47.45,48.08,313200
2005-08-05,47.98,48.03,47.47,47.6,237400
2005-08-08,47.5,47.73,47.29,47.53,127200
2005-08-09,47.67,47.67,47.15,47.5,204400
2005-08-10,47.45,47.67,47.01,47.25,138300
2005-08-11,47.25,47.36,46.65,47.36,231200
2005-08-12,47.09,47.09,46.6,47.08,168300
2005-08-15,47.26,47.55,47.1,47.55,152500
2005-08-16,47.47,47.47,46.83,46.87,148300
2005-08-17,46.75,47.17,46.71,47.05,111200
2005-08-18,46.9,47.93,46.8,47.93,251800
2005-08-19,48.03,48.27,47.8,48.02,182900
2005-08-22,46.75,46.76,44.64,46.01,1512600
2005-08-23,46.01,46.47,45.29,45.7,628200
2005-08-24,45.71,46.3,45.71,46.0,287200
2005-08-25,46.2,47.45,46.2,47.13,336800
2005-08-26,47.15,47.21,46.97,46.99,233300
2005-08-29,46.76,47.37,46.73,47.28,153900
2005-08-30,47.03,47.46,46.9,47.46,247200
2005-08-31,47.46,47.73,47.29,47.72,249500
2005-09-01,47.72,48.07,47.49,47.95,187700
2005-09-02,47.99,48.19,47.52,48.04,101100
2005-09-06,48.1,48.19,47.8,48.01,150900
2005-09-07,47.91,47.91,47.34,47.74,149200
2005-09-08,47.74,47.74,47.42,47.56,136600
2005-09-09,47.5,48.25,47.5,48.02,147800
2005-09-12,48.0,48.23,48.0,48.1,123300
2005-09-13,48.1,48.22,47.64,47.98,143800
2005-09-14,47.98,48.03,47.22,47.37,156900
2005-09-15,47.43,48.32,47.4,48.1,161800
2005-09-16,48.11,48.57,48.11,48.24,259000
2005-09-19,48.09,48.11,47.91,47.98,151300
2005-09-20,47.99,48.24,47.86,47.86,278600
2005-09-21,47.76,47.85,47.28,47.48,170100
2005-09-22,47.4,47.44,46.67,46.86,177500
2005-09-23,46.71,47.4,46.6,47.11,92300
2005-09-26,47.31,47.82,47.21,47.45,142200
2005-09-27,47.7,47.71,47.28,47.42,189000
2005-09-28,47.32,47.9,47.27,47.74,107300
2005-09-29,47.75,48.4,47.55,48.4,147000
2005-09-30,48.4,48.54,48.15,48.54,124600
2005-10-03,48.54,48.93,48.53,48.75,167600
2005-10-04,48.9,49.41,48.86,49.2,181500
2005-10-05,49.05,49.06,47.62,47.64,218800
2005-10-06,47.64,47.69,46.7,47.04,282600
2005-10-07,47.06,47.14,46.57,46.66,176100
2005-10-10,46.72,46.9,46.56,46.85,165100
2005-10-11,47.05,47.38,46.65,47.19,231400
2005-10-12,47.12,47.12,46.43,46.7,155500
2005-10-13,46.7,46.73,46.44,46.53,107900
2005-10-14,46.53,46.69,46.0,46.1,230700
2005-10-17,46.0,46.25,45.99,46.25,172800
2005-10-18,46.25,46.3,45.9,46.1,514500
2005-10-19,46.1,46.27,45.8,46.18,168400
2005-10-20,46.03,46.2,45.6,45.7,283700
2005-10-21,45.71,45.75,45.45,45.72,139200
2005-10-24,45.66,45.78,45.63,45.75,229600
2005-10-25,45.77,46.05,45.4,45.96,214900
2005-10-26,45.86,46.15,45.39,45.64,156900
2005-10-27,45.44,45.48,44.56,44.6,193700
2005-10-28,44.75,45.61,44.75,45.61,210100
2005-10-31,45.61,45.97,45.6,45.71,222500
2005-11-01,45.61,45.93,45.37,45.69,296300
2005-11-02,45.45,45.89,45.36,45.67,131200
2005-11-03,45.71,45.85,45.58,45.68,136200
2005-11-04,45.51,46.0,45.51,45.9,212700
2005-11-07,46.25,46.7,45.62,45.68,187800
2005-11-08,45.68,45.68,45.3,45.56,130100
2005-11-09,45.32,46.2,45.25,46.01,159700
2005-11-10,46.03,46.22,45.67,45.83,192900
2005-11-11,45.78,45.99,45.63,45.7,80900
2005-11-14,45.68,45.84,45.28,45.46,211300
2005-11-15,45.46,45.9,45.46,45.79,205900
2005-11-16,45.79,45.94,45.36,45.44,318400
2005-11-17,44.75,46.84,44.07,45.75,898100
2005-11-18,45.7,45.73,45.17,45.28,312000
2005-11-21,45.28,45.28,44.9,45.07,214600
2005-11-22,45.03,45.3,45.0,45.09,221800
2005-11-23,45.09,45.51,44.72,45.3,386100
2005-11-25,45.4,45.77,45.25,45.57,93000
2005-11-28,45.58,45.59,44.86,45.01,258300
2005-11-29,45.06,45.75,45.06,45.34,179500
2005-11-30,45.34,45.76,45.2,45.35,214900
2005-12-01,45.45,46.06,45.31,45.68,238400
2005-12-02,45.7,45.7,45.36,45.5,116700
2005-12-05,45.51,45.51,44.6,44.88,268900
2005-12-06,44.95,45.44,44.78,44.88,195100
2005-12-07,44.8,45.3,44.77,45.1,323700
2005-12-08,45.15,45.46,44.98,45.11,173600
2005-12-09,45.06,45.32,45.01,45.12,113700
2005-12-12,45.15,45.39,45.04,45.09,220500
2005-12-13,45.11,45.4,44.89,45.23,149900
2005-12-14,45.3,45.41,44.27,44.59,420300
2005-12-15,44.69,44.69,44.3,44.39,185400
2005-12-16,44.39,44.89,44.26,44.26,401400
2005-12-19,43.8,44.32,43.64,43.94,277000
2005-12-20,43.91,44.26,43.68,43.99,192100
2005-12-21,44.0,44.25,43.79,44.01,282200
2005-12-22,44.11,44.74,44.05,44.14,193500
2005-12-23,44.27,44.53,44.19,44.28,77800
2005-12-27,44.28,44.8,44.28,44.3,189200
2005-12-28,44.31,44.75,44.3,44.58,142200
2005-12-29,44.45,45.29,44.26,44.35,181800
2005-12-30,44.08,44.25,43.97,44.0,226200
2006-01-03,44.21,45.4,44.21,45.38,503300
2006-01-04,45.3,45.72,45.25,45.52,270500
2006-01-05,45.45,46.22,45.35,46.21,387800
2006-01-06,46.25,46.3,45.56,45.8,130800
2006-01-09,45.73,46.1,45.47,46.0,472800
2006-01-10,45.85,45.85,45.3,45.47,181300
2006-01-11,45.47,45.8,45.42,45.48,183300
2006-01-12,45.25,45.55,45.25,45.4,136400
2006-01-13,45.4,45.48,45.05,45.09,131900
2006-01-17,44.98,45.21,44.89,44.99,146200
2006-01-18,44.9,45.1,44.85,44.94,121200
2006-01-19,44.86,45.05,44.82,45.02,171800
2006-01-20,44.9,45.1,44.35,44.35,199300
2006-01-23,44.33,44.68,44.13,44.31,151500
2006-01-24,44.28,44.3,43.91,43.99,219500
2006-01-25,43.95,43.99,43.45,43.81,227800
2006-01-26,43.7,44.08,43.7,43.85,155100
2006-01-27,43.75,43.81,43.5,43.74,166400
2006-01-30,43.65,43.85,43.56,43.69,145500
2006-01-31,43.53,43.69,43.33,43.5,371600
2006-02-01,43.47,44.01,43.47,43.9,134000
2006-02-02,43.83,44.26,43.77,43.84,134100
2006-02-03,43.73,44.05,43.43,43.5,286800
2006-02-06,43.38,43.69,43.24,43.3,195800
2006-02-07,43.22,43.6,43.11,43.16,234900
2006-02-08,43.3,43.39,42.56,42.76,237700
2006-02-09,42.51,42.51,41.82,41.86,567200
2006-02-10,41.75,42.05,41.65,41.76,213100
2006-02-13,41.77,42.09,41.57,41.6,448200
2006-02-14,41.7,42.4,41.61,42.36,256100
2006-02-15,42.35,42.62,42.25,42.49,230900
2006-02-16,42.54,42.69,42.34,42.43,279200
2006-02-17,40.5,40.5,37.15,38.25,3171100
2006-02-21,38.3,38.72,37.63,37.78,870400
2006-02-22,37.75,39.22,37.7,38.87,1241300
2006-02-23,39.0,39.23,38.91,39.05,511800
2006-02-24,39.01,39.55,39.01,39.55,679100
2006-02-27,39.6,40.35,39.6,39.99,565700
2006-02-28,39.88,39.97,39.3,39.52,475700
2006-03-01,39.6,40.55,39.53,40.22,529900
2006-03-02,40.02,40.4,40.0,40.28,434000
2006-03-03,40.05,40.31,39.95,40.07,275000
2006-03-06,40.02,40.32,39.65,40.26,385800
2006-03-07,40.26,40.82,40.25,40.7,369900
2006-03-08,40.58,40.58,40.07,40.34,317900
2006-03-09,40.31,40.46,39.9,40.26,230100
2006-03-10,40.3,40.35,40.03,40.25,277700
2006-03-13,40.15,40.32,39.9,40.15,259000
2006-03-14,40.05,40.28,39.85,40.13,193100
2006-03-15,39.55,40.16,39.55,40.0,248700
2006-03-16,39.9,40.2,39.68,40.0,250100
2006-03-17,39.7,40.04,39.65,40.03,309500
2006-03-20,40.0,40.0,39.85,39.91,327600
2006-03-21,39.8,40.05,39.73,39.86,301900
2006-03-22,39.95,40.05,39.85,39.98,448000
2006-03-23,39.73,40.01,39.6,39.89,240300
2006-03-24,39.75,40.0,39.66,39.94,157100
2006-03-27,39.76,39.95,39.42,39.63,155900
2006-03-28,39.6,39.72,39.39,39.54,301900
2006-03-29,39.45,39.99,39.45,39.77,156700
2006-03-30,39.7,39.92,39.58,39.86,159400
2006-03-31,39.61,39.79,39.41,39.7,188300
2006-04-03,39.45,40.24,39.38,40.03,233800
2006-04-04,39.98,39.99,39.69,39.78,193400
2006-04-05,39.6,39.86,39.56,39.82,182300
2006-04-06,39.8,39.8,38.94,39.23,193700
2006-04-07,39.3,39.36,38.75,38.8,196400
2006-04-10,39.35,39.7,39.11,39.54,264800
2006-04-11,39.74,39.8,39.06,39.31,239300
2006-04-12,39.31,39.35,38.91,38.97,188100
2006-04-13,39.0,39.42,39.0,39.2,144200
2006-04-17,39.22,39.25,38.93,39.06,133800
2006-04-18,39.06,39.32,39.06,39.24,307400
2006-04-19,39.2,39.45,39.17,39.3,261500
2006-04-20,39.15,39.29,39.04,39.19,248500
2006-04-21,39.21,39.4,39.19,39.35,298700
2006-04-24,39.16,39.26,39.08,39.18,239000
2006-04-25,39.18,39.45,39.1,39.32,259000
2006-04-26,39.32,39.54,39.32,39.45,211400
2006-04-27,39.2,39.5,39.13,39.33,195600
2006-04-28,39.1,39.26,39.01,39.26,248000
2006-05-01,39.12,39.98,39.11,39.53,211600
2006-05-02,39.47,40.01,39.36,39.88,182700
2006-05-03,39.95,39.95,39.71,39.85,281200
2006-05-04,39.84,40.49,39.83,40.26,212100
2006-05-05,40.35,40.87,40.35,40.8,174200
2006-05-08,40.8,41.24,40.8,41.16,253400
2006-05-09,41.03,41.3,40.86,40.93,169500
2006-05-10,40.8,40.97,40.62,40.69,230500
