Date,Open,High,Low,Close,Volume
2005-01-03,37.85,38.0,37.5,37.68,346800
2005-01-04,37.68,37.68,36.67,36.92,822200
2005-01-05,36.72,36.72,35.89,36.0,1103400
2005-01-06,36.1,36.42,35.88,36.36,1170600
2005-01-07,36.46,36.48,35.78,36.1,1045400
2005-01-10,36.18,37.68,36.18,37.68,3103000
2005-01-11,37.84,37.84,37.41,37.73,1870800
2005-01-12,37.75,39.06,37.75,38.0,3788800
2005-01-13,38.1,38.28,37.79,38.08,2343000
2005-01-14,38.3,38.3,36.9,37.01,6983400
2005-01-18,37.01,37.3,36.79,37.3,2906800
2005-01-19,37.39,37.52,37.15,37.28,1800200
2005-01-20,37.21,37.4,36.9,36.96,2221800
2005-01-21,37.04,37.38,36.93,37.24,1667000
2005-01-24,37.36,37.5,37.22,37.31,1355600
2005-01-25,37.4,37.4,36.34,36.62,2957600
2005-01-26,36.75,37.01,36.62,36.68,1611200
2005-01-27,36.68,37.44,36.42,37.44,3233600
2005-01-28,38.0,38.16,36.18,36.38,8646200
2005-01-31,36.6,37.52,35.93,37.3,4913200
2005-02-01,37.3,37.55,37.08,37.5,2560200
2005-02-02,37.6,37.76,37.35,37.65,2416600
2005-02-03,37.66,38.01,37.58,38.0,3826200
2005-02-04,38.15,39.06,37.42,37.88,5911400
2005-02-07,38.0,38.38,37.98,38.15,3876800
2005-02-08,38.22,38.48,37.7,37.89,8765200
2005-02-09,37.82,38.0,36.55,36.75,4807800
2005-02-10,36.88,36.92,35.0,35.82,3258800
2005-02-11,35.75,36.66,35.28,36.55,2128000
2005-02-14,35.75,36.15,35.14,35.25,2932200
2005-02-15,35.28,35.38,35.08,35.25,2269200
2005-02-16,35.25,35.78,35.02,35.78,2739000
2005-02-17,35.55,35.72,35.2,35.35,2306200
2005-02-18,35.38,35.38,34.93,35.09,1115000
2005-02-22,34.96,34.96,34.05,34.1,1366000
2005-02-23,34.1,34.12,33.72,33.86,2002800
2005-02-24,33.9,34.44,33.48,34.21,1479200
2005-02-25,34.22,34.64,33.95,34.36,2109200
2005-02-28,34.32,34.87,34.32,34.76,2742000
2005-03-01,34.41,34.42,33.68,34.25,3337800
2005-03-02,34.12,34.95,33.68,34.95,3204800
2005-03-03,35.38,35.95,35.38,35.64,4643800
2005-03-04,35.72,35.98,35.66,35.82,2712600
2005-03-07,35.82,35.99,35.72,35.94,2421600
2005-03-08,35.9,36.98,35.85,36.96,4466600
2005-03-09,36.75,37.12,36.55,36.72,3082400
2005-03-10,36.68,37.3,36.68,37.25,2378800
2005-03-11,37.05,37.16,36.51,37.08,1996600
2005-03-14,37.05,37.24,36.9,37.08,1173600
2005-03-15,37.08,37.38,36.97,37.12,1377600
2005-03-16,37.0,37.24,37.0,37.13,2349200
2005-03-17,37.38,37.82,37.24,37.36,2338600
2005-03-18,37.36,38.0,37.3,37.95,3223200
2005-03-21,37.82,37.96,37.53,37.66,1152200
2005-03-22,37.5,37.74,37.27,37.28,1170400
2005-03-23,37.16,37.62,37.08,37.48,1169400
2005-03-24,37.48,37.52,37.26,37.45,970200
2005-03-28,38.0,39.25,38.0,38.54,3475400
2005-03-29,38.44,38.84,38.36,38.45,1561600
2005-03-30,38.46,39.09,38.41,39.02,1831600
2005-03-31,39.07,39.08,38.48,38.58,2020800
2005-04-01,38.8,39.41,38.73,38.98,2114000
2005-04-04,38.98,39.08,38.7,38.9,1481600
2005-04-05,39.03,39.6,39.0,39.46,1013600
2005-04-06,39.25,39.25,38.57,38.91,2722800
2005-04-07,39.16,39.9,39.1,39.75,1768600
2005-04-08,39.7,40.0,39.46,39.5,1428800
2005-04-11,39.62,39.62,39.04,39.15,1109400
2005-04-12,39.28,39.32,39.02,39.18,1087600
2005-04-13,39.3,39.3,38.54,38.62,660600
2005-04-14,38.65,38.65,38.3,38.46,1439600
2005-04-15,38.33,38.36,37.75,37.92,1476600
2005-04-18,37.9,38.1,37.7,37.94,748200
2005-04-19,37.9,38.25,37.68,38.15,1067400
2005-04-20,38.14,38.29,38.03,38.18,1163000
2005-04-21,38.5,39.18,38.26,39.16,1561400
2005-04-22,39.16,39.16,38.5,38.72,927400
2005-04-25,38.85,39.1,38.79,39.06,846400
2005-04-26,39.05,39.06,38.58,38.68,1081600
2005-04-27,38.6,38.65,38.26,38.65,1546800
2005-04-28,36.5,36.5,30.88,31.5,16462000
2005-04-29,31.2,31.43,30.22,30.88,4980400
2005-05-02,31.52,31.95,31.19,31.22,3265200
2005-05-03,31.23,31.24,30.6,30.75,1564800
2005-05-04,31.1,31.43,30.5,31.4,1781400
2005-05-05,31.42,31.6,31.28,31.48,2424000
2005-05-06,31.45,31.48,30.85,30.92,1270600
2005-05-09,31.12,31.34,30.9,31.14,2161800
2005-05-10,31.35,31.35,30.85,30.9,2212800
2005-05-11,31.0,31.0,30.4,30.68,931800
2005-05-12,30.76,30.95,30.26,30.42,1255000
2005-05-13,30.5,30.5,29.88,30.1,1212600
2005-05-16,29.98,30.39,29.91,30.28,1493200
2005-05-17,30.02,30.18,29.82,30.05,2314800
2005-05-18,30.05,30.12,29.3,29.7,4263600
2005-05-19,29.5,30.15,29.5,30.12,1527600
2005-05-20,30.14,30.5,29.9,30.2,1302400
2005-05-23,30.18,30.45,29.94,30.12,1275800
2005-05-24,29.9,29.9,29.4,29.7,1567600
2005-05-25,29.68,29.96,29.36,29.48,1169200
2005-05-26,29.33,29.33,28.68,29.04,3623800
2005-05-27,29.18,29.76,29.13,29.48,1244400
2005-05-31,29.3,29.37,29.09,29.24,1604400
2005-06-01,29.29,29.76,29.22,29.54,1110600
2005-06-02,29.51,29.56,29.22,29.45,1447800
2005-06-03,29.32,29.62,29.18,29.44,1183000
2005-06-06,29.41,29.71,29.26,29.54,777800
2005-06-07,29.65,29.78,29.31,29.32,1665200
2005-06-08,29.3,29.58,29.2,29.32,1899200
2005-06-09,29.4,29.7,29.14,29.4,1710600
2005-06-10,29.43,30.05,29.43,29.78,1227200
2005-06-13,29.75,30.18,29.4,30.18,1252200
2005-06-14,30.18,30.24,29.68,29.84,1119800
2005-06-15,29.72,29.82,29.36,29.43,2051000
2005-06-16,29.36,29.54,29.32,29.48,1464800
2005-06-17,29.61,29.61,29.18,29.42,1537400
2005-06-20,29.36,29.93,29.23,29.82,1448800
2005-06-21,29.95,29.95,29.58,29.74,854200
2005-06-22,29.77,30.04,29.68,30.03,1184000
2005-06-23,30.03,30.15,29.83,30.08,906200
2005-06-24,30.02,30.2,29.88,29.98,1529200
2005-06-27,29.95,30.05,29.84,29.94,1176600
2005-06-28,30.0,30.54,29.96,30.47,1161800
2005-06-29,30.6,30.73,30.41,30.69,1113400
2005-06-30,30.65,31.07,30.65,31.0,1548200
2005-07-01,31.0,31.1,30.5,30.8,885800
2005-07-05,30.7,30.7,30.42,30.48,749400
2005-07-06,30.58,30.58,30.06,30.16,727200
2005-07-07,29.76,30.17,29.68,30.09,1504200
2005-07-08,30.19,31.38,30.18,31.18,1720800
2005-07-11,31.48,31.48,31.0,31.35,1166000
2005-07-12,31.4,31.4,31.04,31.18,944400
2005-07-13,31.18,32.48,30.92,32.36,3759600
2005-07-14,32.37,32.37,31.55,31.68,2483600
2005-07-15,31.68,31.82,31.18,31.66,1443200
2005-07-18,31.58,31.71,31.45,31.52,819400
2005-07-19,31.68,31.9,31.36,31.5,647800
2005-07-20,31.5,31.82,31.4,31.78,987200
2005-07-21,31.85,31.94,31.46,31.62,829000
2005-07-22,31.76,31.82,31.38,31.79,834200
2005-07-25,31.81,31.9,31.4,31.4,548800
2005-07-26,31.4,31.4,31.08,31.1,760400
2005-07-27,31.1,31.45,30.73,30.84,1612000
2005-07-28,30.84,31.58,30.62,31.5,1422200
2005-07-29,31.5,31.58,31.34,31.35,1961000
2005-08-01,31.35,31.91,31.14,31.91,1849600
2005-08-02,30.35,33.59,30.35,32.58,5466000
2005-08-03,32.35,32.58,32.22,32.32,1198600
2005-08-04,32.3,32.4,31.73,31.84,1306800
2005-08-05,31.76,31.77,31.59,31.66,959600
2005-08-08,31.7,31.76,31.32,31.4,936800
2005-08-09,31.4,31.5,31.19,31.3,893800
2005-08-10,31.33,31.65,31.33,31.47,1630000
2005-08-11,31.47,31.65,31.3,31.5,1187200
2005-08-12,31.5,31.5,31.26,31.38,696600
2005-08-15,31.4,31.8,31.33,31.8,658000
2005-08-16,31.8,32.02,31.76,31.9,1267200
2005-08-17,31.9,32.16,31.9,32.11,1057200
2005-08-18,32.05,32.55,32.0,32.51,1119200
2005-08-19,32.55,32.55,32.14,32.25,1336600
2005-08-22,32.26,32.52,31.9,31.94,1525600
2005-08-23,31.9,32.3,31.9,32.12,1310800
2005-08-24,32.12,32.27,31.98,32.02,853000
2005-08-25,32.05,32.06,31.95,31.98,435600
2005-08-26,31.76,32.0,31.69,31.71,846800
2005-08-29,31.38,31.82,31.18,31.78,443200
2005-08-30,31.78,31.84,31.53,31.74,460400
2005-08-31,31.72,32.06,31.22,32.06,760600
2005-09-01,31.98,32.14,31.6,32.12,1162200
2005-09-02,32.13,32.39,32.03,32.26,841200
2005-09-06,32.31,32.42,32.16,32.37,593200
