Date,Open,High,Low,Close,Volume
2005-01-03,31.12,31.16,30.88,30.96,8168200
2005-01-04,30.98,31.25,30.88,30.98,9241400
2005-01-05,31.04,31.38,30.98,31.02,7694800
2005-01-06,31.05,31.15,30.9,31.12,8887600
2005-01-07,31.17,31.28,31.03,31.08,6573200
2005-01-10,31.02,31.22,30.82,31.06,7686000
2005-01-11,31.02,31.09,30.85,31.0,7489600
2005-01-12,30.94,30.98,30.55,30.59,11469200
2005-01-13,30.6,30.7,30.23,30.32,10714000
2005-01-14,30.32,30.42,30.16,30.34,10155000
2005-01-18,30.08,30.76,30.05,30.73,10079000
2005-01-19,30.7,30.74,30.48,30.5,6215400
2005-01-20,30.22,30.4,30.16,30.27,6901800
2005-01-21,30.2,30.29,30.0,30.06,6757800
2005-01-24,30.06,30.3,29.9,29.98,7968800
2005-01-25,29.98,30.24,29.98,30.16,7470600
2005-01-26,30.25,30.54,30.23,30.44,7280200
2005-01-27,30.24,30.48,30.1,30.22,6119800
2005-01-28,30.2,30.42,30.1,30.26,6079000
2005-01-31,30.53,30.7,30.46,30.65,6569800
2005-02-01,30.78,31.09,30.68,30.9,8034200
2005-02-02,30.62,30.62,30.27,30.39,8394600
2005-02-03,30.32,30.52,30.26,30.52,5671600
2005-02-04,30.55,30.56,30.29,30.49,5937600
2005-02-07,30.5,30.77,30.28,30.71,7077800
2005-02-08,31.0,31.0,30.64,30.72,7215200
2005-02-09,30.78,30.79,30.46,30.46,5668200
2005-02-10,30.58,30.65,30.2,30.22,8303800
2005-02-11,30.28,30.34,30.11,30.15,9075200
2005-02-14,30.49,30.66,30.47,30.66,6351000
2005-02-15,30.75,30.79,30.62,30.65,7889600
2005-02-16,30.6,30.61,30.35,30.38,6538000
2005-02-17,30.35,30.42,30.2,30.2,5907600
2005-02-18,30.22,30.24,29.86,29.9,9230400
2005-02-22,29.85,29.94,29.39,29.42,10707400
2005-02-23,29.62,29.8,29.56,29.74,10420000
2005-02-24,29.96,30.0,29.74,29.84,11462600
2005-02-25,29.85,30.08,29.74,29.95,6642200
2005-02-28,29.85,29.96,29.6,29.69,10286400
2005-03-01,29.82,30.1,29.82,29.92,7326800
2005-03-02,29.88,30.02,29.75,29.75,8157800
2005-03-03,29.9,29.98,29.7,29.7,7258600
2005-03-04,29.98,30.3,29.88,30.25,7183200
2005-03-07,30.25,30.56,30.24,30.36,6921400
2005-03-08,30.26,30.46,30.16,30.4,6662000
2005-03-09,30.19,30.24,29.84,29.87,8231200
2005-03-10,29.93,30.24,29.92,30.1,6687600
2005-03-11,30.18,30.25,29.8,29.9,6568800
2005-03-14,29.9,30.14,29.88,30.05,7934800
2005-03-15,30.22,30.33,29.96,29.99,6888400
2005-03-16,29.85,29.96,29.73,29.76,8042200
2005-03-17,29.65,29.95,29.64,29.8,6731400
2005-03-18,29.95,29.97,29.52,29.69,16039800
2005-03-21,29.69,29.76,29.5,29.6,7827400
2005-03-22,29.66,29.84,29.19,29.19,10155400
2005-03-23,29.15,29.52,29.08,29.37,9916400
2005-03-24,29.36,29.6,29.2,29.2,6918400
2005-03-28,29.3,29.62,29.3,29.44,6803400
2005-03-29,29.44,29.7,29.38,29.46,6838400
2005-03-30,29.48,29.89,29.48,29.85,7864600
2005-03-31,29.98,30.18,29.9,29.9,8850600
2005-04-01,30.08,30.14,29.63,29.72,10752400
2005-04-04,29.77,29.97,29.6,29.92,9716000
2005-04-05,29.92,30.02,29.83,29.84,5460200
2005-04-06,29.89,30.05,29.85,29.87,6572400
2005-04-07,29.87,30.14,29.83,29.94,6711200
2005-04-08,30.06,30.08,29.78,29.78,7322600
2005-04-11,29.96,30.06,29.87,30.0,5838200
2005-04-12,29.9,30.45,29.87,30.32,9501400
2005-04-13,30.37,30.44,30.04,30.11,8404400
2005-04-14,30.21,30.21,29.87,29.92,8100800
2005-04-15,29.92,30.02,29.56,29.56,9989200
2005-04-18,29.6,30.02,29.6,29.76,11165000
2005-04-19,29.75,29.8,29.46,29.46,10119200
2005-04-20,29.36,29.55,29.06,29.08,9295600
2005-04-21,29.25,29.34,28.88,29.34,10532000
2005-04-22,29.26,29.52,29.07,29.34,6322400
2005-04-25,29.45,29.64,29.38,29.58,6319400
2005-04-26,29.58,29.77,29.36,29.4,6909800
2005-04-27,29.38,29.88,29.24,29.76,8937000
2005-04-28,29.76,30.04,29.62,29.77,8927800
2005-04-29,29.81,29.98,29.59,29.97,9189600
2005-05-02,30.04,30.34,30.0,30.2,10502800
2005-05-03,30.23,30.4,30.04,30.14,8391200
2005-05-04,29.91,30.36,29.85,30.34,8583200
2005-05-05,30.28,30.4,29.9,30.12,6643600
2005-05-06,30.13,30.16,29.85,29.88,7049400
2005-05-09,29.88,30.2,29.82,30.11,6331200
2005-05-10,29.95,30.1,29.82,29.86,6598000
2005-05-11,29.85,30.11,29.74,30.02,5760800
2005-05-12,30.12,30.22,29.84,29.91,5822800
2005-05-13,29.74,29.92,29.5,29.62,7529600
2005-05-16,29.68,30.12,29.62,30.0,7479200
2005-05-17,29.9,30.25,29.82,30.23,6099600
2005-05-18,30.43,30.54,30.36,30.48,8407200
2005-05-19,30.61,30.64,30.42,30.64,5630600
2005-05-20,30.68,30.74,30.47,30.66,7066200
2005-05-23,30.7,30.9,30.64,30.7,6384000
2005-05-24,30.58,30.75,30.37,30.52,6050400
2005-05-25,30.4,30.47,30.25,30.44,4483200
