Date,Open,High,Low,Close,Volume
2005-01-03,67.3,67.6,66.88,67.0,1113900
2005-01-04,67.13,67.22,65.94,65.97,1211700
2005-01-05,66.03,67.21,65.84,66.25,1287200
2005-01-06,66.3,66.88,65.58,66.52,865400
2005-01-07,66.6,67.7,66.13,67.56,1409200
2005-01-10,67.86,67.95,67.19,67.84,1069300
2005-01-11,67.75,67.82,66.89,67.2,820300
2005-01-12,67.45,67.45,66.2,67.02,924300
2005-01-13,66.9,67.02,66.09,66.55,1119900
2005-01-14,66.3,66.67,65.76,66.62,950200
2005-01-18,65.85,66.11,65.35,65.7,1860800
2005-01-19,65.95,66.1,65.1,65.39,936300
2005-01-20,65.19,65.8,64.92,65.2,1232900
2005-01-21,64.2,64.21,62.75,63.19,3017000
2005-01-24,63.3,63.3,61.8,62.02,1500100
2005-01-25,62.05,63.22,62.05,62.9,1546900
2005-01-26,62.9,63.25,62.63,63.09,1225100
2005-01-27,63.07,63.75,62.84,62.97,1088400
2005-01-28,63.03,63.25,62.23,62.66,1414700
2005-01-31,63.3,63.47,62.27,62.4,1165600
2005-02-01,62.4,63.15,62.21,62.8,1476000
2005-02-02,62.4,62.82,62.18,62.69,1292300
2005-02-03,62.7,62.81,62.1,62.78,820300
2005-02-04,62.79,65.5,62.79,64.43,2457800
2005-02-07,64.43,64.57,63.77,64.17,1347300
2005-02-08,64.35,64.37,63.92,63.99,1209800
2005-02-09,63.85,64.05,62.45,62.79,1128500
2005-02-10,63.04,63.21,62.75,62.99,780100
2005-02-11,62.75,63.38,62.3,62.92,1392200
2005-02-14,62.92,63.1,62.45,62.5,895600
2005-02-15,62.36,62.84,61.8,62.71,1517400
2005-02-16,62.71,64.59,62.4,64.1,1280300
2005-02-17,64.25,64.8,63.94,64.49,1394300
2005-02-18,64.95,66.1,64.91,65.81,2454100
2005-02-22,65.82,66.17,64.55,64.74,1375700
2005-02-23,65.34,65.86,65.14,65.67,991800
2005-02-24,65.9,67.03,65.26,67.03,1243100
2005-02-25,66.78,67.91,66.51,67.85,1475900
2005-02-28,67.85,68.0,66.77,66.93,1447900
2005-03-01,67.18,68.02,66.97,67.56,1022100
2005-03-02,67.46,67.95,66.88,67.42,1052800
2005-03-03,67.52,67.6,66.39,66.9,1159500
2005-03-04,67.7,69.75,67.52,69.38,2874900
2005-03-07,69.25,69.85,68.99,69.39,2044900
2005-03-08,69.0,69.48,68.59,69.05,1308800
2005-03-09,69.09,69.32,68.14,68.25,1275500
2005-03-10,68.25,68.56,67.07,68.05,1384600
2005-03-11,68.05,68.9,67.88,68.38,1032900
2005-03-14,68.28,68.53,67.74,68.37,1149100
2005-03-15,68.56,68.83,67.96,67.96,661700
2005-03-16,67.96,67.97,66.43,66.76,1324300
2005-03-17,66.9,67.44,66.45,67.11,944300
2005-03-18,67.9,68.48,67.85,68.37,3109200
2005-03-21,68.7,68.94,68.2,68.52,1247000
2005-03-22,68.92,69.23,68.54,68.64,1771500
2005-03-23,68.65,68.7,67.9,67.91,1751800
2005-03-24,67.96,68.6,67.55,67.85,1267100
2005-03-28,67.86,68.11,67.52,67.67,1521200
2005-03-29,67.57,68.32,66.89,67.07,2156200
2005-03-30,67.15,68.11,67.13,67.88,1097400
2005-03-31,68.03,69.0,68.02,68.5,1298800
2005-04-01,68.85,69.55,68.2,68.45,1930800
2005-04-04,68.42,69.51,67.9,69.5,1892900
2005-04-05,69.5,70.22,69.16,70.04,2988500
2005-04-06,69.8,71.22,69.8,70.86,1944700
2005-04-07,70.83,71.65,70.83,71.52,1542300
2005-04-08,71.25,71.85,70.66,70.82,1897400
2005-04-11,70.84,71.09,70.46,70.66,1492700
2005-04-12,70.58,71.23,70.28,71.2,1362500
2005-04-13,70.8,70.84,69.83,70.12,2285500
2005-04-14,70.13,70.13,68.71,68.91,2771600
2005-04-15,68.5,68.59,66.0,66.17,3166200
2005-04-18,65.9,66.91,65.15,65.83,2984100
2005-04-19,65.94,65.95,65.11,65.69,2741700
2005-04-20,65.7,66.2,65.17,65.42,2370500
2005-04-21,65.25,65.26,63.3,64.0,4739000
2005-04-22,63.5,63.93,62.86,63.47,2176500
2005-04-25,63.47,63.55,61.99,62.87,3220100
2005-04-26,62.87,63.72,62.56,62.88,1892400
2005-04-27,62.89,66.5,62.83,66.3,5528800
2005-04-28,65.8,66.79,65.28,65.44,3671800
2005-04-29,66.25,70.1,64.9,68.61,6686000
2005-05-02,68.61,69.14,67.9,68.46,2576700
2005-05-03,68.29,68.58,67.52,67.77,1665400
2005-05-04,67.52,68.26,67.08,67.94,1331900
2005-05-05,67.79,68.18,67.11,67.49,1119900
2005-05-06,67.85,68.36,67.19,67.51,933800
2005-05-09,67.28,67.44,66.3,66.9,1500800
2005-05-10,66.65,67.16,65.7,65.96,1817500
2005-05-11,65.8,66.3,65.2,65.86,1588100
2005-05-12,66.06,66.19,64.19,64.4,1889300
2005-05-13,63.8,64.1,61.77,62.86,2842000
2005-05-16,63.05,64.06,62.95,63.77,1190500
2005-05-17,63.81,64.47,63.3,64.34,1001000
2005-05-18,64.34,65.27,64.25,65.08,1650100
2005-05-19,65.08,65.82,64.7,65.55,1531200
2005-05-20,65.8,65.8,64.5,64.97,1453500
2005-05-23,65.03,65.29,64.31,64.74,1168100
2005-05-24,64.6,64.6,63.65,64.17,1115600
2005-05-25,65.15,65.15,63.72,63.99,1313700
2005-05-26,64.08,64.7,63.85,64.16,1074100
2005-05-27,64.26,64.41,63.85,64.02,615600
2005-05-31,64.1,64.53,64.0,64.15,1277800
2005-06-01,64.05,64.96,64.03,64.92,1653100
2005-06-02,64.87,65.01,64.34,64.89,856200
2005-06-03,64.84,64.88,63.84,64.11,1013200
2005-06-06,64.11,64.92,63.93,64.74,1213900
2005-06-07,64.99,66.19,64.99,65.41,1211500
2005-06-08,65.6,65.83,64.84,65.06,809300
2005-06-09,64.75,64.93,64.12,64.34,1007200
2005-06-10,64.54,65.0,63.9,64.15,855300
2005-06-13,63.86,66.6,63.81,65.82,2087600
2005-06-14,65.78,66.46,65.51,66.44,1009000
2005-06-15,66.4,66.61,65.86,66.35,798300
2005-06-16,66.55,67.57,66.5,67.14,990000
2005-06-17,68.0,68.54,67.61,67.89,1891600
2005-06-20,67.49,67.61,67.03,67.33,835400
2005-06-21,67.6,68.45,67.6,67.76,1170400
2005-06-22,67.76,68.19,67.28,67.64,648500
2005-06-23,67.64,67.74,66.03,66.03,951300
2005-06-24,65.87,66.04,64.63,65.11,1288700
2005-06-27,64.1,65.21,63.87,65.01,1329600
2005-06-28,65.18,66.3,65.18,66.16,999200
2005-06-29,66.06,66.09,65.14,65.34,669300
2005-06-30,64.34,64.71,63.62,63.65,2217500
2005-07-01,63.65,64.24,63.45,63.89,1257500
2005-07-05,63.95,64.82,63.9,64.69,879700
2005-07-06,64.35,64.78,63.72,63.78,1074800
2005-07-07,62.98,63.83,62.77,63.7,1185400
2005-07-08,63.9,64.83,63.5,64.73,976500
2005-07-11,64.8,65.26,64.67,65.26,868800
2005-07-12,65.22,65.34,64.31,64.78,810600
2005-07-13,64.77,65.26,64.5,64.76,938800
2005-07-14,64.83,65.0,64.33,64.8,692300
2005-07-15,64.85,64.88,63.91,64.28,702600
2005-07-18,64.3,64.79,64.05,64.31,731500
2005-07-19,67.0,67.32,65.98,66.12,3529200
2005-07-20,66.13,66.79,65.76,66.51,1767500
2005-07-21,66.4,68.94,66.05,67.87,2192500
2005-07-22,68.1,68.98,67.85,68.34,1531500
2005-07-25,68.21,68.57,67.29,67.55,1226800
2005-07-26,67.61,67.91,66.72,67.82,994700
2005-07-27,68.1,68.1,67.18,67.81,848300
2005-07-28,68.06,68.15,67.69,67.86,1002300
2005-07-29,69.5,69.96,68.86,68.98,1821700
2005-08-01,69.38,69.38,67.14,68.07,1569800
2005-08-02,67.98,68.9,67.97,68.39,907900
2005-08-03,67.8,67.99,67.34,67.86,572800
2005-08-04,67.79,68.43,67.61,67.74,954500
2005-08-05,67.7,67.95,67.3,67.67,834900
2005-08-08,67.82,68.19,67.22,67.23,764900
2005-08-09,67.48,67.94,67.45,67.69,518900
2005-08-10,67.89,69.23,67.86,68.37,926000
2005-08-11,68.37,68.7,67.92,68.56,774500
2005-08-12,68.42,68.5,67.01,67.29,898000
2005-08-15,67.26,67.34,66.8,66.93,1287800
2005-08-16,67.06,67.11,65.5,65.57,1191000
2005-08-17,65.56,65.69,65.01,65.16,901800
2005-08-18,65.17,65.36,64.71,65.15,724900
2005-08-19,65.5,65.68,64.76,64.89,920300
2005-08-22,65.0,65.69,64.54,64.88,843000
2005-08-23,64.9,64.92,63.88,63.88,789300
2005-08-24,63.75,64.38,63.3,63.42,1121000
2005-08-25,63.87,64.45,63.69,64.08,937000
2005-08-26,63.95,64.27,63.74,63.74,814700
2005-08-29,63.74,64.48,63.2,64.19,1058500
2005-08-30,64.0,64.06,63.31,63.59,1060400
2005-08-31,63.79,65.06,63.28,65.02,1211500
2005-09-01,65.27,66.14,65.03,65.5,1298900
2005-09-02,65.91,66.45,65.19,65.25,1022900
2005-09-06,65.9,66.34,65.72,66.26,944600
2005-09-07,66.4,66.84,65.61,65.75,1001500
2005-09-08,65.55,65.83,65.09,65.15,878600
2005-09-09,65.75,66.11,65.46,65.81,823600
2005-09-12,66.0,66.73,65.87,66.38,799700
2005-09-13,66.34,67.39,65.48,66.73,1878700
2005-09-14,66.95,68.0,66.56,67.24,3224500
2005-09-15,67.9,68.48,67.62,67.9,1998200
2005-09-16,68.45,68.47,67.66,67.96,2056000
2005-09-19,68.3,68.35,67.13,67.22,980700
2005-09-20,67.52,68.02,66.62,66.62,1481600
2005-09-21,66.62,67.08,66.0,66.13,1562000
2005-09-22,66.0,67.75,65.98,67.44,1642600
2005-09-23,67.75,67.96,66.9,67.75,911100
2005-09-26,68.0,68.38,67.35,67.69,1187200
2005-09-27,67.94,68.0,67.27,67.68,1235800
2005-09-28,68.05,68.26,67.75,67.97,914100
2005-09-29,67.8,68.5,67.01,68.5,1296600
2005-09-30,68.5,68.85,67.78,68.75,1140200
2005-10-03,68.45,68.47,67.75,68.11,1261000
2005-10-04,68.01,68.4,67.26,67.5,1060600
2005-10-05,67.35,67.43,66.04,66.1,1441600
2005-10-06,65.89,66.0,64.47,64.81,1964700
2005-10-07,64.83,65.18,64.17,64.6,1015400
2005-10-10,64.6,65.0,63.91,64.06,654800
2005-10-11,64.14,64.14,62.6,62.87,2213800
2005-10-12,62.8,63.16,61.51,61.88,1901600
2005-10-13,61.8,62.12,60.72,61.12,2051000
2005-10-14,61.25,61.7,60.99,61.69,1394400
2005-10-17,61.99,62.48,61.4,62.23,2379100
2005-10-18,62.58,62.71,61.85,61.92,1301800
2005-10-19,61.8,62.88,61.03,62.76,1116400
2005-10-20,62.92,63.59,61.81,61.87,1651900
2005-10-21,61.9,62.72,61.15,62.11,1430100
2005-10-24,62.2,62.95,62.04,62.95,1485100
2005-10-25,62.8,63.43,62.2,62.46,1251600
2005-10-26,62.55,63.78,62.4,63.0,1267300
2005-10-27,62.81,63.42,62.24,62.28,977900
2005-10-28,62.45,63.3,62.26,63.22,1143600
2005-10-31,63.35,63.73,63.18,63.34,1078600
2005-11-01,63.14,63.4,62.85,63.01,1397800
2005-11-02,62.41,63.72,62.4,63.34,1141300
2005-11-03,63.6,63.72,62.77,62.99,1006500
2005-11-04,62.94,63.19,62.11,62.8,1034000
2005-11-07,62.95,63.38,62.66,62.97,1238200
2005-11-08,62.47,62.48,60.95,61.27,1538700
2005-11-09,61.45,61.95,61.12,61.3,921100
2005-11-10,61.3,62.24,60.62,61.98,995800
2005-11-11,61.95,62.55,61.9,62.22,856300
2005-11-14,64.9,65.06,63.27,63.49,2179900
2005-11-15,63.55,64.68,63.18,64.01,1685500
2005-11-16,64.33,64.8,63.98,64.42,1128900
2005-11-17,64.79,64.87,64.27,64.72,840300
2005-11-18,65.38,65.38,64.4,64.61,1129000
2005-11-21,65.1,65.67,65.0,65.29,1310900
2005-11-22,65.25,65.78,64.88,65.57,1194300
2005-11-23,65.5,65.7,64.85,64.92,583400
2005-11-25,65.2,65.4,64.75,64.83,387000
2005-11-28,65.0,65.31,64.8,64.92,866800
2005-11-29,65.85,66.68,65.74,66.24,1447800
2005-11-30,66.3,66.82,66.06,66.31,1275200
2005-12-01,66.31,67.55,66.31,66.92,917500
2005-12-02,66.8,67.38,66.61,67.36,903500
2005-12-05,66.96,67.01,66.35,66.87,818100
2005-12-06,67.23,67.45,66.9,67.0,848700
2005-12-07,66.7,66.8,65.94,66.22,893300
2005-12-08,66.25,66.55,65.7,66.1,670100
2005-12-09,66.35,66.55,65.81,66.3,498200
2005-12-12,66.35,66.76,65.92,66.38,674900
2005-12-13,66.38,67.1,66.25,66.57,944200
2005-12-14,66.57,66.86,66.35,66.4,686500
2005-12-15,66.4,66.59,65.51,65.6,885100
2005-12-16,65.85,66.27,65.51,66.27,1358900
2005-12-19,66.2,66.77,66.14,66.66,1412100
2005-12-20,66.76,66.97,66.46,66.55,958000
2005-12-21,66.75,67.2,66.49,66.84,1275500
2005-12-22,67.0,67.44,66.89,67.35,1091500
2005-12-23,67.48,67.61,66.75,67.0,778100
2005-12-27,66.9,67.4,66.41,66.48,1106200
2005-12-28,66.65,67.25,66.65,67.08,860300
2005-12-29,67.17,67.4,66.86,67.14,793800
2005-12-30,67.14,67.14,66.19,66.34,934300
2006-01-03,66.59,66.81,66.17,66.64,2130600
2006-01-04,67.15,68.25,66.75,68.25,1660100
2006-01-05,68.1,68.11,67.34,67.65,1076800
2006-01-06,68.0,68.09,67.31,67.75,889100
2006-01-09,67.9,68.2,67.5,67.59,1274000
2006-01-10,67.44,68.49,67.0,68.49,1397400
2006-01-11,68.6,68.96,68.28,68.45,1573200
2006-01-12,68.18,68.18,67.13,67.25,921200
2006-01-13,67.4,67.6,66.15,66.48,1123600
2006-01-17,66.1,66.62,66.1,66.55,1007000
2006-01-18,66.36,66.67,65.85,66.42,1157000
2006-01-19,66.75,67.28,66.31,67.07,755100
2006-01-20,67.7,67.83,66.58,66.72,1427400
2006-01-23,67.08,67.69,66.96,67.35,929300
2006-01-24,67.4,68.09,67.4,67.64,809900
2006-01-25,66.87,67.87,66.76,67.15,1118300
2006-01-26,67.75,68.4,67.59,68.08,1478000
2006-01-27,68.2,68.69,67.91,68.49,1271200
2006-01-30,68.6,70.44,68.0,70.38,2467900
2006-01-31,69.75,69.98,69.01,69.76,2108400
2006-02-01,69.0,69.52,68.43,68.63,1396600
2006-02-02,68.5,68.55,67.1,67.25,1530300
2006-02-03,67.5,68.2,66.65,67.5,2866800
2006-02-06,68.25,70.76,68.08,69.7,2937100
2006-02-07,69.0,69.55,69.0,69.33,1675400
2006-02-08,69.75,69.79,69.28,69.7,1577300
2006-02-09,69.7,69.98,69.57,69.62,1332000
2006-02-10,69.4,69.74,68.8,69.25,1321100
2006-02-13,68.9,69.21,68.66,68.97,864900
2006-02-14,68.97,70.78,68.74,70.4,1685400
2006-02-15,69.55,70.05,69.4,69.8,1308700
2006-02-16,70.05,70.36,69.72,70.15,1110600
2006-02-17,70.05,70.12,69.76,70.0,1830700
